"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","Line 2 - Trillium Line",2001
3,4,"light_rail","Line 1 - Confederation Line",2019
4,5,"light_rail","Line 1 - Confederation Line",2019
5,6,"light_rail","Line 1 - Confederation Line",2019
6,7,"light_rail","Line 1 - Confederation Line",2019
7,8,"light_rail","Line 1 - Confederation Line",2019
8,9,"light_rail","Line 1 - Confederation Line",2019
9,10,"light_rail","Line 1 - Confederation Line",2019
10,11,"light_rail","Line 1 - Confederation Line",2019
11,12,"light_rail","Line 1 - Confederation Line",2019
12,13,"light_rail","Line 1 - Confederation Line",2019
13,14,"light_rail","Line 1 - Confederation Line",2019
14,15,"light_rail","Line 1 - Confederation Line",2019
