"nodeID_from","nodeID_to","mode","line","year"
228,230,"heavy_rail","7",1931
230,236,"heavy_rail","7",1911
236,241,"heavy_rail","7",1931
241,257,"heavy_rail","7",1916
257,276,"heavy_rail","7",1910
276,303,"heavy_rail","7",1946
303,321,"heavy_rail","7",1931
321,326,"heavy_rail","7",1931
326,329,"heavy_rail","7",1911
329,339,"heavy_rail","7",1931
339,350,"heavy_rail","7",1914
350,351,"heavy_rail","7",1985
351,380,"heavy_rail","7",1985
380,389,"heavy_rail","7",1987
389,422,"heavy_rail","7",1985
422,426,"heavy_rail","7",1982
426,437,"heavy_rail","7",1911
437,445,"heavy_rail","7",1946
445,449,"heavy_rail","7",1931
449,503,"heavy_rail","7",1911
503,555,"heavy_rail","7",1931
555,581,"heavy_rail","7",1989
581,614,"heavy_rail","7",1979
614,615,"heavy_rail","7",1910
615,621,"heavy_rail","7",1912
621,622,"heavy_rail","7",1910
622,624,"heavy_rail","7",1911
624,628,"heavy_rail","7",1911
628,629,"heavy_rail","7",1931
629,630,"heavy_rail","7",1910
630,637,"heavy_rail","7",1934
637,664,"heavy_rail","7",1910
664,687,"heavy_rail","7",1979
687,699,"heavy_rail","7",1910
699,700,"heavy_rail","7",1931
700,713,"heavy_rail","7",1910
713,715,"heavy_rail","7",1910
715,729,"heavy_rail","7",1911
729,742,"heavy_rail","7",2007
742,743,"heavy_rail","7",1911
743,744,"heavy_rail","7",1926
744,747,"heavy_rail","7",1931
747,538,"heavy_rail","7",1926
538,212,"heavy_rail","7",1904
212,692,"heavy_rail","7",1907
165,176,"heavy_rail","1",0
176,186,"heavy_rail","1",0
186,223,"heavy_rail","1",0
223,229,"heavy_rail","1",1920
229,238,"heavy_rail","1",1900
238,250,"heavy_rail","1",1937
250,266,"heavy_rail","1",1900
266,271,"heavy_rail","1",1937
271,296,"heavy_rail","1",1900
296,298,"heavy_rail","1",1934
298,312,"heavy_rail","1",2002
312,383,"heavy_rail","1",1900
383,411,"heavy_rail","1",1900
411,423,"heavy_rail","1",1934
423,429,"heavy_rail","1",1989
429,539,"heavy_rail","1",1937
539,569,"heavy_rail","1",1989
569,572,"heavy_rail","1",1900
572,585,"heavy_rail","1",1948
585,590,"heavy_rail","1",1900
590,597,"heavy_rail","1",1900
597,608,"heavy_rail","1",1934
608,611,"heavy_rail","1",1931
611,636,"heavy_rail","1",1900
636,652,"heavy_rail","1",1934
652,707,"heavy_rail","1",1900
707,709,"heavy_rail","1",1900
709,714,"heavy_rail","1",1942
714,618,"heavy_rail","1",1946
618,760,"heavy_rail","1",1942
760,535,"heavy_rail","1",1998
207,208,"heavy_rail","2",1902
208,209,"heavy_rail","2",1903
209,210,"heavy_rail","2",1902
210,258,"heavy_rail","2",1903
258,300,"heavy_rail","2",1902
300,325,"heavy_rail","2",1946
325,331,"heavy_rail","2",1914
331,333,"heavy_rail","2",1903
333,347,"heavy_rail","2",1902
347,388,"heavy_rail","2",1900
388,391,"heavy_rail","2",1931
391,392,"heavy_rail","2",1903
392,522,"heavy_rail","2",1904
522,528,"heavy_rail","2",1903
528,567,"heavy_rail","2",1902
567,573,"heavy_rail","2",1903
573,574,"heavy_rail","2",1903
574,577,"heavy_rail","2",1970
577,584,"heavy_rail","2",1903
584,626,"heavy_rail","2",1907
626,647,"heavy_rail","2",1902
647,695,"heavy_rail","2",1903
695,739,"heavy_rail","2",1900
739,618,"heavy_rail","2",1902
618,535,"heavy_rail","2",1942
535,770,"heavy_rail","2",1900
770,774,"heavy_rail","2",1911
246,248,"heavy_rail","3",1926
248,263,"heavy_rail","3",1904
263,274,"heavy_rail","3",1998
274,282,"heavy_rail","3",1904
282,286,"heavy_rail","3",1904
286,287,"heavy_rail","3",1904
287,332,"heavy_rail","3",1907
332,353,"heavy_rail","3",1904
353,356,"heavy_rail","3",1910
356,357,"heavy_rail","3",1971
357,358,"heavy_rail","3",1971
358,438,"heavy_rail","3",1969
438,511,"heavy_rail","3",1937
511,538,"heavy_rail","3",1910
538,540,"heavy_rail","3",1904
540,566,"heavy_rail","3",1904
566,568,"heavy_rail","3",1921
568,550,"heavy_rail","3",1910
550,588,"heavy_rail","3",1904
588,604,"heavy_rail","3",1937
604,660,"heavy_rail","3",1904
660,686,"heavy_rail","3",1911
686,698,"heavy_rail","3",1904
698,708,"heavy_rail","3",NA
708,731,"heavy_rail","3",1921
731,392,"heavy_rail","3",1937
392,567,"heavy_rail","3",1904
567,777,"heavy_rail","3",1903
354,355,"heavy_rail","3bis",1971
355,358,"heavy_rail","3bis",1971
358,607,"heavy_rail","3bis",1969
211,214,"heavy_rail","4",1908
214,237,"heavy_rail","4",0
237,249,"heavy_rail","4",1909
249,264,"heavy_rail","4",1913
264,273,"heavy_rail","4",1910
273,281,"heavy_rail","4",1910
281,285,"heavy_rail","4",1910
285,299,"heavy_rail","4",1909
299,302,"heavy_rail","4",1910
302,304,"heavy_rail","4",1908
304,386,"heavy_rail","4",1931
386,428,"heavy_rail","4",1910
428,441,"heavy_rail","4",1977
441,442,"heavy_rail","4",2013
442,446,"heavy_rail","4",2020
446,454,"heavy_rail","4",1908
454,515,"heavy_rail","4",2020
515,529,"heavy_rail","4",1931
529,531,"heavy_rail","4",1942
531,548,"heavy_rail","4",1909
548,576,"heavy_rail","4",1910
576,616,"heavy_rail","4",1909
616,634,"heavy_rail","4",1908
634,639,"heavy_rail","4",1908
639,646,"heavy_rail","4",1908
646,685,"heavy_rail","4",1910
685,379,"heavy_rail","4",1908
379,750,"heavy_rail","4",1909
750,584,"heavy_rail","4",1908
584,287,"heavy_rail","4",1907
212,215,"heavy_rail","5",1907
215,216,"heavy_rail","5",1906
216,217,"heavy_rail","5",1942
217,220,"heavy_rail","5",1907
220,253,"heavy_rail","5",1907
253,254,"heavy_rail","5",1906
254,267,"heavy_rail","5",1916
267,270,"heavy_rail","5",1907
270,290,"heavy_rail","5",1906
290,307,"heavy_rail","5",1906
307,330,"heavy_rail","5",1942
330,337,"heavy_rail","5",1907
337,338,"heavy_rail","5",1946
338,348,"heavy_rail","5",1942
348,425,"heavy_rail","5",1907
425,527,"heavy_rail","5",1942
527,532,"heavy_rail","5",1907
532,549,"heavy_rail","5",1907
549,586,"heavy_rail","5",1942
586,599,"heavy_rail","5",1906
599,609,"heavy_rail","5",1985
609,612,"heavy_rail","5",1906
612,627,"heavy_rail","5",1985
627,658,"heavy_rail","5",1906
658,248,"heavy_rail","5",1907
248,680,"heavy_rail","5",1904
680,684,"heavy_rail","5",1907
684,691,"heavy_rail","5",1942
691,692,"heavy_rail","5",1930
692,704,"heavy_rail","5",1906
704,716,"heavy_rail","5",1942
716,720,"heavy_rail","5",1906
720,738,"heavy_rail","5",1907
738,740,"heavy_rail","5",1906
740,300,"heavy_rail","5",1985
226,231,"heavy_rail","6",1942
231,275,"heavy_rail","6",1909
275,278,"heavy_rail","6",1942
278,345,"heavy_rail","6",1942
345,379,"heavy_rail","6",1942
379,382,"heavy_rail","6",1909
382,419,"heavy_rail","6",1942
419,534,"heavy_rail","6",1942
534,536,"heavy_rail","6",1942
536,285,"heavy_rail","6",1909
285,565,"heavy_rail","6",1909
565,583,"heavy_rail","6",1942
583,593,"heavy_rail","6",1963
593,596,"heavy_rail","6",1906
596,598,"heavy_rail","6",1949
598,606,"heavy_rail","6",1942
606,618,"heavy_rail","6",1942
618,623,"heavy_rail","6",1942
623,644,"heavy_rail","6",1909
644,654,"heavy_rail","6",1909
654,659,"heavy_rail","6",1946
659,665,"heavy_rail","6",1942
665,668,"heavy_rail","6",1909
668,675,"heavy_rail","6",1939
675,718,"heavy_rail","6",1942
718,727,"heavy_rail","6",1937
727,535,"heavy_rail","6",1942
535,692,"heavy_rail","6",1900
197,198,"heavy_rail","7bis",1967
198,199,"heavy_rail","7bis",1967
199,200,"heavy_rail","7bis",1967
200,201,"heavy_rail","7bis",1967
201,204,"heavy_rail","7bis",1967
204,205,"heavy_rail","7bis",1967
205,206,"heavy_rail","7bis",1967
206,435,"heavy_rail","7bis",1967
189,227,"heavy_rail","8",1942
227,234,"heavy_rail","8",1931
234,252,"heavy_rail","8",1998
252,269,"heavy_rail","8",1931
269,292,"heavy_rail","8",1931
292,335,"heavy_rail","8",1932
335,340,"heavy_rail","8",1913
340,424,"heavy_rail","8",1913
424,436,"heavy_rail","8",1913
436,439,"heavy_rail","8",1937
439,443,"heavy_rail","8",1937
443,451,"heavy_rail","8",1931
451,505,"heavy_rail","8",1913
505,507,"heavy_rail","8",1972
507,517,"heavy_rail","8",1970
517,523,"heavy_rail","8",1913
523,526,"heavy_rail","8",1931
526,530,"heavy_rail","8",1913
530,570,"heavy_rail","8",1931
570,578,"heavy_rail","8",1931
578,591,"heavy_rail","8",1913
591,610,"heavy_rail","8",1937
610,617,"heavy_rail","8",1913
617,620,"heavy_rail","8",1931
620,632,"heavy_rail","8",1942
632,643,"heavy_rail","8",1913
643,648,"heavy_rail","8",1931
648,653,"heavy_rail","8",1937
653,661,"heavy_rail","8",1914
661,662,"heavy_rail","8",1973
662,666,"heavy_rail","8",1974
666,248,"heavy_rail","8",1937
248,678,"heavy_rail","8",1904
678,679,"heavy_rail","8",1970
679,681,"heavy_rail","8",1913
681,683,"heavy_rail","8",1913
683,688,"heavy_rail","8",1931
688,693,"heavy_rail","8",1931
693,697,"heavy_rail","8",1931
697,711,"heavy_rail","8",1913
711,724,"heavy_rail","8",1974
724,728,"heavy_rail","8",1913
728,730,"heavy_rail","8",1921
730,733,"heavy_rail","8",1931
733,745,"heavy_rail","8",1931
745,250,"heavy_rail","8",2011
250,538,"heavy_rail","8",1900
538,304,"heavy_rail","8",1904
304,419,"heavy_rail","8",1931
419,665,"heavy_rail","8",1942
222,235,"heavy_rail","9",1933
235,256,"heavy_rail","9",1998
256,261,"heavy_rail","9",1922
261,265,"heavy_rail","9",1933
265,272,"heavy_rail","9",1923
272,277,"heavy_rail","9",1923
277,279,"heavy_rail","9",1933
279,280,"heavy_rail","9",1937
280,283,"heavy_rail","9",1922
283,289,"heavy_rail","9",1998
289,324,"heavy_rail","9",1933
324,334,"heavy_rail","9",1922
334,359,"heavy_rail","9",1923
359,360,"heavy_rail","9",1922
360,361,"heavy_rail","9",1922
361,393,"heavy_rail","9",1923
393,420,"heavy_rail","9",1933
420,453,"heavy_rail","9",1922
453,510,"heavy_rail","9",1937
510,512,"heavy_rail","9",1922
512,518,"heavy_rail","9",1933
518,525,"heavy_rail","9",1934
525,587,"heavy_rail","9",1922
587,600,"heavy_rail","9",1923
600,619,"heavy_rail","9",1933
619,633,"heavy_rail","9",1933
633,638,"heavy_rail","9",1933
638,663,"heavy_rail","9",1934
663,669,"heavy_rail","9",1937
669,670,"heavy_rail","9",1923
670,248,"heavy_rail","9",1942
248,703,"heavy_rail","9",1904
703,712,"heavy_rail","9",1933
712,722,"heavy_rail","9",1922
722,737,"heavy_rail","9",1933
737,751,"heavy_rail","9",1934
751,535,"heavy_rail","9",1923
535,714,"heavy_rail","9",1900
714,246,"heavy_rail","9",1946
246,304,"heavy_rail","9",1926
304,527,"heavy_rail","9",1931
527,382,"heavy_rail","9",1907
382,629,"heavy_rail","9",1942
255,297,"heavy_rail","10",1923
297,301,"heavy_rail","10",1937
301,327,"heavy_rail","10",1923
327,336,"heavy_rail","10",1937
336,341,"heavy_rail","10",1923
341,384,"heavy_rail","10",1923
384,434,"heavy_rail","10",1923
434,450,"heavy_rail","10",1980
450,502,"heavy_rail","10",1925
502,514,"heavy_rail","10",1937
514,520,"heavy_rail","10",1937
520,521,"heavy_rail","10",1937
521,546,"heavy_rail","10",1930
546,548,"heavy_rail","10",999999
