"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","Market-Frankford Line",1907
2,3,"heavy_rail","Market-Frankford Line",1907
3,4,"heavy_rail","Market-Frankford Line",1907
4,5,"heavy_rail","Market-Frankford Line",1907
5,6,"heavy_rail","Market-Frankford Line",1907
6,7,"heavy_rail","Market-Frankford Line",1907
7,8,"heavy_rail","Market-Frankford Line",1907
8,9,"heavy_rail","Market-Frankford Line",1907
9,10,"heavy_rail","Market-Frankford Line",1907
10,11,"heavy_rail","Market-Frankford Line",1907
11,12,"heavy_rail","Market-Frankford Line",1907
12,335,"heavy_rail","Market-Frankford Line",1908
335,405,"heavy_rail","Market-Frankford Line",1908
405,438,"heavy_rail","Market-Frankford Line",1922
438,439,"heavy_rail","Market-Frankford Line",1908
439,440,"heavy_rail","Market-Frankford Line",1908
440,441,"heavy_rail","Market-Frankford Line",1908
441,442,"heavy_rail","Market-Frankford Line",1977
442,443,"heavy_rail","Market-Frankford Line",1922
443,444,"heavy_rail","Market-Frankford Line",1922
444,445,"heavy_rail","Market-Frankford Line",1922
445,446,"heavy_rail","Market-Frankford Line",1922
446,447,"heavy_rail","Market-Frankford Line",1922
447,448,"heavy_rail","Market-Frankford Line",1922
448,449,"heavy_rail","Market-Frankford Line",1922
449,450,"heavy_rail","Market-Frankford Line",1922
450,451,"heavy_rail","Market-Frankford Line",1922
451,452,"heavy_rail","Market-Frankford Line",1922
406,407,"heavy_rail","Broad Street Line",1928
407,408,"heavy_rail","Broad Street Line",1928
408,409,"heavy_rail","Broad Street Line",1928
409,410,"heavy_rail","Broad Street Line",1928
410,413,"heavy_rail","Broad Street Line",1928
413,414,"heavy_rail","Broad Street Line",1928
414,415,"heavy_rail","Broad Street Line",1928
415,417,"heavy_rail","Broad Street Line",1928
417,418,"heavy_rail","Broad Street Line",1928
418,420,"heavy_rail","Broad Street Line",1928
420,421,"heavy_rail","Broad Street Line",1928
421,422,"heavy_rail","Broad Street Line",1928
422,423,"heavy_rail","Broad Street Line",1928
423,425,"heavy_rail","Broad Street Line",1928
425,429,"heavy_rail","Broad Street Line",1956
429,430,"heavy_rail","Broad Street Line",1930
430,431,"heavy_rail","Broad Street Line",1932
431,432,"heavy_rail","Broad Street Line",1938
432,433,"heavy_rail","Broad Street Line",1938
433,434,"heavy_rail","Broad Street Line",1938
434,435,"heavy_rail","Broad Street Line",1973
335,410,"heavy_rail","Broad Ridge Spur",1908
410,406,"heavy_rail","Broad Ridge Spur",1928
406,415,"heavy_rail","Broad Ridge Spur",1928
415,418,"heavy_rail","Broad Ridge Spur",1928
418,423,"heavy_rail","Broad Ridge Spur",1928
423,425,"heavy_rail","Broad Ridge Spur",1928
425,436,"heavy_rail","Broad Ridge Spur",1956
436,437,"heavy_rail","Broad Ridge Spur",1932
22,23,"commuter_rail","Media/Elwyn Line",1911
23,13,"commuter_rail","Media/Elwyn Line",1984
13,14,"commuter_rail","Media/Elwyn Line",1930
14,24,"commuter_rail","Media/Elwyn Line",1933
24,59,"commuter_rail","Media/Elwyn Line",1983
59,60,"commuter_rail","Media/Elwyn Line",1886
60,61,"commuter_rail","Media/Elwyn Line",1928
61,62,"commuter_rail","Media/Elwyn Line",1928
62,63,"commuter_rail","Media/Elwyn Line",1880
63,64,"commuter_rail","Media/Elwyn Line",1928
64,65,"commuter_rail","Media/Elwyn Line",1880
65,66,"commuter_rail","Media/Elwyn Line",1928
66,67,"commuter_rail","Media/Elwyn Line",1880
67,68,"commuter_rail","Media/Elwyn Line",1867
68,69,"commuter_rail","Media/Elwyn Line",1880
69,70,"commuter_rail","Media/Elwyn Line",1890
70,71,"commuter_rail","Media/Elwyn Line",1870
71,72,"commuter_rail","Media/Elwyn Line",1928
72,73,"commuter_rail","Media/Elwyn Line",1928
73,74,"commuter_rail","Media/Elwyn Line",1928
13,22,"commuter_rail","Airport Line",1930
22,23,"commuter_rail","Airport Line",1911
23,24,"commuter_rail","Airport Line",1984
24,25,"commuter_rail","Airport Line",1983
25,26,"commuter_rail","Airport Line",1985
26,27,"commuter_rail","Airport Line",1985
27,28,"commuter_rail","Airport Line",1985
28,29,"commuter_rail","Airport Line",1985
29,14,"commuter_rail","Airport Line",1985
13,14,"commuter_rail","Cynwyd Line",1930
14,15,"commuter_rail","Cynwyd Line",1933
15,16,"commuter_rail","Cynwyd Line",1930
16,17,"commuter_rail","Cynwyd Line",1930
17,18,"commuter_rail","Cynwyd Line",1890
18,19,"commuter_rail","Cynwyd Line",1930
19,20,"commuter_rail","Cynwyd Line",1930
24,22,"commuter_rail","Wilmington/Newark Line",1983
22,23,"commuter_rail","Wilmington/Newark Line",1911
23,13,"commuter_rail","Wilmington/Newark Line",1984
13,14,"commuter_rail","Wilmington/Newark Line",1930
14,35,"commuter_rail","Wilmington/Newark Line",1933
35,36,"commuter_rail","Wilmington/Newark Line",1928
36,37,"commuter_rail","Wilmington/Newark Line",1872
37,38,"commuter_rail","Wilmington/Newark Line",1940
38,39,"commuter_rail","Wilmington/Newark Line",1928
39,40,"commuter_rail","Wilmington/Newark Line",1928
40,41,"commuter_rail","Wilmington/Newark Line",1875
41,42,"commuter_rail","Wilmington/Newark Line",1928
42,43,"commuter_rail","Wilmington/Newark Line",1871
43,44,"commuter_rail","Wilmington/Newark Line",1928
44,45,"commuter_rail","Wilmington/Newark Line",1902
45,46,"commuter_rail","Wilmington/Newark Line",1903
46,47,"commuter_rail","Wilmington/Newark Line",1928
47,48,"commuter_rail","Wilmington/Newark Line",1928
48,49,"commuter_rail","Wilmington/Newark Line",1893
49,50,"commuter_rail","Wilmington/Newark Line",1928
50,51,"commuter_rail","Wilmington/Newark Line",1908
51,52,"commuter_rail","Wilmington/Newark Line",2000
14,13,"commuter_rail","Paoli/Thorndale Line",1933
13,23,"commuter_rail","Paoli/Thorndale Line",1930
23,22,"commuter_rail","Paoli/Thorndale Line",1984
22,79,"commuter_rail","Paoli/Thorndale Line",1911
79,80,"commuter_rail","Paoli/Thorndale Line",1860
80,81,"commuter_rail","Paoli/Thorndale Line",1915
81,82,"commuter_rail","Paoli/Thorndale Line",1915
82,83,"commuter_rail","Paoli/Thorndale Line",1870
83,84,"commuter_rail","Paoli/Thorndale Line",1870
84,85,"commuter_rail","Paoli/Thorndale Line",1880
85,86,"commuter_rail","Paoli/Thorndale Line",1869
86,87,"commuter_rail","Paoli/Thorndale Line",1871
87,88,"commuter_rail","Paoli/Thorndale Line",1890
88,89,"commuter_rail","Paoli/Thorndale Line",1872
89,90,"commuter_rail","Paoli/Thorndale Line",1890
90,91,"commuter_rail","Paoli/Thorndale Line",1884
91,92,"commuter_rail","Paoli/Thorndale Line",1883
92,93,"commuter_rail","Paoli/Thorndale Line",1883
93,94,"commuter_rail","Paoli/Thorndale Line",1884
94,95,"commuter_rail","Paoli/Thorndale Line",1915
95,96,"commuter_rail","Paoli/Thorndale Line",1893
96,97,"commuter_rail","Paoli/Thorndale Line",1900
97,98,"commuter_rail","Paoli/Thorndale Line",1981
98,99,"commuter_rail","Paoli/Thorndale Line",1880
99,100,"commuter_rail","Paoli/Thorndale Line",1900
100,101,"commuter_rail","Paoli/Thorndale Line",1868
101,102,"commuter_rail","Paoli/Thorndale Line",1914
102,103,"commuter_rail","Paoli/Thorndale Line",1999
14,13,"commuter_rail","Chestnut Hill West Line",1933
13,23,"commuter_rail","Chestnut Hill West Line",1930
23,22,"commuter_rail","Chestnut Hill West Line",1984
