"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","Valley Metro Rail",2019
2,3,"light_rail","Valley Metro Rail",2019
3,4,"light_rail","Valley Metro Rail",2015
4,5,"light_rail","Valley Metro Rail",2015
5,6,"light_rail","Valley Metro Rail",2015
6,7,"light_rail","Valley Metro Rail",2015
7,8,"light_rail","Valley Metro Rail",2008
8,9,"light_rail","Valley Metro Rail",2008
9,10,"light_rail","Valley Metro Rail",2008
10,11,"light_rail","Valley Metro Rail",2008
11,12,"light_rail","Valley Metro Rail",2008
12,13,"light_rail","Valley Metro Rail",2008
13,14,"light_rail","Valley Metro Rail",2008
14,15,"light_rail","Valley Metro Rail",2008
15,16,"light_rail","Valley Metro Rail",2008
16,17,"light_rail","Valley Metro Rail",2008
17,18,"light_rail","Valley Metro Rail",2019
18,19,"light_rail","Valley Metro Rail",2008
19,20,"light_rail","Valley Metro Rail",2008
20,21,"light_rail","Valley Metro Rail",2008
21,22,"light_rail","Valley Metro Rail",2008
22,23,"light_rail","Valley Metro Rail",2008
23,24,"light_rail","Valley Metro Rail",2008
24,25,"light_rail","Valley Metro Rail",2008
25,26,"light_rail","Valley Metro Rail",2008
26,27,"light_rail","Valley Metro Rail",2008
27,28,"light_rail","Valley Metro Rail",2008
28,29,"light_rail","Valley Metro Rail",2008
29,30,"light_rail","Valley Metro Rail",2008
30,31,"light_rail","Valley Metro Rail",2008
31,32,"light_rail","Valley Metro Rail",2008
32,33,"light_rail","Valley Metro Rail",2008
33,34,"light_rail","Valley Metro Rail",2008
34,35,"light_rail","Valley Metro Rail",2008
35,36,"light_rail","Valley Metro Rail",2008
36,37,"light_rail","Valley Metro Rail",2008
37,38,"light_rail","Valley Metro Rail",2008
38,39,"light_rail","Valley Metro Rail",2008
39,40,"light_rail","Valley Metro Rail",2008
40,41,"light_rail","Valley Metro Rail",2008
41,42,"light_rail","Valley Metro Rail",2016
42,43,"light_rail","Valley Metro Rail",2016
43,44,"light_rail","Valley Metro Rail",2016
44,45,"light_rail","Valley Metro Rail",2024
45,46,"light_rail","Valley Metro Rail",2024
46,47,"light_rail","Valley Metro Rail",2024
47,48,"light_rail","Valley Metro Rail",2040
48,49,"light_rail","Valley Metro Rail",2024
49,50,"light_rail","Valley Metro Rail",2024
50,51,"light_rail","Valley Metro Rail",2024
51,52,"light_rail","Valley Metro Rail",2024
52,53,"light_rail","Valley Metro Rail",2024
53,54,"light_rail","Valley Metro Rail",2024
54,55,"light_rail","Valley Metro Rail",2024
55,56,"light_rail","Valley Metro Rail",2024
56,57,"light_rail","Valley Metro Rail",2024
57,58,"light_rail","Valley Metro Rail",2024
