"nodeID_from","nodeID_to","mode","line","year"
35,40,"default","Metro A",0
40,41,"default","Metro A",0
41,42,"default","Metro A",0
1,2,"default","Metro B",0
2,3,"default","Metro B",0
3,4,"default","Metro B",0
4,5,"default","Metro B",0
5,6,"default","Metro B",0
6,7,"default","Metro B",0
7,8,"default","Metro B",0
8,9,"default","Metro B",0
9,10,"default","Metro B",0
10,11,"default","Metro B",0
11,12,"default","Metro B",0
12,13,"default","Metro B",0
13,14,"default","Metro B",0
14,15,"default","Metro B",0
15,17,"default","Metro B",0
17,18,"default","Metro B",0
18,19,"default","Metro B",0
19,20,"default","Metro B",0
20,21,"default","Metro B",0
21,22,"default","Metro B",0
22,23,"default","Metro B",0
23,24,"default","Metro B",0
24,25,"default","Metro B",0
25,26,"default","Metro B",0
26,27,"default","Metro B",0
27,28,"default","Metro B",0
28,29,"default","Metro B",0
29,30,"default","Metro B",0
30,32,"default","Metro B",0
32,33,"default","Metro B",0
33,34,"default","Metro B",0
34,36,"default","Metro B",0
36,37,"default","Metro B",0
37,38,"default","Metro B",0
38,39,"default","Metro B",0
39,43,"default","Metro B",0
43,44,"default","Metro B",0
44,45,"default","Metro B",0
16,31,"default","Metro C",0
