"nodeID_from","nodeID_to","mode","line","year"
17,18,"commuter_rail","METRO 1 (PCMC-SWARGATE)",2021
18,19,"commuter_rail","METRO 1 (PCMC-SWARGATE)",2021
19,20,"commuter_rail","METRO 1 (PCMC-SWARGATE)",2021
20,21,"commuter_rail","METRO 1 (PCMC-SWARGATE)",2021
21,22,"commuter_rail","METRO 1 (PCMC-SWARGATE)",2021
22,23,"commuter_rail","METRO 1 (PCMC-SWARGATE)",2021
23,24,"commuter_rail","METRO 1 (PCMC-SWARGATE)",2021
24,25,"commuter_rail","METRO 1 (PCMC-SWARGATE)",2021
25,26,"commuter_rail","METRO 1 (PCMC-SWARGATE)",2021
26,27,"commuter_rail","METRO 1 (PCMC-SWARGATE)",2022
27,28,"commuter_rail","METRO 1 (PCMC-SWARGATE)",2021
28,29,"commuter_rail","METRO 1 (PCMC-SWARGATE)",2021
29,6,"commuter_rail","METRO 1 (PCMC-SWARGATE)",2021
1,2,"commuter_rail","METRO 2 (VANAZ-RAMWADI)",2021
2,3,"commuter_rail","METRO 2 (VANAZ-RAMWADI)",2021
3,4,"commuter_rail","METRO 2 (VANAZ-RAMWADI)",2021
4,5,"commuter_rail","METRO 2 (VANAZ-RAMWADI)",2021
5,6,"commuter_rail","METRO 2 (VANAZ-RAMWADI)",2021
6,7,"commuter_rail","METRO 2 (VANAZ-RAMWADI)",2021
7,8,"commuter_rail","METRO 2 (VANAZ-RAMWADI)",2020
8,9,"commuter_rail","METRO 2 (VANAZ-RAMWADI)",2021
9,10,"commuter_rail","METRO 2 (VANAZ-RAMWADI)",2021
10,11,"commuter_rail","METRO 2 (VANAZ-RAMWADI)",2021
11,12,"commuter_rail","METRO 2 (VANAZ-RAMWADI)",2021
12,13,"commuter_rail","METRO 2 (VANAZ-RAMWADI)",2021
13,14,"commuter_rail","METRO 2 (VANAZ-RAMWADI)",2021
14,15,"commuter_rail","METRO 2 (VANAZ-RAMWADI)",2021
15,16,"commuter_rail","METRO 2 (VANAZ-RAMWADI)",2021
30,31,"commuter_rail","PMRDA METRO (HINJAWADI -CIVIL COURTS)",2022
31,32,"commuter_rail","PMRDA METRO (HINJAWADI -CIVIL COURTS)",2022
32,33,"commuter_rail","PMRDA METRO (HINJAWADI -CIVIL COURTS)",2022
33,34,"commuter_rail","PMRDA METRO (HINJAWADI -CIVIL COURTS)",2022
34,35,"commuter_rail","PMRDA METRO (HINJAWADI -CIVIL COURTS)",2022
35,36,"commuter_rail","PMRDA METRO (HINJAWADI -CIVIL COURTS)",2022
36,37,"commuter_rail","PMRDA METRO (HINJAWADI -CIVIL COURTS)",2022
37,38,"commuter_rail","PMRDA METRO (HINJAWADI -CIVIL COURTS)",2022
38,39,"commuter_rail","PMRDA METRO (HINJAWADI -CIVIL COURTS)",2022
39,40,"commuter_rail","PMRDA METRO (HINJAWADI -CIVIL COURTS)",2022
40,41,"commuter_rail","PMRDA METRO (HINJAWADI -CIVIL COURTS)",2022
41,42,"commuter_rail","PMRDA METRO (HINJAWADI -CIVIL COURTS)",2022
42,43,"commuter_rail","PMRDA METRO (HINJAWADI -CIVIL COURTS)",2022
43,44,"commuter_rail","PMRDA METRO (HINJAWADI -CIVIL COURTS)",2022
