"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","Línea 1",2020
2,3,"heavy_rail","Línea 1",2020
3,4,"heavy_rail","Línea 1",2020
4,5,"heavy_rail","Línea 1",2020
5,6,"heavy_rail","Línea 1",2020
6,7,"heavy_rail","Línea 1",2020
7,8,"heavy_rail","Línea 1",2020
8,9,"heavy_rail","Línea 1",2020
9,10,"heavy_rail","Línea 1",2020
10,11,"heavy_rail","Línea 1",2020
11,12,"heavy_rail","Línea 1",2020
12,13,"heavy_rail","Línea 1",2020
13,14,"heavy_rail","Línea 1",2020
14,15,"heavy_rail","Línea 1",2020
