"nodeID_from","nodeID_to","mode","line","year"
2,3,"heavy_rail","Métro a",2002
3,4,"heavy_rail","Métro a",2002
4,5,"heavy_rail","Métro a",2002
5,7,"heavy_rail","Métro a",2002
7,10,"heavy_rail","Métro a",2002
10,11,"heavy_rail","Métro a",2002
11,12,"heavy_rail","Métro a",2002
12,13,"heavy_rail","Métro a",2002
13,14,"heavy_rail","Métro a",2002
14,16,"heavy_rail","Métro a",2002
16,19,"heavy_rail","Métro a",2002
19,21,"heavy_rail","Métro a",2002
21,25,"heavy_rail","Métro a",2002
25,26,"heavy_rail","Métro a",2002
26,28,"heavy_rail","Métro a",2002
28,29,"heavy_rail","Métro a",2002
29,30,"heavy_rail","Métro a",2002
30,31,"heavy_rail","Métro a",2002
31,32,"heavy_rail","Métro a",2002
32,34,"heavy_rail","Métro a",2002
34,35,"heavy_rail","Métro a",2002
35,41,"heavy_rail","Métro a",2002
41,43,"heavy_rail","Métro a",2002
43,44,"heavy_rail","Métro a",2002
44,45,"heavy_rail","Métro a",2002
45,48,"heavy_rail","Métro a",2002
48,49,"heavy_rail","Métro a",2002
49,51,"heavy_rail","Métro a",2002
51,60,"heavy_rail","Métro a",2002
1,6,"heavy_rail","Métro b",2020
6,8,"heavy_rail","Métro b",2020
8,9,"heavy_rail","Métro b",2020
9,15,"heavy_rail","Métro b",2020
15,17,"heavy_rail","Métro b",2020
17,18,"heavy_rail","Métro b",2020
18,20,"heavy_rail","Métro b",2020
20,22,"heavy_rail","Métro b",2020
22,23,"heavy_rail","Métro b",2020
23,24,"heavy_rail","Métro b",2020
24,27,"heavy_rail","Métro b",2020
27,33,"heavy_rail","Métro b",2020
33,36,"heavy_rail","Métro b",2020
36,37,"heavy_rail","Métro b",2020
37,38,"heavy_rail","Métro b",2020
38,39,"heavy_rail","Métro b",2020
39,40,"heavy_rail","Métro b",2020
40,42,"heavy_rail","Métro b",2020
42,46,"heavy_rail","Métro b",2020
46,47,"heavy_rail","Métro b",2020
47,50,"heavy_rail","Métro b",2020
50,52,"heavy_rail","Métro b",2020
52,53,"heavy_rail","Métro b",2020
53,54,"heavy_rail","Métro b",2020
54,55,"heavy_rail","Métro b",2020
55,56,"heavy_rail","Métro b",2020
56,57,"heavy_rail","Métro b",2020
57,58,"heavy_rail","Métro b",2020
58,59,"heavy_rail","Métro b",2020
62,63,"light_rail","Ligne 3",1897
63,64,"light_rail","Ligne 3",1897
64,65,"light_rail","Ligne 3",1897
65,66,"light_rail","Ligne 3",1897
66,67,"light_rail","Ligne 3",1897
