"nodeID_from","nodeID_to","mode","line","year"
1,5,"default","MC",2014
5,6,"default","MC",2014
6,7,"default","MC",2014
7,8,"default","MC",2015
8,9,"default","MC",2014
9,10,"default","MC",2014
10,11,"default","MC",2014
11,12,"default","MC",2014
12,13,"default","MC",2014
13,14,"default","MC",2014
14,15,"default","MC",2014
15,16,"default","MC",2015
16,17,"default","MC",2014
17,18,"default","MC",2014
18,19,"default","MC",2014
19,20,"default","MC",2014
20,21,"default","MC",2015
21,22,"default","MC",2015
22,23,"default","MC",2015
23,24,"default","MC",2015
24,25,"default","MC",2014
25,73,"default","MC",2018
73,77,"default","MC",2025
77,119,"default","MC",2025
2,3,"default","MA",1980
3,26,"default","MA",1980
26,27,"default","MA",1980
27,28,"default","MA",1980
28,29,"default","MA",1980
29,30,"default","MA",1980
30,31,"default","MA",1980
31,32,"default","MA",1980
32,33,"default","MA",1980
33,34,"default","MA",1980
34,35,"default","MA",1980
35,36,"default","MA",1980
36,37,"default","MA",1980
37,38,"default","MA",1980
38,44,"default","MA",2000
44,45,"default","MA",1980
45,46,"default","MA",1980
46,47,"default","MA",1980
47,48,"default","MA",1980
48,49,"default","MA",1980
49,50,"default","MA",1980
50,51,"default","MA",1980
51,52,"default","MA",1980
52,53,"default","MA",1999
53,54,"default","MA",1999
54,55,"default","MA",2000
39,40,"default","MB",1990
40,41,"default","MB",2012
41,42,"default","MB",2003
42,43,"default","MB",1990
43,56,"default","MB",1990
56,57,"default","MB",1990
57,58,"default","MB",1990
58,59,"default","MB",2012
59,60,"default","MB",2012
60,61,"default","MB",2015
61,62,"default","MB",1990
62,63,"default","MB",1990
63,64,"default","MB",1990
64,66,"default","MB",1995
66,67,"default","MB",1955
67,68,"default","MB",1990
68,69,"default","MB",1990
69,70,"default","MB",1955
70,72,"default","MB",1955
72,74,"default","MB",1955
74,75,"default","MB",1955
75,76,"default","MB",1955
76,78,"default","MB",1955
78,79,"default","MB",1955
79,80,"default","MB",1955
65,71,"default","Roma-Lido",1924
71,81,"default","Roma-Lido",1971
81,82,"default","Roma-Lido",1924
82,83,"default","Roma-Lido",1924
83,84,"default","Roma-Lido",1924
84,85,"default","Roma-Lido",1924
85,86,"default","Roma-Lido",1960
86,87,"default","Roma-Lido",1924
87,88,"default","Roma-Lido",1951
88,89,"default","Roma-Lido",2000
89,90,"default","Roma-Lido",1959
90,91,"default","Roma-Lido",1948
91,92,"default","Roma-Lido",1924
92,93,"default","Roma-Lido",1949
4,94,"default","Roma-Viterbo",1932
94,95,"default","Roma-Viterbo",1932
95,96,"default","Roma-Viterbo",1960
96,97,"default","Roma-Viterbo",1954
97,98,"default","Roma-Viterbo",1932
98,99,"default","Roma-Viterbo",1990
99,100,"default","Roma-Viterbo",1932
100,101,"default","Roma-Viterbo",2006
101,102,"default","Roma-Viterbo",1932
102,103,"default","Roma-Viterbo",1932
103,104,"default","Roma-Viterbo",1958
104,105,"default","Roma-Viterbo",1932
105,106,"default","Roma-Viterbo",1990
106,107,"default","Roma-Viterbo",1932
107,108,"default","Roma-Viterbo",1932
108,109,"default","Roma-Viterbo",1990
109,110,"default","Roma-Viterbo",1932
110,111,"default","Roma-Viterbo",1932
111,112,"default","Roma-Viterbo",1950
112,113,"default","Roma-Viterbo",1932
113,114,"default","Roma-Viterbo",1932
114,115,"default","Roma-Viterbo",1932
115,116,"default","Roma-Viterbo",1932
116,117,"default","Roma-Viterbo",1932
117,118,"default","Roma-Viterbo",1932
118,121,"default","Roma-Viterbo",1932
