"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","M",1997
2,3,"light_rail","M",1997
3,4,"light_rail","M",1997
4,5,"light_rail","M",1997
5,6,"light_rail","M",1997
6,7,"light_rail","M",1994
7,8,"light_rail","M",1994
8,9,"light_rail","M",1994
9,10,"light_rail","M",1994
10,11,"light_rail","M",1997
11,12,"light_rail","M",1997
12,13,"light_rail","M",1997
13,14,"light_rail","M",1997
14,15,"light_rail","M",1997
15,16,"light_rail","M",1997
16,17,"light_rail","M",1997
17,18,"light_rail","M",1997
18,19,"light_rail","M",1997
19,20,"light_rail","M",1997
20,21,"light_rail","M",1994
21,22,"light_rail","M",1994
22,23,"light_rail","M",1994
23,24,"light_rail","M",1994
24,25,"light_rail","M",1994
25,26,"light_rail","M",1994
26,27,"light_rail","M",1994
27,28,"light_rail","M",1994
28,29,"light_rail","M",1994
29,30,"light_rail","M",1994
30,31,"light_rail","M",1994
31,32,"light_rail","M",1994
32,33,"light_rail","M",1994
33,34,"light_rail","M",1994
34,35,"light_rail","M",1994
35,36,"light_rail","M",1994
36,37,"light_rail","M",1994
37,38,"light_rail","M",1994
38,39,"light_rail","M",1994
39,40,"light_rail","M",1994
41,44,"brt","T1",2001
44,50,"brt","T1",2001
50,55,"brt","T1",2001
41,44,"brt","T2",2001
44,50,"brt","T2",2001
50,54,"brt","T2",2001
54,56,"brt","T2",NA
41,44,"brt","T3",2001
44,48,"brt","T3",2001
48,49,"brt","T3",2001
49,50,"brt","T3",2001
50,57,"brt","T3",2001
50,58,"brt","T4",2001
