"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","Blue Line",1987
2,3,"light_rail","Blue Line",1987
3,4,"light_rail","Blue Line",1987
4,5,"light_rail","Blue Line",1987
5,6,"light_rail","Blue Line",1987
6,7,"light_rail","Blue Line",1987
7,8,"light_rail","Blue Line",1987
8,9,"light_rail","Blue Line",1987
9,10,"light_rail","Blue Line",1987
10,11,"light_rail","Blue Line",1987
11,12,"light_rail","Blue Line",1987
12,13,"light_rail","Blue Line",1987
13,16,"light_rail","Blue Line",1987
16,21,"light_rail","Blue Line",2010
21,24,"light_rail","Blue Line",1987
24,27,"light_rail","Blue Line",1987
27,30,"light_rail","Blue Line",1987
30,33,"light_rail","Blue Line",1987
33,36,"light_rail","Blue Line",1987
36,38,"light_rail","Blue Line",1987
38,39,"light_rail","Blue Line",2003
39,40,"light_rail","Blue Line",2003
40,41,"light_rail","Blue Line",2003
41,42,"light_rail","Blue Line",2003
42,43,"light_rail","Blue Line",2003
43,44,"light_rail","Blue Line",2003
44,45,"light_rail","Blue Line",2021
45,46,"light_rail","Blue Line",2015
46,47,"light_rail","Blue Line",2015
13,16,"light_rail","Gold Line",1987
16,19,"light_rail","Gold Line",2010
19,21,"light_rail","Gold Line",2007
21,24,"light_rail","Gold Line",1987
24,27,"light_rail","Gold Line",1987
27,30,"light_rail","Gold Line",1987
30,33,"light_rail","Gold Line",1987
33,36,"light_rail","Gold Line",1987
36,49,"light_rail","Gold Line",1987
49,51,"light_rail","Gold Line",2007
51,53,"light_rail","Gold Line",2012
53,54,"light_rail","Gold Line",2006
54,55,"light_rail","Gold Line",1987
55,56,"light_rail","Gold Line",1987
13,16,"light_rail","Green Line",1987
16,19,"light_rail","Green Line",2010
19,21,"light_rail","Green Line",2007
21,24,"light_rail","Green Line",1987
24,27,"light_rail","Green Line",1987
27,30,"light_rail","Green Line",1987
30,33,"light_rail","Green Line",1987
33,48,"light_rail","Green Line",1987
48,49,"light_rail","Green Line",2012
49,51,"light_rail","Green Line",2007
