"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","Blue Line",2008
2,3,"light_rail","Blue Line",2008
3,4,"light_rail","Blue Line",2008
4,5,"light_rail","Blue Line",1999
5,6,"light_rail","Blue Line",1999
6,7,"light_rail","Blue Line",1999
7,8,"light_rail","Blue Line",1999
8,9,"light_rail","Blue Line",1999
9,10,"light_rail","Blue Line",2005
10,11,"light_rail","Blue Line",1999
11,12,"light_rail","Blue Line",1999
12,13,"light_rail","Blue Line",1999
13,14,"light_rail","Blue Line",1999
14,15,"light_rail","Blue Line",1999
15,16,"light_rail","Blue Line",1999
16,17,"light_rail","Blue Line",1999
17,18,"light_rail","Blue Line",1999
18,19,"light_rail","Blue Line",1999
19,20,"light_rail","Blue Line",1999
20,21,"light_rail","Blue Line",2006
21,22,"light_rail","Blue Line",1999
22,23,"light_rail","Blue Line",2013
23,24,"light_rail","Blue Line",2013
4,11,"light_rail","Green Line",1999
11,10,"light_rail","Green Line",1999
10,9,"light_rail","Green Line",1999
9,8,"light_rail","Green Line",2005
8,7,"light_rail","Green Line",1999
7,6,"light_rail","Green Line",1999
6,5,"light_rail","Green Line",1999
5,33,"light_rail","Green Line",1999
33,34,"light_rail","Green Line",2013
34,35,"light_rail","Green Line",2013
35,36,"light_rail","Green Line",2013
36,37,"light_rail","Green Line",2013
37,38,"light_rail","Green Line",2013
38,39,"light_rail","Green Line",2011
39,40,"light_rail","Green Line",2011
40,41,"light_rail","Green Line",2011
41,75,"light_rail","Green Line",2011
49,50,"light_rail","Red Line",2001
50,51,"light_rail","Red Line",2001
51,52,"light_rail","Red Line",2000
52,53,"light_rail","Red Line",2001
53,54,"light_rail","Red Line",2003
54,55,"light_rail","Red Line",2003
55,56,"light_rail","Red Line",2003
56,57,"light_rail","Red Line",2011
57,58,"light_rail","Red Line",2011
58,59,"light_rail","Red Line",2011
59,60,"light_rail","Red Line",2011
60,61,"light_rail","Red Line",2011
61,62,"light_rail","Red Line",2011
62,63,"light_rail","Red Line",2011
63,64,"light_rail","Red Line",2011
64,16,"light_rail","Red Line",2011
16,15,"light_rail","Red Line",1999
15,14,"light_rail","Red Line",1999
14,13,"light_rail","Red Line",1999
13,12,"light_rail","Red Line",1999
12,11,"light_rail","Red Line",1999
11,10,"light_rail","Red Line",1999
10,9,"light_rail","Red Line",1999
9,8,"light_rail","Red Line",2005
11,43,"tram","S Line",1999
43,44,"tram","S Line",2013
44,45,"tram","S Line",2013
45,46,"tram","S Line",2013
46,47,"tram","S Line",2013
47,48,"tram","S Line",2013
74,75,"commuter_rail","FrontRunner",2008
75,77,"commuter_rail","FrontRunner",2012
77,78,"commuter_rail","FrontRunner",2008
78,79,"commuter_rail","FrontRunner",2008
79,80,"commuter_rail","FrontRunner",2008
80,81,"commuter_rail","FrontRunner",2008
81,82,"commuter_rail","FrontRunner",2008
82,83,"commuter_rail","FrontRunner",2008
83,84,"commuter_rail","FrontRunner",2008
84,85,"commuter_rail","FrontRunner",2012
85,86,"commuter_rail","FrontRunner",2012
86,87,"commuter_rail","FrontRunner",2012
87,88,"commuter_rail","FrontRunner",2012
88,89,"commuter_rail","FrontRunner",2012
