"nodeID_from","nodeID_to","mode","line","year"
29,30,"light_rail","Green Line",2005
30,31,"light_rail","Green Line",2005
31,32,"light_rail","Green Line",2005
32,38,"light_rail","Green Line",2005
38,40,"light_rail","Green Line",1989
40,42,"light_rail","Green Line",1989
42,44,"light_rail","Green Line",1989
44,48,"light_rail","Green Line",1995
48,50,"light_rail","Green Line",1995
50,58,"light_rail","Green Line",1995
58,60,"light_rail","Green Line",1997
60,62,"light_rail","Green Line",1997
62,63,"light_rail","Green Line",1997
63,64,"light_rail","Green Line",1997
64,65,"light_rail","Green Line",2000
65,66,"light_rail","Green Line",1997
66,69,"light_rail","Green Line",1996
69,68,"light_rail","Green Line",1997
68,71,"light_rail","Green Line",1996
71,72,"light_rail","Green Line",1996
72,73,"light_rail","Green Line",1990
73,74,"light_rail","Green Line",1990
74,75,"light_rail","Green Line",1990
75,79,"light_rail","Green Line",1990
79,86,"light_rail","Green Line",1997
86,19,"light_rail","Green Line",1992
33,34,"light_rail","Orange Line",1989
34,35,"light_rail","Orange Line",1989
35,36,"light_rail","Orange Line",1989
36,37,"light_rail","Orange Line",1989
37,38,"light_rail","Orange Line",1989
38,40,"light_rail","Orange Line",1989
40,42,"light_rail","Orange Line",1989
42,45,"light_rail","Orange Line",1989
45,46,"light_rail","Orange Line",1986
46,44,"light_rail","Orange Line",1986
44,48,"light_rail","Orange Line",1995
48,50,"light_rail","Orange Line",1995
50,52,"light_rail","Orange Line",1995
52,53,"light_rail","Orange Line",1986
53,14,"light_rail","Orange Line",1986
14,13,"light_rail","Orange Line",1981
13,15,"light_rail","Orange Line",1981
15,17,"light_rail","Orange Line",1981
17,19,"light_rail","Orange Line",1981
19,77,"light_rail","Orange Line",1981
77,18,"light_rail","Orange Line",2018
18,72,"light_rail","Orange Line",1991
72,73,"light_rail","Orange Line",1990
73,74,"light_rail","Orange Line",1990
74,75,"light_rail","Orange Line",1990
1,2,"light_rail","Blue Line",1981
2,3,"light_rail","Blue Line",1981
3,4,"light_rail","Blue Line",1981
4,5,"light_rail","Blue Line",1981
5,6,"light_rail","Blue Line",1981
6,7,"light_rail","Blue Line",1986
7,8,"light_rail","Blue Line",1981
8,9,"light_rail","Blue Line",1981
9,10,"light_rail","Blue Line",1981
10,11,"light_rail","Blue Line",1981
11,12,"light_rail","Blue Line",1981
12,13,"light_rail","Blue Line",1981
13,14,"light_rail","Blue Line",1981
14,15,"light_rail","Blue Line",1981
15,16,"light_rail","Blue Line",1981
16,17,"light_rail","Blue Line",1981
17,18,"light_rail","Blue Line",1981
18,19,"light_rail","Blue Line",1991
19,20,"light_rail","Blue Line",1981
20,21,"light_rail","Blue Line",2021
21,22,"light_rail","Blue Line",2021
22,23,"light_rail","Blue Line",2021
23,24,"light_rail","Blue Line",2021
24,25,"light_rail","Blue Line",2021
25,26,"light_rail","Blue Line",2021
26,27,"light_rail","Blue Line",2021
27,28,"light_rail","Blue Line",2021
28,58,"light_rail","Blue Line",2021
58,60,"light_rail","Blue Line",1997
60,66,"light_rail","Blue Line",1997
66,68,"light_rail","Blue Line",1996
68,79,"light_rail","Blue Line",1996
79,62,"light_rail","Blue Line",1997
62,63,"light_rail","Blue Line",1997
63,64,"light_rail","Blue Line",1997
64,65,"light_rail","Blue Line",2000
65,71,"light_rail","Blue Line",1997
71,86,"light_rail","Blue Line",1996
86,69,"light_rail","Blue Line",1992
