"nodeID_from","nodeID_to","mode","line","year"
NA,7,"light_rail","J Church",NA
NA,7,"light_rail","K Ingleside",NA
NA,7,"light_rail","L Taraval",NA
NA,7,"light_rail","M Ocean View",NA
NA,7,"light_rail","N Judah",NA
1,12,"light_rail","T Third Street",1976
12,13,"light_rail","T Third Street",2021
13,14,"light_rail","T Third Street",2021
14,15,"light_rail","T Third Street",2021
NA,54,"light_rail","T Third Street",NA
27,28,"commuter_rail","Local",1985
28,53,"commuter_rail","Local",1909
53,54,"commuter_rail","Local",1907
54,44,"commuter_rail","Local",1907
44,56,"commuter_rail","Local",2003
1,3,"heavy_rail","Muni Metro",1976
3,6,"heavy_rail","Muni Metro",NA
3,6,"heavy_rail","San Francisco Line",NA
6,7,"heavy_rail","San Francisco Line",NA
7,8,"heavy_rail","San Francisco Line",1973
8,9,"heavy_rail","San Francisco Line",NA
9,10,"heavy_rail","San Francisco Line",NA
10,11,"heavy_rail","San Francisco Line",NA
11,16,"heavy_rail","San Francisco Line",NA
16,61,"heavy_rail","San Francisco Line",1974
18,20,"heavy_rail","Richmond-North San Jose Line",1972
20,22,"heavy_rail","Richmond-North San Jose Line",2020
22,29,"heavy_rail","Richmond-North San Jose Line",2020
29,34,"heavy_rail","Richmond-North San Jose Line",1973
34,37,"heavy_rail","Richmond-North San Jose Line",1972
41,47,"heavy_rail","Dublin/Pleasanton Line",2003
47,50,"heavy_rail","Dublin/Pleasanton Line",2003
50,44,"heavy_rail","Dublin/Pleasanton Line",1996
44,56,"heavy_rail","Dublin/Pleasanton Line",2003
56,6,"heavy_rail","Dublin/Pleasanton Line",1863
6,1,"heavy_rail","Dublin/Pleasanton Line",NA
1,61,"heavy_rail","Dublin/Pleasanton Line",1976
17,18,"heavy_rail","Antioch Line",1973
18,24,"heavy_rail","Antioch Line",1972
24,34,"heavy_rail","Antioch Line",1996
34,37,"heavy_rail","Antioch Line",1972
37,41,"heavy_rail","Antioch Line",1972
41,44,"heavy_rail","Antioch Line",2003
44,47,"heavy_rail","Antioch Line",2003
47,50,"heavy_rail","Antioch Line",2003
50,56,"heavy_rail","Antioch Line",1996
56,6,"heavy_rail","Antioch Line",1863
6,1,"heavy_rail","Antioch Line",NA
1,61,"heavy_rail","Antioch Line",1976
29,34,"heavy_rail","Richmond-Millbrae Line",1973
34,37,"heavy_rail","Richmond-Millbrae Line",1972
37,18,"heavy_rail","Richmond-Millbrae Line",1972
18,44,"heavy_rail","Richmond-Millbrae Line",1972
44,47,"heavy_rail","Richmond-Millbrae Line",2003
47,50,"heavy_rail","Richmond-Millbrae Line",2003
50,56,"heavy_rail","Richmond-Millbrae Line",1996
56,6,"heavy_rail","Richmond-Millbrae Line",1863
6,1,"heavy_rail","Richmond-Millbrae Line",NA
1,61,"heavy_rail","Richmond-Millbrae Line",1976
20,22,"heavy_rail","North San Jose-Daly City Line",2020
22,6,"heavy_rail","North San Jose-Daly City Line",2020
6,1,"heavy_rail","North San Jose-Daly City Line",NA
1,61,"heavy_rail","North San Jose-Daly City Line",1976
25,24,"heavy_rail","eBart Line (DMU)",2018
59,53,"commuter_rail","Peninsula Main Line",1864
53,44,"commuter_rail","Peninsula Main Line",1907
44,56,"commuter_rail","Peninsula Main Line",2003
56,61,"commuter_rail","Peninsula Main Line",1863
41,44,"heavy_rail","SFO-Millbrae Line",2003
