"nodeID_from","nodeID_to","mode","line","year"
1,2,"default","Topo",0
2,3,"default","Topo",2012
3,4,"default","Topo",0
4,5,"default","Topo",1912
5,6,"default","Topo",0
6,7,"default","Topo",0
7,8,"default","Topo",0
8,9,"default","Topo",1913
9,10,"default","Topo",0
10,11,"default","Topo",1993
11,12,"default","Topo",1998
12,13,"default","Topo",2016
13,14,"default","Topo",1912
14,16,"default","Topo",2005
16,20,"default","Topo",0
20,21,"default","Topo",0
21,29,"default","Topo",0
29,30,"default","Topo",1913
30,32,"default","Topo",2011
15,19,"default","Renfe",0
19,22,"default","Renfe",0
22,23,"default","Renfe",0
23,24,"default","Renfe",0
24,25,"default","Renfe",0
25,26,"default","Renfe",0
26,27,"default","Renfe",0
27,28,"default","Renfe",0
28,31,"default","Renfe",0
31,33,"default","Renfe",0
33,34,"default","Renfe",0
34,35,"default","Renfe",0
17,18,"default","Línea general",0
36,37,"bus","5 Benta Berri ",NA
