"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","1",2009
2,3,"light_rail","1",2009
3,4,"light_rail","1",2009
4,5,"light_rail","1",2009
5,6,"light_rail","1",2009
6,7,"light_rail","1",2009
7,8,"light_rail","1",2009
8,9,"light_rail","1",2009
9,10,"light_rail","1",2009
10,11,"light_rail","1",2009
11,12,"light_rail","1",2009
12,13,"light_rail","1",2009
13,14,"light_rail","1",2009
14,15,"light_rail","1",2009
15,16,"light_rail","1",2009
16,17,"light_rail","1",2009
17,18,"light_rail","1",2009
18,19,"light_rail","1",2009
19,20,"light_rail","1",2009
20,21,"light_rail","1",2009
21,22,"light_rail","1",2009
23,24,"tram","T1",2007
24,25,"tram","T1",2007
25,26,"tram","T1",2007
26,27,"tram","T1",2007
27,28,"tram","T1",2007
29,33,"commuter_rail","C-1",1992
33,35,"commuter_rail","C-1",2015
35,40,"commuter_rail","C-1",1998
40,41,"commuter_rail","C-1",1992
41,43,"commuter_rail","C-1",2004
43,47,"commuter_rail","C-1",2011
47,51,"commuter_rail","C-1",2020
51,63,"commuter_rail","C-1",1992
63,65,"commuter_rail","C-1",1991
65,67,"commuter_rail","C-1",2011
67,69,"commuter_rail","C-1",1991
69,71,"commuter_rail","C-1",1991
71,73,"commuter_rail","C-1",1991
36,37,"commuter_rail","C-2",2012
37,38,"commuter_rail","C-2",1992
38,39,"commuter_rail","C-2",2012
39,51,"commuter_rail","C-2",1992
51,61,"commuter_rail","C-2",1992
47,51,"commuter_rail","C-3",2020
51,63,"commuter_rail","C-3",1992
63,65,"commuter_rail","C-3",1991
65,67,"commuter_rail","C-3",2011
67,69,"commuter_rail","C-3",1991
69,71,"commuter_rail","C-3",1991
29,32,"commuter_rail","C-4",1992
32,41,"commuter_rail","C-4",2004
41,43,"commuter_rail","C-4",2004
43,46,"commuter_rail","C-4",2011
46,47,"commuter_rail","C-4",2004
29,33,"commuter_rail","C-5",1992
33,43,"commuter_rail","C-5",2015
43,47,"commuter_rail","C-5",2011
47,54,"commuter_rail","C-5",2020
54,55,"commuter_rail","C-5",2011
55,56,"commuter_rail","C-5",2011
56,57,"commuter_rail","C-5",2011
57,58,"commuter_rail","C-5",2011
58,59,"commuter_rail","C-5",2011
59,60,"commuter_rail","C-5",2011
60,61,"commuter_rail","C-5",2020
