"nodeID_from","nodeID_to","mode","line","year"
1,9,"heavy_rail","Line 1",2004
9,10,"heavy_rail","Line 1",1993
10,11,"heavy_rail","Line 1",1993
11,12,"heavy_rail","Line 1",1993
12,13,"heavy_rail","Line 1",1993
13,14,"heavy_rail","Line 1",1993
14,15,"heavy_rail","Line 1",1996
15,16,"heavy_rail","Line 1",1996
16,17,"heavy_rail","Line 1",1996
17,18,"heavy_rail","Line 1",1995
18,19,"heavy_rail","Line 1",1995
19,20,"heavy_rail","Line 1",1995
20,21,"heavy_rail","Line 1",1995
21,22,"heavy_rail","Line 1",1995
22,23,"heavy_rail","Line 1",1995
23,24,"heavy_rail","Line 1",1995
24,25,"heavy_rail","Line 1",1995
25,26,"heavy_rail","Line 1",2004
26,27,"heavy_rail","Line 1",2004
27,29,"heavy_rail","Line 1",2004
29,32,"heavy_rail","Line 1",2004
32,33,"heavy_rail","Line 1",2004
33,35,"heavy_rail","Line 1",2004
35,36,"heavy_rail","Line 1",2004
36,37,"heavy_rail","Line 1",2004
37,39,"heavy_rail","Line 1",2007
39,40,"heavy_rail","Line 1",2007
2,28,"heavy_rail","Line 2",2006
28,30,"heavy_rail","Line 2",2006
30,31,"heavy_rail","Line 2",2006
31,34,"heavy_rail","Line 2",2006
34,38,"heavy_rail","Line 2",2010
38,41,"heavy_rail","Line 2",2010
41,42,"heavy_rail","Line 2",1999
42,43,"heavy_rail","Line 2",1999
43,44,"heavy_rail","Line 2",2010
44,45,"heavy_rail","Line 2",1999
45,46,"heavy_rail","Line 2",1999
46,47,"heavy_rail","Line 2",1999
47,48,"heavy_rail","Line 2",2010
48,49,"heavy_rail","Line 2",1999
49,50,"heavy_rail","Line 2",1999
50,51,"heavy_rail","Line 2",1999
51,52,"heavy_rail","Line 2",2010
52,53,"heavy_rail","Line 2",1999
53,54,"heavy_rail","Line 2",1999
54,55,"heavy_rail","Line 2",1999
55,56,"heavy_rail","Line 2",1999
56,58,"heavy_rail","Line 2",2000
58,59,"heavy_rail","Line 2",2010
59,60,"heavy_rail","Line 2",2010
60,61,"heavy_rail","Line 2",2010
61,63,"heavy_rail","Line 2",2010
63,64,"heavy_rail","Line 2",2010
64,65,"heavy_rail","Line 2",2010
65,399,"heavy_rail","Line 2",2010
57,62,"heavy_rail","Line 3",2000
62,66,"heavy_rail","Line 3",2000
66,67,"heavy_rail","Line 3",2000
67,68,"heavy_rail","Line 3",2000
68,69,"heavy_rail","Line 3",2000
69,70,"heavy_rail","Line 3",2000
70,71,"heavy_rail","Line 3",2000
71,72,"heavy_rail","Line 3",2000
72,73,"heavy_rail","Line 3",2000
73,74,"heavy_rail","Line 3",2000
74,75,"heavy_rail","Line 3",2000
75,76,"heavy_rail","Line 3",2000
76,77,"heavy_rail","Line 3",2000
77,78,"heavy_rail","Line 3",2000
78,79,"heavy_rail","Line 3",2000
79,80,"heavy_rail","Line 3",2000
80,81,"heavy_rail","Line 3",2000
81,82,"heavy_rail","Line 3",2000
82,162,"heavy_rail","Line 3",2000
162,164,"heavy_rail","Line 3",2006
164,167,"heavy_rail","Line 3",2006
167,171,"heavy_rail","Line 3",2006
171,175,"heavy_rail","Line 3",2006
175,179,"heavy_rail","Line 3",2006
179,184,"heavy_rail","Line 3",2006
184,189,"heavy_rail","Line 3",2006
189,210,"heavy_rail","Line 3",2006
