"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","Line 1",2017
2,27,"heavy_rail","Line 1",2017
27,28,"heavy_rail","Line 1",2019
28,29,"heavy_rail","Line 1",2019
29,30,"heavy_rail","Line 1",2019
30,31,"heavy_rail","Line 1",2019
31,32,"heavy_rail","Line 1",2019
32,33,"heavy_rail","Line 1",2019
33,34,"heavy_rail","Line 1",2017
34,35,"heavy_rail","Line 1",2017
35,36,"heavy_rail","Line 1",2017
36,37,"heavy_rail","Line 1",2017
37,38,"heavy_rail","Line 1",2017
38,39,"heavy_rail","Line 1",2017
39,40,"heavy_rail","Line 1",2017
40,41,"heavy_rail","Line 1",2017
41,42,"heavy_rail","Line 1",2017
42,43,"heavy_rail","Line 1",2017
43,44,"heavy_rail","Line 1",2017
44,45,"heavy_rail","Line 1",2017
45,46,"heavy_rail","Line 1",2017
46,47,"heavy_rail","Line 1",2017
47,48,"heavy_rail","Line 1",2017
48,49,"heavy_rail","Line 1",2017
49,50,"heavy_rail","Line 1",2017
3,4,"heavy_rail","Line 2",2020
4,51,"heavy_rail","Line 2",2020
51,52,"heavy_rail","Line 2",2020
52,53,"heavy_rail","Line 2",2020
53,54,"heavy_rail","Line 2",2020
54,55,"heavy_rail","Line 2",2020
55,56,"heavy_rail","Line 2",2020
56,57,"heavy_rail","Line 2",2020
57,58,"heavy_rail","Line 2",2020
58,59,"heavy_rail","Line 2",2020
59,60,"heavy_rail","Line 2",2020
60,61,"heavy_rail","Line 2",2020
61,62,"heavy_rail","Line 2",2020
62,63,"heavy_rail","Line 2",2020
5,6,"heavy_rail","Line 3",2021
6,7,"heavy_rail","Line 3",2021
7,8,"heavy_rail","Line 3",2021
8,9,"heavy_rail","Line 3",2021
9,10,"heavy_rail","Line 3",2021
10,11,"heavy_rail","Line 3",2021
11,12,"heavy_rail","Line 3",2021
12,13,"heavy_rail","Line 3",2021
13,14,"heavy_rail","Line 3",2021
14,15,"heavy_rail","Line 3",2021
15,16,"heavy_rail","Line 3",2021
16,17,"heavy_rail","Line 3",2021
17,18,"heavy_rail","Line 3",2017
18,19,"heavy_rail","Line 3",2017
19,20,"heavy_rail","Line 3",2017
20,21,"heavy_rail","Line 3",2017
21,22,"heavy_rail","Line 3",2017
22,23,"heavy_rail","Line 3",2017
23,24,"heavy_rail","Line 3",2020
24,25,"heavy_rail","Line 3",2020
25,26,"heavy_rail","Line 3",2020
