"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","Line 1",1998
2,3,"heavy_rail","Line 1",1998
3,4,"heavy_rail","Line 1",1998
4,5,"heavy_rail","Line 1",1998
5,6,"heavy_rail","Line 1",1998
6,7,"heavy_rail","Line 1",1999
7,8,"heavy_rail","Line 1",2000
8,9,"heavy_rail","Line 1",2009
9,10,"heavy_rail","Line 1",2009
10,11,"heavy_rail","Line 1",2009
11,12,"heavy_rail","Line 1",2009
12,13,"heavy_rail","Line 1",2009
13,14,"heavy_rail","Line 1",2009
14,15,"heavy_rail","Line 1",2015
15,16,"heavy_rail","Line 1",2015
17,18,"heavy_rail","Line 2",2003
18,19,"heavy_rail","Line 2",2012
19,20,"heavy_rail","Line 2",2012
20,21,"heavy_rail","Line 2",2012
21,22,"heavy_rail","Line 2",2012
22,23,"heavy_rail","Line 2",2012
23,24,"heavy_rail","Line 2",2012
24,25,"heavy_rail","Line 2",2012
25,26,"heavy_rail","Line 2",2012
26,27,"heavy_rail","Line 2",2012
27,28,"heavy_rail","Line 2",2012
28,29,"heavy_rail","Line 2",2012
29,30,"heavy_rail","Line 2",2016
30,32,"heavy_rail","Line 2",2012
32,13,"heavy_rail","Line 2",2012
13,12,"heavy_rail","Line 2",2009
12,11,"heavy_rail","Line 2",2009
11,10,"heavy_rail","Line 2",2009
10,9,"heavy_rail","Line 2",2009
9,8,"heavy_rail","Line 2",2009
8,7,"heavy_rail","Line 2",2009
7,6,"heavy_rail","Line 2",2000
6,5,"heavy_rail","Line 2",1999
5,4,"heavy_rail","Line 2",1998
4,3,"heavy_rail","Line 2",1998
3,2,"heavy_rail","Line 2",1998
2,1,"heavy_rail","Line 2",1998
1,36,"heavy_rail","Line 2",1998
36,37,"heavy_rail","Line 2",2015
37,38,"heavy_rail","Line 2",2015
38,39,"heavy_rail","Line 2",2015
NA,26,"heavy_rail","Line 3",NA
30,32,"heavy_rail","Line 4",2012
32,13,"heavy_rail","Line 4",2012
13,36,"heavy_rail","Line 4",2009
36,37,"heavy_rail","Line 4",2015
37,38,"heavy_rail","Line 4",2015
38,39,"heavy_rail","Line 4",2015
39,12,"heavy_rail","Line 4",2015
12,11,"heavy_rail","Line 4",2009
11,10,"heavy_rail","Line 4",2009
10,9,"heavy_rail","Line 4",2009
9,8,"heavy_rail","Line 4",2009
8,7,"heavy_rail","Line 4",2009
7,6,"heavy_rail","Line 4",2000
6,5,"heavy_rail","Line 4",1999
5,4,"heavy_rail","Line 4",1998
4,3,"heavy_rail","Line 4",1998
3,2,"heavy_rail","Line 4",1998
2,1,"heavy_rail","Line 4",1998
1,17,"heavy_rail","Line 4",1998
