"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","Red Line",1993
2,3,"light_rail","Red Line",1993
3,4,"light_rail","Red Line",1993
4,5,"light_rail","Red Line",2018
5,6,"light_rail","Red Line",1993
6,7,"light_rail","Red Line",1993
7,8,"light_rail","Red Line",1993
8,9,"light_rail","Red Line",1993
9,10,"light_rail","Red Line",1993
10,11,"light_rail","Red Line",1994
11,13,"light_rail","Red Line",1993
13,15,"light_rail","Red Line",2001
15,26,"light_rail","Red Line",1993
26,27,"light_rail","Red Line",1993
27,28,"light_rail","Red Line",1993
28,29,"light_rail","Red Line",1993
29,30,"light_rail","Red Line",1993
30,31,"light_rail","Red Line",1993
31,32,"light_rail","Red Line",1993
32,33,"light_rail","Red Line",1998
33,34,"light_rail","Red Line",1994
34,36,"light_rail","Red Line",2001
36,38,"light_rail","Red Line",2001
11,13,"light_rail","Blue Line",1993
13,15,"light_rail","Blue Line",2001
15,8,"light_rail","Blue Line",1993
8,1,"light_rail","Blue Line",1993
1,6,"light_rail","Blue Line",1993
6,7,"light_rail","Blue Line",1993
7,5,"light_rail","Blue Line",1993
5,3,"light_rail","Blue Line",1993
3,2,"light_rail","Blue Line",1993
2,9,"light_rail","Blue Line",1993
9,10,"light_rail","Blue Line",1993
10,34,"light_rail","Blue Line",1994
34,36,"light_rail","Blue Line",2001
36,38,"light_rail","Blue Line",2001
38,4,"light_rail","Blue Line",2001
