"nodeID_from","nodeID_to","mode","line","year"
1,6,"heavy_rail","19",1951
6,2,"heavy_rail","19",0
2,10,"heavy_rail","19",1950
10,19,"heavy_rail","19",0
19,24,"heavy_rail","19",0
24,27,"heavy_rail","19",0
27,55,"heavy_rail","19",0
55,58,"heavy_rail","19",0
2,10,"heavy_rail","14",1950
10,19,"heavy_rail","14",0
19,40,"heavy_rail","14",0
40,41,"heavy_rail","14",0
41,42,"heavy_rail","14",0
42,47,"heavy_rail","14",0
47,48,"heavy_rail","14",0
48,49,"heavy_rail","14",0
49,50,"heavy_rail","14",0
10,17,"heavy_rail","10",0
2,10,"heavy_rail","13",1950
10,19,"heavy_rail","13",0
19,42,"heavy_rail","13",0
42,44,"heavy_rail","13",0
44,45,"heavy_rail","13",1967
45,46,"heavy_rail","13",0
2,6,"heavy_rail","17",1950
6,10,"heavy_rail","17",0
10,19,"heavy_rail","17",0
19,24,"heavy_rail","17",0
24,27,"heavy_rail","17",0
27,30,"heavy_rail","17",0
30,32,"heavy_rail","17",0
32,33,"heavy_rail","17",0
33,34,"heavy_rail","17",0
34,35,"heavy_rail","17",0
35,36,"heavy_rail","17",0
36,55,"heavy_rail","17",0
55,58,"heavy_rail","17",0
2,6,"heavy_rail","18",1950
6,10,"heavy_rail","18",0
10,19,"heavy_rail","18",0
19,24,"heavy_rail","18",0
24,27,"heavy_rail","18",0
27,30,"heavy_rail","18",0
30,55,"heavy_rail","18",0
10,17,"heavy_rail","11",0
51,52,"ferry","82",0
52,53,"ferry","82",0
