"nodeID_from","nodeID_to","mode","line","year"
1,2,"commuter_rail","T1",1887
2,3,"commuter_rail","T1",1901
3,4,"commuter_rail","T1",1887
4,5,"commuter_rail","T1",1915
5,9,"commuter_rail","T1",1886
9,54,"commuter_rail","T1",1932
54,82,"commuter_rail","T1",1932
9,44,"commuter_rail","T2",1932
44,48,"commuter_rail","T2",1956
48,51,"commuter_rail","T2",1926
51,54,"commuter_rail","T2",1926
54,82,"commuter_rail","T2",1932
9,35,"commuter_rail","T3",1932
35,44,"commuter_rail","T3",1884
44,48,"commuter_rail","T3",1956
48,51,"commuter_rail","T3",1926
51,54,"commuter_rail","T3",1926
54,82,"commuter_rail","T3",1932
6,7,"commuter_rail","T4",1979
7,8,"commuter_rail","T4",1979
8,9,"commuter_rail","T4",1979
9,10,"commuter_rail","T4",1932
10,15,"commuter_rail","T4",1979
15,16,"commuter_rail","T4",1979
16,17,"commuter_rail","T4",1886
17,18,"commuter_rail","T4",1886
18,19,"commuter_rail","T4",1920
19,20,"commuter_rail","T4",1886
20,21,"commuter_rail","T4",1885
21,22,"commuter_rail","T4",1931
22,23,"commuter_rail","T4",1885
23,24,"commuter_rail","T4",1886
24,25,"commuter_rail","T4",1897
25,26,"commuter_rail","T4",1886
26,27,"commuter_rail","T4",1884
27,28,"commuter_rail","T4",1925
28,29,"commuter_rail","T4",1887
29,30,"commuter_rail","T4",1884
30,31,"commuter_rail","T4",1884
31,32,"commuter_rail","T4",1906
32,33,"commuter_rail","T4",1884
33,34,"commuter_rail","T4",2000
34,35,"commuter_rail","T4",1884
35,38,"commuter_rail","T4",1884
38,39,"commuter_rail","T4",1939
39,40,"commuter_rail","T4",1939
40,41,"commuter_rail","T4",1939
41,42,"commuter_rail","T4",1939
42,43,"commuter_rail","T4",1939
43,47,"commuter_rail","T4",1939
81,82,"commuter_rail","T7",1998
9,35,"commuter_rail","T8",1932
35,44,"commuter_rail","T8",1884
44,48,"commuter_rail","T8",1956
48,51,"commuter_rail","T8",1926
51,54,"commuter_rail","T8",1926
58,59,"light_rail","L1",1997
59,60,"light_rail","L1",1997
60,61,"light_rail","L1",1997
61,62,"light_rail","L1",1997
62,63,"light_rail","L1",1997
63,64,"light_rail","L1",1997
64,65,"light_rail","L1",1997
65,66,"light_rail","L1",1997
66,67,"light_rail","L1",1997
67,68,"light_rail","L1",1997
68,69,"light_rail","L1",2000
69,70,"light_rail","L1",2000
70,71,"light_rail","L1",2000
71,72,"light_rail","L1",2000
72,73,"light_rail","L1",2014
73,74,"light_rail","L1",2014
74,75,"light_rail","L1",2014
75,76,"light_rail","L1",2014
76,77,"light_rail","L1",2014
77,78,"light_rail","L1",2014
78,79,"light_rail","L1",2014
79,80,"light_rail","L1",2014
86,87,"light_rail","L2",2019
87,88,"light_rail","L2",2019
88,89,"light_rail","L2",2019
