"nodeID_from","nodeID_to","mode","line","year"
105,119,"heavy_rail","Linha 1 • Azul (CMSP)",1978
119,141,"heavy_rail","Linha 1 • Azul (CMSP)",1974
141,121,"heavy_rail","Linha 1 • Azul (CMSP)",1975
121,144,"heavy_rail","Linha 1 • Azul (CMSP)",1975
144,145,"heavy_rail","Linha 1 • Azul (CMSP)",1975
145,147,"heavy_rail","Linha 1 • Azul (CMSP)",1975
147,148,"heavy_rail","Linha 1 • Azul (CMSP)",1974
148,135,"heavy_rail","Linha 1 • Azul (CMSP)",1975
135,152,"heavy_rail","Linha 1 • Azul (CMSP)",1975
152,156,"heavy_rail","Linha 1 • Azul (CMSP)",1974
156,157,"heavy_rail","Linha 1 • Azul (CMSP)",1975
157,158,"heavy_rail","Linha 1 • Azul (CMSP)",1998
158,159,"heavy_rail","Linha 1 • Azul (CMSP)",1998
159,160,"heavy_rail","Linha 1 • Azul (CMSP)",1975
160,164,"heavy_rail","Linha 1 • Azul (CMSP)",1998
164,134,"heavy_rail","Linha 1 • Azul (CMSP)",1975
134,168,"heavy_rail","Linha 1 • Azul (CMSP)",1975
168,170,"heavy_rail","Linha 1 • Azul (CMSP)",1975
170,172,"heavy_rail","Linha 1 • Azul (CMSP)",1974
172,175,"heavy_rail","Linha 1 • Azul (CMSP)",1975
175,176,"heavy_rail","Linha 1 • Azul (CMSP)",1974
176,178,"heavy_rail","Linha 1 • Azul (CMSP)",1974
100,121,"heavy_rail","Linha 2 • Verde (CMSP)",2007
121,122,"heavy_rail","Linha 2 • Verde (CMSP)",1975
122,134,"heavy_rail","Linha 2 • Verde (CMSP)",2014
134,142,"heavy_rail","Linha 2 • Verde (CMSP)",1975
142,150,"heavy_rail","Linha 2 • Verde (CMSP)",1998
150,151,"heavy_rail","Linha 2 • Verde (CMSP)",2006
151,120,"heavy_rail","Linha 2 • Verde (CMSP)",1998
120,133,"heavy_rail","Linha 2 • Verde (CMSP)",2006
133,155,"heavy_rail","Linha 2 • Verde (CMSP)",2010
155,167,"heavy_rail","Linha 2 • Verde (CMSP)",2010
167,169,"heavy_rail","Linha 2 • Verde (CMSP)",1991
169,171,"heavy_rail","Linha 2 • Verde (CMSP)",1991
171,173,"heavy_rail","Linha 2 • Verde (CMSP)",1991
65,105,"heavy_rail","Linha 3 • Vermelha (CMSP)",1920
105,109,"heavy_rail","Linha 3 • Vermelha (CMSP)",1978
109,111,"heavy_rail","Linha 3 • Vermelha (CMSP)",1892
111,188,"heavy_rail","Linha 3 • Vermelha (CMSP)",1934
188,190,"heavy_rail","Linha 3 • Vermelha (CMSP)",1979
190,191,"heavy_rail","Linha 3 • Vermelha (CMSP)",1980
191,192,"heavy_rail","Linha 3 • Vermelha (CMSP)",1981
192,126,"heavy_rail","Linha 3 • Vermelha (CMSP)",1983
126,194,"heavy_rail","Linha 3 • Vermelha (CMSP)",1982
194,195,"heavy_rail","Linha 3 • Vermelha (CMSP)",1983
195,112,"heavy_rail","Linha 3 • Vermelha (CMSP)",1988
112,222,"heavy_rail","Linha 3 • Vermelha (CMSP)",1988
222,247,"heavy_rail","Linha 3 • Vermelha (CMSP)",1988
247,248,"heavy_rail","Linha 3 • Vermelha (CMSP)",1921
248,249,"heavy_rail","Linha 3 • Vermelha (CMSP)",1948
249,250,"heavy_rail","Linha 3 • Vermelha (CMSP)",1921
250,251,"heavy_rail","Linha 3 • Vermelha (CMSP)",1894
13,35,"heavy_rail","Linha 5 • Lilás (ViaMobilidade)",2017
35,36,"heavy_rail","Linha 5 • Lilás (ViaMobilidade)",2018
36,37,"heavy_rail","Linha 5 • Lilás (ViaMobilidade)",2018
37,38,"heavy_rail","Linha 5 • Lilás (ViaMobilidade)",2018
38,44,"heavy_rail","Linha 5 • Lilás (ViaMobilidade)",2018
44,46,"heavy_rail","Linha 5 • Lilás (ViaMobilidade)",2017
46,118,"heavy_rail","Linha 5 • Lilás (ViaMobilidade)",2017
118,119,"heavy_rail","Linha 5 • Lilás (ViaMobilidade)",999999
119,120,"heavy_rail","Linha 5 • Lilás (ViaMobilidade)",1974
120,220,"heavy_rail","Linha 5 • Lilás (ViaMobilidade)",2006
220,138,"heavy_rail","Linha 5 • Lilás (ViaMobilidade)",2002
138,231,"heavy_rail","Linha 5 • Lilás (ViaMobilidade)",2002
231,252,"heavy_rail","Linha 5 • Lilás (ViaMobilidade)",2002
252,256,"heavy_rail","Linha 5 • Lilás (ViaMobilidade)",2002
256,258,"heavy_rail","Linha 5 • Lilás (ViaMobilidade)",2014
258,259,"heavy_rail","Linha 5 • Lilás (ViaMobilidade)",2002
7,9,"heavy_rail","Linha 15 • Prata (CMSP)",2019
9,14,"heavy_rail","Linha 15 • Prata (CMSP)",2018
14,18,"heavy_rail","Linha 15 • Prata (CMSP)",2019
18,22,"heavy_rail","Linha 15 • Prata (CMSP)",2019
22,25,"heavy_rail","Linha 15 • Prata (CMSP)",2018
25,27,"heavy_rail","Linha 15 • Prata (CMSP)",2019
27,28,"heavy_rail","Linha 15 • Prata (CMSP)",2018
28,122,"heavy_rail","Linha 15 • Prata (CMSP)",2018
122,162,"heavy_rail","Linha 15 • Prata (CMSP)",2014
5,10,"heavy_rail","Linha 4 • Amarela (ViaQuatro)",2021
10,12,"heavy_rail","Linha 4 • Amarela (ViaQuatro)",2018
12,16,"heavy_rail","Linha 4 • Amarela (ViaQuatro)",2018
16,104,"heavy_rail","Linha 4 • Amarela (ViaQuatro)",2018
104,126,"heavy_rail","Linha 4 • Amarela (ViaQuatro)",1957
126,135,"heavy_rail","Linha 4 • Amarela (ViaQuatro)",1982
135,163,"heavy_rail","Linha 4 • Amarela (ViaQuatro)",1975
163,165,"heavy_rail","Linha 4 • Amarela (ViaQuatro)",2010
165,233,"heavy_rail","Linha 4 • Amarela (ViaQuatro)",2010
233,255,"heavy_rail","Linha 4 • Amarela (ViaQuatro)",2011
116,117,"heavy_rail","Linha 7 • Rubi (CPTM)",1908
117,124,"heavy_rail","Linha 7 • Rubi (CPTM)",1867
124,125,"heavy_rail","Linha 7 • Rubi (CPTM)",1891
125,146,"heavy_rail","Linha 7 • Rubi (CPTM)",1881
146,174,"heavy_rail","Linha 7 • Rubi (CPTM)",1885
174,115,"heavy_rail","Linha 7 • Rubi (CPTM)",1960
115,179,"heavy_rail","Linha 7 • Rubi (CPTM)",1867
179,180,"heavy_rail","Linha 7 • Rubi (CPTM)",1888
