"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","Wenhu Line",1996
2,3,"light_rail","Wenhu Line",1996
3,4,"light_rail","Wenhu Line",1996
4,5,"light_rail","Wenhu Line",1996
5,6,"light_rail","Wenhu Line",1996
6,7,"light_rail","Wenhu Line",1996
7,8,"light_rail","Wenhu Line",1996
8,9,"light_rail","Wenhu Line",1996
9,10,"light_rail","Wenhu Line",1996
10,11,"light_rail","Wenhu Line",1996
11,12,"light_rail","Wenhu Line",1996
12,13,"light_rail","Wenhu Line",1996
13,14,"light_rail","Wenhu Line",2009
14,15,"light_rail","Wenhu Line",2009
15,16,"light_rail","Wenhu Line",2009
16,17,"light_rail","Wenhu Line",2009
17,18,"light_rail","Wenhu Line",2009
18,19,"light_rail","Wenhu Line",2009
19,20,"light_rail","Wenhu Line",2009
20,21,"light_rail","Wenhu Line",2009
21,22,"light_rail","Wenhu Line",2009
22,23,"light_rail","Wenhu Line",2009
23,24,"light_rail","Wenhu Line",2009
25,26,"heavy_rail","Tamsui-Xinyi Line",1997
26,27,"heavy_rail","Tamsui-Xinyi Line",1997
27,28,"heavy_rail","Tamsui-Xinyi Line",1997
28,29,"heavy_rail","Tamsui-Xinyi Line",1997
29,30,"heavy_rail","Tamsui-Xinyi Line",1997
30,31,"heavy_rail","Tamsui-Xinyi Line",1997
31,32,"heavy_rail","Tamsui-Xinyi Line",1997
32,33,"heavy_rail","Tamsui-Xinyi Line",1997
33,34,"heavy_rail","Tamsui-Xinyi Line",1997
34,35,"heavy_rail","Tamsui-Xinyi Line",1997
35,36,"heavy_rail","Tamsui-Xinyi Line",1997
36,37,"heavy_rail","Tamsui-Xinyi Line",1997
37,38,"heavy_rail","Tamsui-Xinyi Line",1997
38,39,"heavy_rail","Tamsui-Xinyi Line",1997
39,40,"heavy_rail","Tamsui-Xinyi Line",1997
40,41,"heavy_rail","Tamsui-Xinyi Line",1997
41,42,"heavy_rail","Tamsui-Xinyi Line",1997
42,43,"heavy_rail","Tamsui-Xinyi Line",1997
43,44,"heavy_rail","Tamsui-Xinyi Line",1997
44,45,"heavy_rail","Tamsui-Xinyi Line",1997
45,46,"heavy_rail","Tamsui-Xinyi Line",1998
46,47,"heavy_rail","Tamsui-Xinyi Line",1998
47,49,"heavy_rail","Tamsui-Xinyi Line",1998
49,51,"heavy_rail","Tamsui-Xinyi Line",1998
51,53,"heavy_rail","Tamsui-Xinyi Line",1998
53,55,"heavy_rail","Tamsui-Xinyi Line",1998
55,58,"heavy_rail","Tamsui-Xinyi Line",1998
58,60,"heavy_rail","Tamsui-Xinyi Line",1998
60,62,"heavy_rail","Tamsui-Xinyi Line",1999
62,64,"heavy_rail","Tamsui-Xinyi Line",1999
64,66,"heavy_rail","Tamsui-Xinyi Line",1999
66,68,"heavy_rail","Tamsui-Xinyi Line",1999
68,70,"heavy_rail","Tamsui-Xinyi Line",1999
70,72,"heavy_rail","Tamsui-Xinyi Line",1999
72,74,"heavy_rail","Tamsui-Xinyi Line",1999
74,76,"heavy_rail","Tamsui-Xinyi Line",1999
76,110,"heavy_rail","Tamsui-Xinyi Line",2004
110,111,"heavy_rail","Tamsui-Xinyi Line",2013
111,112,"heavy_rail","Tamsui-Xinyi Line",2013
112,113,"heavy_rail","Tamsui-Xinyi Line",2013
113,114,"heavy_rail","Tamsui-Xinyi Line",2013
114,115,"heavy_rail","Tamsui-Xinyi Line",2013
115,208,"heavy_rail","Tamsui-Xinyi Line",2013
47,49,"heavy_rail","Zhonghe-Xinlu Line",1998
