"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","Line 2",2020
2,3,"heavy_rail","Line 2",2020
3,4,"heavy_rail","Line 2",2020
4,5,"heavy_rail","Line 2",2020
5,6,"heavy_rail","Line 2",2020
6,7,"heavy_rail","Line 2",2020
7,8,"heavy_rail","Line 2",2020
8,9,"heavy_rail","Line 2",2020
9,10,"heavy_rail","Line 2",2020
10,11,"heavy_rail","Line 2",2020
11,12,"heavy_rail","Line 2",2020
12,13,"heavy_rail","Line 2",2020
13,14,"heavy_rail","Line 2",2020
14,15,"heavy_rail","Line 2",2020
15,16,"heavy_rail","Line 2",2020
16,17,"heavy_rail","Line 2",2020
17,18,"heavy_rail","Line 2",2020
18,19,"heavy_rail","Line 2",2020
19,20,"heavy_rail","Line 2",2020
20,21,"heavy_rail","Line 2",2020
21,22,"heavy_rail","Line 2",2020
22,23,"heavy_rail","Line 2",2020
