"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","Light rail",2021
2,3,"light_rail","Light rail",2021
3,4,"light_rail","Light rail",2021
4,5,"light_rail","Light rail",2021
5,6,"light_rail","Light rail",2021
6,7,"light_rail","Light rail",2021
7,8,"light_rail","Light rail",2021
8,9,"light_rail","Light rail",2021
9,10,"light_rail","Light rail",2021
10,11,"light_rail","Light rail",2021
11,12,"light_rail","Light rail",2021
12,13,"light_rail","Light rail",2021
13,14,"light_rail","Light rail",2021
14,15,"light_rail","Light rail",2021
15,16,"light_rail","Light rail",2021
16,17,"light_rail","Light rail",2021
17,18,"light_rail","Light rail",2021
18,19,"light_rail","Light rail",2021
19,20,"light_rail","Light rail",2021
20,21,"light_rail","Light rail",2021
21,22,"light_rail","Light rail",2021
22,23,"light_rail","Light rail",2021
23,24,"light_rail","Light rail",2021
24,25,"light_rail","Light rail",2021
25,26,"light_rail","Light rail",2023
26,27,"light_rail","Light rail",2023
