"nodeID_from","nodeID_to","mode","line","year"
1,2,"default","Biru",0
2,3,"default","Biru",0
3,4,"default","Biru",0
4,5,"default","Biru",0
5,6,"default","Biru",0
6,7,"default","Biru",0
7,8,"default","Biru",0
8,63,"default","Biru",0
63,64,"default","Biru",0
9,10,"default","Abang",0
10,11,"default","Abang",0
11,12,"default","Abang",0
12,13,"default","Abang",0
13,14,"default","Abang",0
14,15,"default","Abang",0
15,16,"default","Abang",0
16,17,"default","Abang",0
17,18,"default","Abang",0
18,19,"default","Abang",0
19,20,"default","Abang",0
20,21,"default","Abang",0
21,22,"default","Abang",0
22,23,"default","Abang",0
23,24,"default","Abang",0
24,25,"default","Abang",0
25,26,"default","Abang",0
27,28,"default","Ijo",0
28,29,"default","Ijo",0
29,30,"default","Ijo",0
30,31,"default","Ijo",0
31,32,"default","Ijo",0
32,33,"default","Ijo",0
33,34,"default","Ijo",0
34,35,"default","Ijo",0
35,38,"default","Ijo",0
36,37,"default","Kuning",0
37,39,"default","Kuning",0
39,40,"default","Kuning",0
40,41,"default","Kuning",0
41,42,"default","Kuning",0
42,43,"default","Kuning",0
43,44,"default","Kuning",0
44,45,"default","Kuning",0
46,47,"default","Coklat",0
47,48,"default","Coklat",0
48,49,"default","Coklat",0
49,50,"default","Coklat",0
50,51,"default","Coklat",0
51,52,"default","Coklat",0
52,53,"default","Coklat",0
54,55,"default","Ungu",0
55,56,"default","Ungu",0
56,57,"default","Ungu",0
57,58,"default","Ungu",0
58,59,"default","Ungu",0
59,60,"default","Ungu",0
61,62,"default","Jambon",0
