"nodeID_from","nodeID_to","mode","line","year"
5,23,"heavy_rail","Line 1",1984
23,24,"heavy_rail","Line 1",2006
24,25,"heavy_rail","Line 1",2006
25,166,"heavy_rail","Line 1",2006
166,167,"heavy_rail","Line 1",2006
167,168,"heavy_rail","Line 1",2006
168,169,"heavy_rail","Line 1",2006
169,170,"heavy_rail","Line 1",2006
170,171,"heavy_rail","Line 1",2006
171,172,"heavy_rail","Line 1",2006
172,173,"heavy_rail","Line 1",1984
173,174,"heavy_rail","Line 1",1980
174,175,"heavy_rail","Line 1",1980
175,176,"heavy_rail","Line 1",1980
176,177,"heavy_rail","Line 1",1980
177,178,"heavy_rail","Line 1",1980
178,179,"heavy_rail","Line 1",2006
179,180,"heavy_rail","Line 1",1980
180,181,"heavy_rail","Line 1",2006
181,182,"heavy_rail","Line 1",2006
182,183,"heavy_rail","Line 1",2006
183,184,"heavy_rail","Line 1",2006
184,185,"heavy_rail","Line 1",2006
185,186,"heavy_rail","Line 1",2018
26,27,"heavy_rail","Line 2",2012
27,148,"heavy_rail","Line 2",2012
148,149,"heavy_rail","Line 2",2012
149,150,"heavy_rail","Line 2",2012
150,151,"heavy_rail","Line 2",2012
151,152,"heavy_rail","Line 2",2012
152,153,"heavy_rail","Line 2",2012
153,154,"heavy_rail","Line 2",2012
154,155,"heavy_rail","Line 2",2012
155,156,"heavy_rail","Line 2",2012
156,157,"heavy_rail","Line 2",2012
157,158,"heavy_rail","Line 2",2013
158,159,"heavy_rail","Line 2",2012
159,160,"heavy_rail","Line 2",2012
160,161,"heavy_rail","Line 2",2012
161,162,"heavy_rail","Line 2",2012
162,163,"heavy_rail","Line 2",2012
163,164,"heavy_rail","Line 2",2012
164,165,"heavy_rail","Line 2",2012
1,2,"heavy_rail","Line 3",2012
2,3,"heavy_rail","Line 3",2012
3,4,"heavy_rail","Line 3",2012
4,42,"heavy_rail","Line 3",2012
42,43,"heavy_rail","Line 3",2012
43,44,"heavy_rail","Line 3",2012
44,45,"heavy_rail","Line 3",2012
45,46,"heavy_rail","Line 3",2012
46,47,"heavy_rail","Line 3",2012
47,48,"heavy_rail","Line 3",2013
48,49,"heavy_rail","Line 3",2013
49,50,"heavy_rail","Line 3",2012
50,51,"heavy_rail","Line 3",2012
51,52,"heavy_rail","Line 3",2012
52,137,"heavy_rail","Line 3",2012
137,138,"heavy_rail","Line 3",2013
138,139,"heavy_rail","Line 3",2012
139,140,"heavy_rail","Line 3",2012
140,141,"heavy_rail","Line 3",2012
141,142,"heavy_rail","Line 3",2012
142,143,"heavy_rail","Line 3",2012
143,144,"heavy_rail","Line 3",2012
144,145,"heavy_rail","Line 3",2012
145,146,"heavy_rail","Line 3",2012
146,147,"heavy_rail","Line 3",2012
28,29,"heavy_rail","Line 4",2021
29,30,"heavy_rail","Line 4",2021
30,31,"heavy_rail","Line 4",2021
31,32,"heavy_rail","Line 4",2021
32,33,"heavy_rail","Line 4",2021
33,34,"heavy_rail","Line 4",2021
34,35,"heavy_rail","Line 4",2021
35,36,"heavy_rail","Line 4",2021
36,37,"heavy_rail","Line 4",2021
37,38,"heavy_rail","Line 4",2021
38,39,"heavy_rail","Line 4",2021
39,40,"heavy_rail","Line 4",2021
40,41,"heavy_rail","Line 4",2021
53,54,"heavy_rail","Line 5",2018
54,55,"heavy_rail","Line 5",2018
55,56,"heavy_rail","Line 5",2018
56,57,"heavy_rail","Line 5",2018
57,93,"heavy_rail","Line 5",2018
93,95,"heavy_rail","Line 5",2018
95,116,"heavy_rail","Line 5",2018
116,117,"heavy_rail","Line 5",2018
117,118,"heavy_rail","Line 5",2018
118,119,"heavy_rail","Line 5",2018
119,120,"heavy_rail","Line 5",2018
120,121,"heavy_rail","Line 5",2018
121,122,"heavy_rail","Line 5",2018
122,123,"heavy_rail","Line 5",2018
123,124,"heavy_rail","Line 5",2018
124,125,"heavy_rail","Line 5",2018
125,126,"heavy_rail","Line 5",2018
126,127,"heavy_rail","Line 5",2018
127,128,"heavy_rail","Line 5",2018
