"nodeID_from","nodeID_to","mode","line","year"
2866,2867,"heavy_rail","Ginza Line",1938
2867,2868,"heavy_rail","Ginza Line",1938
2868,2869,"heavy_rail","Ginza Line",1932
2869,2870,"heavy_rail","Ginza Line",1997
2870,2871,"heavy_rail","Ginza Line",1939
2871,2872,"heavy_rail","Ginza Line",1934
2872,2873,"heavy_rail","Ginza Line",1934
2873,2874,"heavy_rail","Ginza Line",1932
2874,2875,"heavy_rail","Ginza Line",1930
2875,2876,"heavy_rail","Ginza Line",1927
2876,2877,"heavy_rail","Ginza Line",1927
2877,2878,"heavy_rail","Ginza Line",1927
2878,2879,"heavy_rail","Ginza Line",1931
2879,2880,"heavy_rail","Ginza Line",1932
2880,2881,"heavy_rail","Ginza Line",1978
2881,3029,"heavy_rail","Ginza Line",1927
3029,3341,"heavy_rail","Ginza Line",1930
3341,3516,"heavy_rail","Ginza Line",1938
3516,3517,"heavy_rail","Ginza Line",1938
3517,3518,"heavy_rail","Ginza Line",1939
3518,2898,"heavy_rail","Ginza Line",2020
2882,2883,"heavy_rail","Marunouchi Line",1961
2883,2884,"heavy_rail","Marunouchi Line",1954
2884,2885,"heavy_rail","Marunouchi Line",1959
2885,2886,"heavy_rail","Marunouchi Line",1957
2886,2888,"heavy_rail","Marunouchi Line",1956
2888,2889,"heavy_rail","Marunouchi Line",1958
2889,2890,"heavy_rail","Marunouchi Line",1954
2890,2891,"heavy_rail","Marunouchi Line",1959
2891,2892,"heavy_rail","Marunouchi Line",1954
2892,2893,"heavy_rail","Marunouchi Line",1954
2893,2894,"heavy_rail","Marunouchi Line",1956
2894,2895,"heavy_rail","Marunouchi Line",1959
2895,2896,"heavy_rail","Marunouchi Line",1956
2896,2897,"heavy_rail","Marunouchi Line",1961
2897,2898,"heavy_rail","Marunouchi Line",1961
2898,2899,"heavy_rail","Marunouchi Line",1959
2899,2900,"heavy_rail","Marunouchi Line",1961
2900,2901,"heavy_rail","Marunouchi Line",1959
2901,2902,"heavy_rail","Marunouchi Line",1959
2902,2903,"heavy_rail","Marunouchi Line",1959
2903,2905,"heavy_rail","Marunouchi Line",1961
2905,2906,"heavy_rail","Marunouchi Line",1961
2906,2907,"heavy_rail","Marunouchi Line",1962
2907,2909,"heavy_rail","Marunouchi Line",1962
2909,2911,"heavy_rail","Marunouchi Line",1964
2911,3379,"heavy_rail","Marunouchi Line",1996
3379,3389,"heavy_rail","Marunouchi Line",1954
671,2926,"heavy_rail","Hibiya Line",1961
2926,2927,"heavy_rail","Hibiya Line",1961
2927,2928,"heavy_rail","Hibiya Line",1961
2928,2929,"heavy_rail","Hibiya Line",1961
2929,2930,"heavy_rail","Hibiya Line",1962
2930,2931,"heavy_rail","Hibiya Line",1962
2931,2963,"heavy_rail","Hibiya Line",1962
2963,2964,"heavy_rail","Hibiya Line",1963
2964,2966,"heavy_rail","Hibiya Line",1963
2966,2968,"heavy_rail","Hibiya Line",1963
2968,2969,"heavy_rail","Hibiya Line",1963
2969,2970,"heavy_rail","Hibiya Line",1962
2970,2972,"heavy_rail","Hibiya Line",1964
2972,2973,"heavy_rail","Hibiya Line",1964
2973,2974,"heavy_rail","Hibiya Line",1964
2974,2976,"heavy_rail","Hibiya Line",1964
2976,2977,"heavy_rail","Hibiya Line",1964
2977,2979,"heavy_rail","Hibiya Line",1964
2979,3192,"heavy_rail","Hibiya Line",1964
3192,3530,"heavy_rail","Hibiya Line",2020
3530,2944,"heavy_rail","Hibiya Line",1961
