"nodeID_from","nodeID_to","mode","line","year"
1,25,"heavy_rail","Line 1 Yonge-University",1954
25,26,"heavy_rail","Line 1 Yonge-University",1954
26,27,"heavy_rail","Line 1 Yonge-University",1978
27,28,"heavy_rail","Line 1 Yonge-University",1978
28,29,"heavy_rail","Line 1 Yonge-University",1978
29,30,"heavy_rail","Line 1 Yonge-University",1978
30,32,"heavy_rail","Line 1 Yonge-University",1978
32,33,"heavy_rail","Line 1 Yonge-University",1973
33,34,"heavy_rail","Line 1 Yonge-University",1963
34,55,"heavy_rail","Line 1 Yonge-University",1978
55,56,"heavy_rail","Line 1 Yonge-University",2017
56,57,"heavy_rail","Line 1 Yonge-University",2017
57,58,"heavy_rail","Line 1 Yonge-University",2017
58,59,"heavy_rail","Line 1 Yonge-University",2017
59,60,"heavy_rail","Line 1 Yonge-University",2017
60,74,"heavy_rail","Line 1 Yonge-University",2017
74,87,"heavy_rail","Line 1 Yonge-University",1974
87,88,"heavy_rail","Line 1 Yonge-University",1996
88,89,"heavy_rail","Line 1 Yonge-University",1963
89,90,"heavy_rail","Line 1 Yonge-University",1963
90,91,"heavy_rail","Line 1 Yonge-University",1963
91,92,"heavy_rail","Line 1 Yonge-University",1963
92,93,"heavy_rail","Line 1 Yonge-University",1963
93,97,"heavy_rail","Line 1 Yonge-University",1978
97,99,"heavy_rail","Line 1 Yonge-University",1987
99,100,"heavy_rail","Line 1 Yonge-University",1974
100,102,"heavy_rail","Line 1 Yonge-University",2002
102,106,"heavy_rail","Line 1 Yonge-University",1966
106,107,"heavy_rail","Line 1 Yonge-University",1954
107,109,"heavy_rail","Line 1 Yonge-University",1966
109,110,"heavy_rail","Line 1 Yonge-University",1973
110,111,"heavy_rail","Line 1 Yonge-University",1954
111,112,"heavy_rail","Line 1 Yonge-University",1954
112,113,"heavy_rail","Line 1 Yonge-University",1954
113,114,"heavy_rail","Line 1 Yonge-University",1954
114,115,"heavy_rail","Line 1 Yonge-University",1954
115,116,"heavy_rail","Line 1 Yonge-University",1954
116,117,"heavy_rail","Line 1 Yonge-University",1954
31,35,"heavy_rail","Line 2 Bloor-Danforth",1968
35,36,"heavy_rail","Line 2 Bloor-Danforth",1966
36,37,"heavy_rail","Line 2 Bloor-Danforth",1966
37,38,"heavy_rail","Line 2 Bloor-Danforth",1966
38,39,"heavy_rail","Line 2 Bloor-Danforth",1966
39,40,"heavy_rail","Line 2 Bloor-Danforth",1966
40,41,"heavy_rail","Line 2 Bloor-Danforth",1966
41,42,"heavy_rail","Line 2 Bloor-Danforth",1966
42,43,"heavy_rail","Line 2 Bloor-Danforth",1966
43,44,"heavy_rail","Line 2 Bloor-Danforth",1968
44,45,"heavy_rail","Line 2 Bloor-Danforth",1985
45,46,"heavy_rail","Line 2 Bloor-Danforth",1966
46,47,"heavy_rail","Line 2 Bloor-Danforth",1966
47,48,"heavy_rail","Line 2 Bloor-Danforth",1966
48,49,"heavy_rail","Line 2 Bloor-Danforth",1966
49,50,"heavy_rail","Line 2 Bloor-Danforth",1966
50,51,"heavy_rail","Line 2 Bloor-Danforth",1968
51,52,"heavy_rail","Line 2 Bloor-Danforth",1968
52,53,"heavy_rail","Line 2 Bloor-Danforth",1968
53,54,"heavy_rail","Line 2 Bloor-Danforth",1968
54,93,"heavy_rail","Line 2 Bloor-Danforth",1968
93,95,"heavy_rail","Line 2 Bloor-Danforth",1978
95,96,"heavy_rail","Line 2 Bloor-Danforth",1966
96,102,"heavy_rail","Line 2 Bloor-Danforth",1980
102,104,"heavy_rail","Line 2 Bloor-Danforth",1966
104,105,"heavy_rail","Line 2 Bloor-Danforth",1966
105,107,"heavy_rail","Line 2 Bloor-Danforth",1966
107,121,"heavy_rail","Line 2 Bloor-Danforth",1966
121,122,"heavy_rail","Line 2 Bloor-Danforth",1968
122,123,"heavy_rail","Line 2 Bloor-Danforth",1968
21,22,"heavy_rail","Line 3 Scarborough",1985
22,23,"heavy_rail","Line 3 Scarborough",1985
23,24,"heavy_rail","Line 3 Scarborough",1985
24,98,"heavy_rail","Line 3 Scarborough",1985
98,44,"heavy_rail","Line 3 Scarborough",1985
100,118,"heavy_rail","Line 4 Sheppard",2002
118,119,"heavy_rail","Line 4 Sheppard",2002
119,120,"heavy_rail","Line 4 Sheppard",2002
61,62,"light_rail","Line 5 Eglinton",2022
62,63,"light_rail","Line 5 Eglinton",2022
63,64,"light_rail","Line 5 Eglinton",2022
64,65,"light_rail","Line 5 Eglinton",2022
65,66,"light_rail","Line 5 Eglinton",2022
66,67,"light_rail","Line 5 Eglinton",2022
67,68,"light_rail","Line 5 Eglinton",2022
68,69,"light_rail","Line 5 Eglinton",2022
69,70,"light_rail","Line 5 Eglinton",2022
70,71,"light_rail","Line 5 Eglinton",2022
71,72,"light_rail","Line 5 Eglinton",2022
72,73,"light_rail","Line 5 Eglinton",2022
73,75,"light_rail","Line 5 Eglinton",2022
75,76,"light_rail","Line 5 Eglinton",2022
76,77,"light_rail","Line 5 Eglinton",2022
77,78,"light_rail","Line 5 Eglinton",2022
78,79,"light_rail","Line 5 Eglinton",2022
79,80,"light_rail","Line 5 Eglinton",2022
80,81,"light_rail","Line 5 Eglinton",2022
81,82,"light_rail","Line 5 Eglinton",2022
82,83,"light_rail","Line 5 Eglinton",2022
83,84,"light_rail","Line 5 Eglinton",2022
84,85,"light_rail","Line 5 Eglinton",2022
85,86,"light_rail","Line 5 Eglinton",2022
2,3,"commuter_rail","Lakeshore West Line",1967
3,4,"commuter_rail","Lakeshore West Line",1967
4,5,"commuter_rail","Lakeshore West Line",1967
5,6,"commuter_rail","Lakeshore West Line",1967
6,7,"commuter_rail","Lakeshore West Line",1967
7,8,"commuter_rail","Lakeshore West Line",1967
8,9,"commuter_rail","Lakeshore West Line",1967
9,10,"commuter_rail","Lakeshore West Line",1988
10,11,"commuter_rail","Lakeshore West Line",1967
11,12,"commuter_rail","Lakeshore West Line",1967
13,14,"commuter_rail","Milton Line",1981
14,15,"commuter_rail","Milton Line",1981
15,16,"commuter_rail","Milton Line",1981
16,17,"commuter_rail","Milton Line",1981
17,18,"commuter_rail","Milton Line",1981
18,19,"commuter_rail","Milton Line",1981
19,20,"commuter_rail","Milton Line",2007
NA,55,"commuter_rail","Barrie Line",NA
124,125,"tram","510 - Spadina",1997
125,126,"tram","510 - Spadina",1997
126,127,"tram","510 - Spadina",1997
127,128,"tram","510 - Spadina",1997
128,129,"tram","510 - Spadina",1997
129,130,"tram","510 - Spadina",1997
130,131,"tram","510 - Spadina",1997
131,132,"tram","510 - Spadina",1997
132,133,"tram","510 - Spadina",1997
133,134,"tram","510 - Spadina",1997
134,135,"tram","510 - Spadina",1997
135,140,"tram","510 - Spadina",1997
140,141,"tram","510 - Spadina",1997
141,142,"tram","510 - Spadina",1997
142,143,"tram","510 - Spadina",1997
143,144,"tram","510 - Spadina",1997
144,145,"tram","510 - Spadina",1997
145,146,"tram","510 - Spadina",1997
146,147,"tram","510 - Spadina",1997
147,148,"tram","510 - Spadina",1997
148,149,"tram","510 - Spadina",1997
165,168,"tram","504 - King",2016
168,171,"tram","504 - King",2016
171,174,"tram","504 - King",2016
174,176,"tram","504 - King",NA
176,180,"tram","504 - King",NA
180,184,"tram","504 - King",NA
184,188,"tram","504 - King",NA
188,192,"tram","504 - King",NA
192,196,"tram","504 - King",NA
196,200,"tram","504 - King",NA
200,204,"tram","504 - King",NA
204,208,"tram","504 - King",NA
