"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","A",2013
2,3,"light_rail","A",2013
3,4,"light_rail","A",2013
4,5,"light_rail","A",2013
5,6,"light_rail","A",2013
6,7,"light_rail","A",2013
7,8,"light_rail","A",2013
8,9,"light_rail","A",2013
9,10,"light_rail","A",2013
10,11,"light_rail","A",2013
11,12,"light_rail","A",2013
12,13,"light_rail","A",2013
13,14,"light_rail","A",2013
14,15,"light_rail","A",2013
15,16,"light_rail","A",2013
16,17,"light_rail","A",2013
17,18,"light_rail","A",2013
18,19,"light_rail","A",2013
19,20,"light_rail","A",2013
20,21,"light_rail","A",2013
21,22,"light_rail","A",2013
22,23,"light_rail","A",2013
23,24,"light_rail","A",2013
24,25,"light_rail","A",2013
25,26,"light_rail","A",2013
26,27,"light_rail","A",2013
27,28,"light_rail","A",2013
28,29,"light_rail","A",2013
29,30,"light_rail","A",2013
30,31,"light_rail","A",2013
31,32,"light_rail","A",2013
32,33,"light_rail","A",2013
33,34,"light_rail","A",2013
34,35,"light_rail","A",2013
35,36,"light_rail","A",2013
36,37,"light_rail","A",2013
37,38,"light_rail","A",2013
38,39,"light_rail","A",2013
39,40,"light_rail","A",2013
40,41,"light_rail","A",2013
41,42,"light_rail","A",2013
42,43,"light_rail","A",2013
43,44,"light_rail","A",2013
44,45,"light_rail","A",2013
45,46,"light_rail","A",2013
46,47,"light_rail","A",2013
47,48,"light_rail","A",2013
48,49,"light_rail","A",2013
49,50,"light_rail","A",2013
50,51,"light_rail","A",2013
51,52,"light_rail","A",2013
52,53,"light_rail","A",2013
53,54,"light_rail","A",2013
54,55,"light_rail","A",2013
55,56,"light_rail","A",2013
56,57,"light_rail","A",2013
57,58,"light_rail","A",2013
58,59,"light_rail","A",2013
59,60,"light_rail","A",2013
60,61,"light_rail","A",2013
61,62,"light_rail","A",2013
