"nodeID_from","nodeID_to","mode","line","year"
167,169,"heavy_rail","1",1988
169,171,"heavy_rail","1",1988
171,173,"heavy_rail","1",1988
173,175,"heavy_rail","1",1988
175,177,"heavy_rail","1",1988
177,222,"heavy_rail","1",1988
222,224,"heavy_rail","1",1988
167,169,"heavy_rail","2",1988
169,171,"heavy_rail","2",1988
171,173,"heavy_rail","2",1988
173,175,"heavy_rail","2",1988
175,177,"heavy_rail","2",1988
177,222,"heavy_rail","2",1988
222,224,"heavy_rail","2",1988
224,226,"heavy_rail","2",1988
226,227,"heavy_rail","2",0
227,228,"heavy_rail","2",0
228,229,"heavy_rail","2",0
229,230,"heavy_rail","2",0
230,231,"heavy_rail","2",0
231,232,"heavy_rail","2",0
232,233,"heavy_rail","2",0
233,234,"heavy_rail","2",0
234,235,"heavy_rail","2",0
235,236,"heavy_rail","2",0
236,237,"heavy_rail","2",0
237,238,"heavy_rail","2",0
238,239,"heavy_rail","2",0
239,240,"heavy_rail","2",0
240,241,"heavy_rail","2",0
241,242,"heavy_rail","2",0
242,243,"heavy_rail","2",0
243,244,"heavy_rail","2",0
244,245,"heavy_rail","2",0
245,246,"heavy_rail","2",0
246,247,"heavy_rail","2",0
247,248,"heavy_rail","2",0
248,249,"heavy_rail","2",0
249,250,"heavy_rail","2",0
250,251,"heavy_rail","2",0
251,252,"heavy_rail","2",0
89,91,"heavy_rail","3",1995
91,93,"heavy_rail","3",1995
93,95,"heavy_rail","3",1995
95,97,"heavy_rail","3",1995
97,99,"heavy_rail","3",1995
99,101,"heavy_rail","3",1995
101,103,"heavy_rail","3",0
103,105,"heavy_rail","3",0
105,106,"heavy_rail","3",0
106,107,"heavy_rail","3",0
107,108,"heavy_rail","3",0
108,109,"heavy_rail","3",0
109,110,"heavy_rail","3",0
110,111,"heavy_rail","3",0
111,112,"heavy_rail","3",0
112,113,"heavy_rail","3",0
113,114,"heavy_rail","3",0
114,115,"heavy_rail","3",0
115,116,"heavy_rail","3",0
116,117,"heavy_rail","3",0
117,118,"heavy_rail","3",0
118,119,"heavy_rail","3",0
119,120,"heavy_rail","3",0
120,122,"heavy_rail","3",1995
122,124,"heavy_rail","3",1995
124,126,"heavy_rail","3",1995
126,128,"heavy_rail","3",1995
128,134,"heavy_rail","3",1998
134,140,"heavy_rail","3",1998
140,143,"heavy_rail","3",0
143,146,"heavy_rail","3",1998
146,149,"heavy_rail","3",1998
149,152,"heavy_rail","3",0
152,155,"heavy_rail","3",0
155,158,"heavy_rail","3",0
158,161,"heavy_rail","3",1998
161,164,"heavy_rail","3",0
164,179,"heavy_rail","3",0
179,182,"heavy_rail","3",2007
182,185,"heavy_rail","3",0
185,188,"heavy_rail","3",2007
188,191,"heavy_rail","3",2007
191,194,"heavy_rail","3",NA
194,197,"heavy_rail","3",0
197,200,"heavy_rail","3",2007
200,203,"heavy_rail","3",2007
203,206,"heavy_rail","3",0
206,209,"heavy_rail","3",2007
11,13,"light_rail","4",1994
13,15,"light_rail","4",1994
15,17,"light_rail","4",1994
17,19,"light_rail","4",1994
19,21,"light_rail","4",1994
21,23,"light_rail","4",1994
23,25,"light_rail","4",1994
25,27,"light_rail","4",1994
27,29,"light_rail","4",1994
29,31,"light_rail","4",1994
31,33,"light_rail","4",1994
33,35,"light_rail","4",1994
35,37,"light_rail","4",1994
37,39,"light_rail","4",1994
39,41,"light_rail","4",1994
41,43,"light_rail","4",1994
43,45,"light_rail","4",1994
45,47,"light_rail","4",1994
47,48,"light_rail","4",1994
48,49,"light_rail","4",1994
49,50,"light_rail","4",1994
50,51,"light_rail","4",1994
51,52,"light_rail","4",1994
52,53,"light_rail","4",1994
53,54,"light_rail","4",1994
54,55,"light_rail","4",1994
55,56,"light_rail","4",1994
56,57,"light_rail","4",1994
57,58,"light_rail","4",1994
58,59,"light_rail","4",1994
59,60,"light_rail","4",1994
60,61,"light_rail","4",1994
61,62,"light_rail","4",1994
62,63,"light_rail","4",1994
63,64,"light_rail","4",1994
64,65,"light_rail","4",1994
65,66,"light_rail","4",1994
66,67,"light_rail","4",1994
67,68,"light_rail","4",1994
68,69,"light_rail","4",1994
69,70,"light_rail","4",1994
70,71,"light_rail","4",1994
71,72,"light_rail","4",1994
72,73,"light_rail","4",1994
73,74,"light_rail","4",1994
74,75,"light_rail","4",1994
75,76,"light_rail","4",1999
76,77,"light_rail","4",1999
77,78,"light_rail","4",1999
78,79,"light_rail","4",2005
79,80,"light_rail","4",2005
80,81,"light_rail","4",2005
81,82,"light_rail","4",2005
82,83,"light_rail","4",2005
83,84,"light_rail","4",2005
84,85,"light_rail","4",2005
