"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","Metro",2005
2,3,"heavy_rail","Metro",2005
3,4,"heavy_rail","Metro",2005
4,5,"heavy_rail","Metro",NA
5,6,"heavy_rail","Metro",NA
6,7,"heavy_rail","Metro",NA
7,8,"heavy_rail","Metro",NA
8,9,"heavy_rail","Metro",NA
9,10,"heavy_rail","Metro",NA
10,11,"heavy_rail","Metro",NA
11,12,"heavy_rail","Metro",NA
12,13,"heavy_rail","Metro",NA
13,38,"heavy_rail","Metro",1989
38,39,"heavy_rail","Metro",NA
39,40,"heavy_rail","Metro",NA
40,69,"heavy_rail","Metro",NA
69,72,"heavy_rail","Metro",NA
72,73,"heavy_rail","Metro",2005
73,85,"heavy_rail","Metro",NA
28,29,"people_mover","Barón",1906
49,50,"people_mover","Artillería",1892
14,15,"people_mover","Cordillera",1894
18,19,"people_mover","Concepción",1883
16,17,"people_mover","El Peral",1901
20,21,"people_mover","Reina Victoria",1903
22,23,"people_mover","Mariposas",1906
24,25,"people_mover","Florida",1907
26,27,"people_mover","Lecheros",1908
30,31,"people_mover","Espíritu Santo",1911
32,33,"people_mover","Monjas",1912
34,35,"people_mover","Villaseca",1913
36,37,"people_mover","San Agustín",1913
41,42,"people_mover","Larraín",1906
43,44,"people_mover","Bellavista",1899
45,46,"people_mover","Panteón",1901
65,66,"people_mover","Esmeralda",1905
57,58,"people_mover","Arrayán",1907
51,52,"people_mover","La Cruz",1907
55,56,"people_mover","Santo Domingo",1910
61,62,"people_mover","Placeres",1913
63,64,"people_mover","Ramaditas",1914
67,68,"people_mover","Polanco",1911
59,60,"people_mover","Delicias",1925
53,54,"people_mover","Perdices",1931
47,48,"people_mover","Las Cañas",1925
69,4,"commuter_rail","MERVAL (1987-2005)",NA
4,73,"commuter_rail","MERVAL (1987-2005)",NA
73,5,"commuter_rail","MERVAL (1987-2005)",NA
5,6,"commuter_rail","MERVAL (1987-2005)",NA
6,77,"commuter_rail","MERVAL (1987-2005)",NA
77,39,"commuter_rail","MERVAL (1987-2005)",NA
39,11,"commuter_rail","MERVAL (1987-2005)",NA
11,80,"commuter_rail","MERVAL (1987-2005)",NA
80,81,"commuter_rail","MERVAL (1987-2005)",1998
81,82,"commuter_rail","MERVAL (1987-2005)",1995
82,7,"commuter_rail","MERVAL (1987-2005)",1987
7,8,"commuter_rail","MERVAL (1987-2005)",NA
8,85,"commuter_rail","MERVAL (1987-2005)",NA
NA,40,"commuter_rail","MERVAL (1987-2005)",NA
40,9,"commuter_rail","MERVAL (1987-2005)",NA
9,12,"commuter_rail","MERVAL (1987-2005)",NA
12,38,"commuter_rail","MERVAL (1987-2005)",NA
NA,10,"commuter_rail","MERVAL (1987-2005)",NA
NA,13,"commuter_rail","MERVAL (1987-2005)",NA
