"nodeID_from","nodeID_to","mode","line","year"
34,35,"heavy_rail","Canada Line",2009
35,36,"heavy_rail","Canada Line",2009
36,37,"heavy_rail","Canada Line",2009
37,38,"heavy_rail","Canada Line",2009
38,39,"heavy_rail","Canada Line",2009
39,40,"heavy_rail","Canada Line",2009
40,41,"heavy_rail","Canada Line",2009
41,42,"heavy_rail","Canada Line",2009
42,43,"heavy_rail","Canada Line",2009
43,44,"heavy_rail","Canada Line",2009
44,45,"heavy_rail","Canada Line",2009
45,46,"heavy_rail","Canada Line",2009
46,47,"heavy_rail","Canada Line",2009
47,48,"heavy_rail","Canada Line",2009
48,49,"heavy_rail","Canada Line",2009
1,2,"heavy_rail","Expo Line",1985
2,3,"heavy_rail","Expo Line",1985
3,4,"heavy_rail","Expo Line",1985
4,5,"heavy_rail","Expo Line",1985
5,6,"heavy_rail","Expo Line",1985
6,7,"heavy_rail","Expo Line",1985
7,8,"heavy_rail","Expo Line",1985
8,9,"heavy_rail","Expo Line",1985
9,10,"heavy_rail","Expo Line",1985
10,11,"heavy_rail","Expo Line",1985
11,12,"heavy_rail","Expo Line",1985
12,13,"heavy_rail","Expo Line",1985
13,14,"heavy_rail","Expo Line",1989
14,15,"heavy_rail","Expo Line",1985
15,16,"heavy_rail","Expo Line",1990
16,17,"heavy_rail","Expo Line",1994
17,18,"heavy_rail","Expo Line",1994
18,50,"heavy_rail","Expo Line",1994
50,51,"heavy_rail","Expo Line",1985
51,53,"heavy_rail","Expo Line",2002
53,55,"heavy_rail","Expo Line",2002
55,57,"heavy_rail","Expo Line",2016
19,20,"heavy_rail","Millennium Line",2006
20,21,"heavy_rail","Millennium Line",2002
21,22,"heavy_rail","Millennium Line",2002
22,23,"heavy_rail","Millennium Line",2002
23,24,"heavy_rail","Millennium Line",2002
24,25,"heavy_rail","Millennium Line",2002
25,26,"heavy_rail","Millennium Line",2002
26,27,"heavy_rail","Millennium Line",2002
27,28,"heavy_rail","Millennium Line",2003
28,29,"heavy_rail","Millennium Line",2016
29,30,"heavy_rail","Millennium Line",2016
30,31,"heavy_rail","Millennium Line",2016
31,32,"heavy_rail","Millennium Line",2016
32,33,"heavy_rail","Millennium Line",2016
33,51,"heavy_rail","Millennium Line",2016
51,53,"heavy_rail","Millennium Line",2002
53,55,"heavy_rail","Millennium Line",2002
55,57,"heavy_rail","Millennium Line",2016
