"nodeID_from","nodeID_to","mode","line","year"
26,27,"heavy_rail","U1",2006
27,28,"heavy_rail","U1",2006
28,29,"heavy_rail","U1",2006
29,30,"heavy_rail","U1",2006
30,32,"heavy_rail","U1",2006
32,33,"heavy_rail","U1",2017
33,34,"heavy_rail","U1",2017
34,35,"heavy_rail","U1",2017
35,36,"heavy_rail","U1",2017
36,47,"heavy_rail","U1",2017
47,56,"heavy_rail","U1",1978
56,57,"heavy_rail","U1",1978
57,58,"heavy_rail","U1",1978
58,59,"heavy_rail","U1",1978
59,60,"heavy_rail","U1",1978
60,61,"heavy_rail","U1",1978
61,63,"heavy_rail","U1",1979
63,64,"heavy_rail","U1",1979
64,65,"heavy_rail","U1",1982
65,66,"heavy_rail","U1",1981
66,67,"heavy_rail","U1",1982
67,68,"heavy_rail","U1",1982
68,69,"heavy_rail","U1",1982
31,37,"heavy_rail","U2",1980
37,84,"heavy_rail","U2",1978
84,85,"heavy_rail","U2",2008
85,86,"heavy_rail","U2",2008
86,87,"heavy_rail","U2",2008
87,88,"heavy_rail","U2",2010
88,89,"heavy_rail","U2",2008
89,60,"heavy_rail","U2",1980
60,93,"heavy_rail","U2",1978
93,94,"heavy_rail","U2",2010
94,95,"heavy_rail","U2",2010
95,96,"heavy_rail","U2",2010
96,97,"heavy_rail","U2",2010
97,98,"heavy_rail","U2",2010
98,99,"heavy_rail","U2",2013
99,100,"heavy_rail","U2",2013
NA,40,"heavy_rail","U2",NA
NA,90,"heavy_rail","U2",NA
1,2,"default","U3",2000
2,3,"default","U3",2000
3,4,"default","U3",2000
4,5,"default","U3",1991
5,6,"default","U3",1991
6,7,"default","U3",2000
7,8,"default","U3",1991
8,43,"default","U3",1991
43,45,"default","U3",1978
45,46,"default","U3",1991
46,47,"default","U3",1991
47,49,"default","U3",1978
49,50,"default","U3",1993
50,51,"default","U3",1993
51,52,"default","U3",1994
52,53,"default","U3",1994
53,54,"default","U3",1998
54,55,"default","U3",1998
55,90,"default","U3",1998
90,89,"default","U3",1993
11,15,"default","U4",1980
15,16,"default","U4",1981
16,17,"default","U4",1981
17,18,"default","U4",1981
18,22,"default","U4",1989
22,23,"default","U4",1981
23,24,"default","U4",1981
24,25,"default","U4",1981
25,37,"default","U4",1980
37,40,"default","U4",1978
40,41,"default","U4",1980
41,42,"default","U4",1980
42,43,"default","U4",1978
43,61,"default","U4",1978
61,60,"default","U4",1979
60,71,"default","U4",1978
71,72,"default","U4",1976
72,73,"default","U4",1995
73,74,"default","U4",1978
9,10,"default","U6",1995
10,12,"default","U6",1995
12,13,"default","U6",1995
13,14,"default","U6",1995
14,19,"default","U6",1995
19,20,"default","U6",1989
20,21,"default","U6",1989
21,18,"default","U6",1995
18,75,"default","U6",1989
75,76,"default","U6",1989
76,77,"default","U6",1989
77,78,"default","U6",1989
78,79,"default","U6",1989
79,50,"default","U6",1989
50,81,"default","U6",1993
81,82,"default","U6",1989
82,83,"default","U6",1989
83,101,"default","U6",1989
101,102,"default","U6",1996
NA,74,"default","U6",NA
74,72,"default","U6",1976
NA,89,"default","U5",NA
89,60,"default","U5",1980
