"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","Manitoba Line",2016
2,3,"light_rail","Manitoba Line",2016
3,4,"light_rail","Manitoba Line",2016
4,8,"light_rail","Manitoba Line",2016
8,26,"light_rail","Manitoba Line",2016
26,27,"light_rail","Manitoba Line",2016
27,28,"light_rail","Manitoba Line",2016
28,71,"light_rail","Manitoba Line",2016
71,72,"light_rail","Manitoba Line",2016
72,73,"light_rail","Manitoba Line",2017
73,74,"light_rail","Manitoba Line",2017
74,75,"light_rail","Manitoba Line",2017
75,76,"light_rail","Manitoba Line",2017
76,51,"light_rail","Manitoba Line",2018
51,78,"light_rail","Manitoba Line",2016
78,79,"light_rail","Manitoba Line",2018
79,80,"light_rail","Manitoba Line",2020
80,81,"light_rail","Manitoba Line",2020
81,70,"light_rail","Manitoba Line",2020
5,6,"light_rail","Canada Line",2021
6,7,"light_rail","Canada Line",2021
7,9,"light_rail","Canada Line",2021
9,10,"light_rail","Canada Line",2016
10,11,"light_rail","Canada Line",2017
11,12,"light_rail","Canada Line",2017
12,13,"light_rail","Canada Line",2018
13,14,"light_rail","Canada Line",2018
14,15,"light_rail","Canada Line",2018
15,16,"light_rail","Canada Line",2017
16,17,"light_rail","Canada Line",2017
17,18,"light_rail","Canada Line",2017
18,19,"light_rail","Canada Line",2017
19,20,"light_rail","Canada Line",2020
20,21,"light_rail","Canada Line",2020
21,22,"light_rail","Canada Line",2020
22,23,"light_rail","Canada Line",2020
23,24,"light_rail","Canada Line",2020
24,25,"light_rail","Canada Line",2020
25,4,"light_rail","Canada Line",2016
29,4,"light_rail","River Line",2018
4,3,"light_rail","River Line",2016
3,2,"light_rail","River Line",2016
2,34,"light_rail","River Line",2016
34,35,"light_rail","River Line",2018
35,36,"light_rail","River Line",2018
36,37,"light_rail","River Line",2018
37,38,"light_rail","River Line",2018
38,39,"light_rail","River Line",2018
39,40,"light_rail","River Line",2018
40,41,"light_rail","River Line",2018
41,42,"light_rail","River Line",2018
42,83,"light_rail","River Line",2018
83,84,"light_rail","River Line",2019
84,18,"light_rail","River Line",2019
43,44,"light_rail","Prairie Line ",2017
44,45,"light_rail","Prairie Line ",2017
45,46,"light_rail","Prairie Line ",2017
46,47,"light_rail","Prairie Line ",2016
47,48,"light_rail","Prairie Line ",2016
48,49,"light_rail","Prairie Line ",2016
49,50,"light_rail","Prairie Line ",2016
50,51,"light_rail","Prairie Line ",2017
51,52,"light_rail","Prairie Line ",2016
52,53,"light_rail","Prairie Line ",2017
53,54,"light_rail","Prairie Line ",2018
54,55,"light_rail","Prairie Line ",2018
55,56,"light_rail","Prairie Line ",2018
56,57,"light_rail","Prairie Line ",2019
57,58,"light_rail","Prairie Line ",2020
58,59,"light_rail","Prairie Line ",2020
59,70,"light_rail","Prairie Line ",2021
60,61,"light_rail","Airport Line",2016
61,62,"light_rail","Airport Line",2016
62,63,"light_rail","Airport Line",2016
63,64,"light_rail","Airport Line",2016
64,65,"light_rail","Airport Line",2017
65,66,"light_rail","Airport Line",2017
66,67,"light_rail","Airport Line",2017
67,68,"light_rail","Airport Line",2017
68,4,"light_rail","Airport Line",2017
86,87,"light_rail","University Line",2017
87,88,"light_rail","University Line",2017
88,89,"light_rail","University Line",2017
89,90,"light_rail","University Line",2017
90,91,"light_rail","University Line",2017
91,92,"light_rail","University Line",2017
NA,4,"light_rail","University Line",NA
4,3,"light_rail","University Line",2016
3,2,"light_rail","University Line",2016
NA,29,"light_rail","Highway Line",NA
29,4,"light_rail","Highway Line",2018
4,56,"light_rail","Highway Line",2016
