"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","Line 1",2004
2,3,"heavy_rail","Line 1",2004
3,4,"heavy_rail","Line 1",2004
4,5,"heavy_rail","Line 1",2004
5,6,"heavy_rail","Line 1",2004
6,7,"heavy_rail","Line 1",2004
7,8,"heavy_rail","Line 1",2004
8,9,"heavy_rail","Line 1",2004
9,10,"heavy_rail","Line 1",2010
10,11,"heavy_rail","Line 1",2010
11,12,"heavy_rail","Line 1",2010
12,13,"heavy_rail","Line 1",2010
13,14,"heavy_rail","Line 1",2010
14,15,"heavy_rail","Line 1",2014
15,16,"heavy_rail","Line 1",2014
16,17,"heavy_rail","Line 1",2010
17,18,"heavy_rail","Line 1",2010
18,19,"heavy_rail","Line 1",2010
19,20,"heavy_rail","Line 1",2010
20,21,"heavy_rail","Line 1",2010
21,22,"heavy_rail","Line 1",2017
22,23,"heavy_rail","Line 1",2017
23,24,"heavy_rail","Line 1",2017
24,25,"heavy_rail","Line 1",2006
25,26,"heavy_rail","Line 1",2010
26,27,"heavy_rail","Line 1",2010
27,28,"heavy_rail","Line 1",2014
28,29,"heavy_rail","Line 1",2010
29,30,"heavy_rail","Line 1",2010
30,31,"heavy_rail","Line 1",2004
31,32,"heavy_rail","Line 1",2010
33,34,"heavy_rail","Line 2",2016
34,35,"heavy_rail","Line 2",2016
35,36,"heavy_rail","Line 2",2016
36,37,"heavy_rail","Line 2",2016
37,38,"heavy_rail","Line 2",2016
38,39,"heavy_rail","Line 2",2012
39,40,"heavy_rail","Line 2",2012
40,41,"heavy_rail","Line 2",2012
41,42,"heavy_rail","Line 2",2012
42,43,"heavy_rail","Line 2",2012
43,44,"heavy_rail","Line 2",2012
44,45,"heavy_rail","Line 2",2012
45,46,"heavy_rail","Line 2",2012
46,47,"heavy_rail","Line 2",2012
47,48,"heavy_rail","Line 2",2012
48,49,"heavy_rail","Line 2",2012
49,50,"heavy_rail","Line 2",2012
50,51,"heavy_rail","Line 2",2012
51,52,"heavy_rail","Line 2",2012
52,53,"heavy_rail","Line 2",2012
53,54,"heavy_rail","Line 2",2012
54,55,"heavy_rail","Line 2",2012
55,56,"heavy_rail","Line 2",2012
56,57,"heavy_rail","Line 2",2012
57,58,"heavy_rail","Line 2",2012
58,59,"heavy_rail","Line 2",2019
59,60,"heavy_rail","Line 2",2019
60,61,"heavy_rail","Line 2",2019
