"nodeID_from","nodeID_to","mode","line","year"
31,32,"heavy_rail","Line 1",2017
32,33,"heavy_rail","Line 1",2017
33,34,"heavy_rail","Line 1",2017
34,35,"heavy_rail","Line 1",2017
35,36,"heavy_rail","Line 1",2017
36,37,"heavy_rail","Line 1",2017
37,38,"heavy_rail","Line 1",2017
38,39,"heavy_rail","Line 1",2017
39,40,"heavy_rail","Line 1",2017
40,41,"heavy_rail","Line 1",2017
41,42,"heavy_rail","Line 1",2017
42,43,"heavy_rail","Line 1",2017
43,44,"heavy_rail","Line 1",2017
44,45,"heavy_rail","Line 1",2017
45,46,"heavy_rail","Line 1",2017
46,47,"heavy_rail","Line 1",2017
47,48,"heavy_rail","Line 1",2017
48,49,"heavy_rail","Line 1",2017
49,50,"heavy_rail","Line 1",2017
50,51,"heavy_rail","Line 1",2017
51,52,"heavy_rail","Line 1",2017
52,53,"heavy_rail","Line 1",2017
53,54,"heavy_rail","Line 1",2017
1,2,"heavy_rail","Line 2",2019
2,3,"heavy_rail","Line 2",2019
3,4,"heavy_rail","Line 2",2019
4,5,"heavy_rail","Line 2",2019
5,6,"heavy_rail","Line 2",2019
6,7,"heavy_rail","Line 2",2019
7,8,"heavy_rail","Line 2",2019
8,9,"heavy_rail","Line 2",2019
9,10,"heavy_rail","Line 2",2019
10,11,"heavy_rail","Line 2",2019
11,12,"heavy_rail","Line 2",2019
12,13,"heavy_rail","Line 2",2019
13,14,"heavy_rail","Line 2",2019
14,15,"heavy_rail","Line 2",2019
15,16,"heavy_rail","Line 2",2019
16,17,"heavy_rail","Line 2",2019
17,18,"heavy_rail","Line 2",2019
18,19,"heavy_rail","Line 2",2019
19,20,"heavy_rail","Line 2",2019
20,21,"heavy_rail","Line 2",2019
21,22,"heavy_rail","Line 2",2019
22,23,"heavy_rail","Line 2",2019
23,24,"heavy_rail","Line 2",2019
24,25,"heavy_rail","Line 2",2019
25,26,"heavy_rail","Line 2",2019
26,27,"heavy_rail","Line 2",2019
27,28,"heavy_rail","Line 2",2019
28,29,"heavy_rail","Line 2",2019
29,30,"heavy_rail","Line 2",2019
55,56,"heavy_rail","Line 3",2021
56,57,"heavy_rail","Line 3",2021
57,58,"heavy_rail","Line 3",2021
58,59,"heavy_rail","Line 3",2021
59,60,"heavy_rail","Line 3",2021
60,61,"heavy_rail","Line 3",2021
61,62,"heavy_rail","Line 3",2021
62,63,"heavy_rail","Line 3",2021
63,64,"heavy_rail","Line 3",2021
64,65,"heavy_rail","Line 3",2021
65,66,"heavy_rail","Line 3",2021
66,67,"heavy_rail","Line 3",2021
67,68,"heavy_rail","Line 3",2021
68,69,"heavy_rail","Line 3",2021
69,70,"heavy_rail","Line 3",2021
70,71,"heavy_rail","Line 3",2021
