"nodeID_from","nodeID_to","mode","line","year"
7,8,"heavy_rail","Line 1",2013
8,9,"heavy_rail","Line 1",2013
9,10,"heavy_rail","Line 1",2013
10,11,"heavy_rail","Line 1",2013
11,12,"heavy_rail","Line 1",2013
12,13,"heavy_rail","Line 1",2013
13,14,"heavy_rail","Line 1",2013
14,15,"heavy_rail","Line 1",2013
15,16,"heavy_rail","Line 1",2013
16,17,"heavy_rail","Line 1",2013
17,18,"heavy_rail","Line 1",2013
18,19,"heavy_rail","Line 1",2013
19,20,"heavy_rail","Line 1",2013
20,21,"heavy_rail","Line 1",2013
21,22,"heavy_rail","Line 1",2013
22,23,"heavy_rail","Line 1",2013
23,24,"heavy_rail","Line 1",2013
24,25,"heavy_rail","Line 1",2013
25,26,"heavy_rail","Line 1",2013
26,27,"heavy_rail","Line 1",2013
27,28,"heavy_rail","Line 1",2017
28,29,"heavy_rail","Line 1",2017
29,30,"heavy_rail","Line 1",2017
30,31,"heavy_rail","Line 1",2017
31,32,"heavy_rail","Line 1",2017
32,33,"heavy_rail","Line 1",2017
33,34,"heavy_rail","Line 1",2017
34,35,"heavy_rail","Line 1",2017
35,36,"heavy_rail","Line 1",2017
37,38,"heavy_rail","Line 2",2019
38,39,"heavy_rail","Line 2",2019
39,40,"heavy_rail","Line 2",2019
40,41,"heavy_rail","Line 2",2019
41,42,"heavy_rail","Line 2",2019
42,43,"heavy_rail","Line 2",2016
43,44,"heavy_rail","Line 2",2016
44,45,"heavy_rail","Line 2",2016
45,46,"heavy_rail","Line 2",2016
46,47,"heavy_rail","Line 2",2016
47,48,"heavy_rail","Line 2",2016
48,49,"heavy_rail","Line 2",2016
49,54,"heavy_rail","Line 2",2016
54,56,"heavy_rail","Line 2",2016
56,57,"heavy_rail","Line 2",2016
57,58,"heavy_rail","Line 2",2016
58,59,"heavy_rail","Line 2",2016
59,62,"heavy_rail","Line 2",2016
62,63,"heavy_rail","Line 2",2016
94,95,"heavy_rail","Line 3",2021
95,96,"heavy_rail","Line 3",2021
96,97,"heavy_rail","Line 3",2020
97,104,"heavy_rail","Line 3",2020
104,105,"heavy_rail","Line 3",2020
105,106,"heavy_rail","Line 3",2020
106,107,"heavy_rail","Line 3",2020
107,108,"heavy_rail","Line 3",2020
108,109,"heavy_rail","Line 3",2020
109,110,"heavy_rail","Line 3",2020
110,111,"heavy_rail","Line 3",2020
111,112,"heavy_rail","Line 3",2020
112,113,"heavy_rail","Line 3",2020
113,114,"heavy_rail","Line 3",2020
114,115,"heavy_rail","Line 3",2020
115,116,"heavy_rail","Line 3",2020
116,117,"heavy_rail","Line 3",2020
117,118,"heavy_rail","Line 3",2020
118,119,"heavy_rail","Line 3",2020
119,120,"heavy_rail","Line 3",2020
73,74,"heavy_rail","Line 4",2020
74,75,"heavy_rail","Line 4",2020
75,76,"heavy_rail","Line 4",2020
76,77,"heavy_rail","Line 4",2020
77,78,"heavy_rail","Line 4",2020
78,79,"heavy_rail","Line 4",2020
79,80,"heavy_rail","Line 4",2020
80,81,"heavy_rail","Line 4",2020
81,82,"heavy_rail","Line 4",2020
82,83,"heavy_rail","Line 4",2020
83,84,"heavy_rail","Line 4",2020
84,85,"heavy_rail","Line 4",2020
85,86,"heavy_rail","Line 4",2020
86,87,"heavy_rail","Line 4",2020
87,88,"heavy_rail","Line 4",2020
88,89,"heavy_rail","Line 4",2020
89,90,"heavy_rail","Line 4",2020
90,91,"heavy_rail","Line 4",2020
91,92,"heavy_rail","Line 4",2020
92,93,"heavy_rail","Line 4",2020
93,98,"heavy_rail","Line 4",2020
98,99,"heavy_rail","Line 4",2020
99,100,"heavy_rail","Line 4",2020
100,101,"heavy_rail","Line 4",2020
101,102,"heavy_rail","Line 4",2020
102,103,"heavy_rail","Line 4",2020
50,51,"heavy_rail","Line 5",2019
51,52,"heavy_rail","Line 5",2019
52,53,"heavy_rail","Line 5",2019
53,55,"heavy_rail","Line 5",2019
55,60,"heavy_rail","Line 5",2019
60,61,"heavy_rail","Line 5",2019
61,64,"heavy_rail","Line 5",2019
64,65,"heavy_rail","Line 5",2021
65,66,"heavy_rail","Line 5",2019
66,67,"heavy_rail","Line 5",2019
67,68,"heavy_rail","Line 5",2019
68,69,"heavy_rail","Line 5",2019
69,70,"heavy_rail","Line 5",2019
70,71,"heavy_rail","Line 5",2019
71,72,"heavy_rail","Line 5",2019
72,136,"heavy_rail","Line 5",2019
136,137,"heavy_rail","Line 5",NA
