"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Avrillé - Ardenne",-0.5916098,47.5087978,"light_rail",2011
2,"Avrillé - Ardenne",-0.5863772,47.503713,"light_rail",2011
3,"Bascule",-0.5863345,47.5037316,"light_rail",2011
4,"Saint-Gilles",-0.5831547,47.4996691,"light_rail",2011
5,"Saint-Gilles",-0.5960551,47.5115928,"light_rail",2011
6,"Acacias",-0.5960781,47.5115745,"light_rail",2011
7,"Acacias",-0.5916579,47.508751,"light_rail",2011
8,"Bois du Roy",-0.589468,47.5065875,"light_rail",2011
9,"Bois du Roy",-0.5895201,47.5065666,"light_rail",2011
10,"Strasbourg",-0.5831251,47.4996855,"light_rail",2011
11,"Strasbourg",-0.5800795,47.4958048,"light_rail",2011
12,"Strasbourg",-0.5800448,47.4958235,"light_rail",2011
13,"Montesquieu",-0.5747989,47.4942082,"light_rail",2022
14,"Montesquieu",-0.5747714,47.4941878,"light_rail",2022
15,"Front-de-Maine",-0.56727,47.4924666,"light_rail",2022
16,"Front-de-Maine",-0.5672636,47.4924949,"light_rail",2022
17,"Doutre",-0.5605963,47.4921925,"light_rail",2022
18,"Doutre",-0.5521106,47.4905451,"light_rail",2022
19,"Bellefontaine",-0.5551212,47.4869526,"light_rail",2022
20,"Montaigne",-0.5605924,47.4922204,"light_rail",2022
21,"Jérusalem",-0.5520747,47.4905368,"light_rail",2022
22,"Brisépotière",-0.5550856,47.4869382,"light_rail",2022
23,"Place de l'Europe",-0.5539441,47.4567331,"light_rail",2022
24,"Montplaisir",-0.553975,47.4566548,"light_rail",2022
25,"Plateau Mayenne",-0.577840311885893,47.4732290927052,"light_rail",2011
26,"Plateau Mayenne",-0.567388052993692,47.4716389378265,"light_rail",2011
27,"Terra Botanica",-0.560794414486622,47.4740698465829,"light_rail",2011
28,"Terra Botanica",-0.537808673760424,47.4712829464273,"light_rail",2011
29,"Verneau",-0.532273601658716,47.469027870195,"light_rail",2011
30,"Verneau",-0.528821523111446,47.4753131730193,"light_rail",2011
31,"Hauts de Saint-Aubin",-0.528217886043308,47.4789566325106,"light_rail",2011
32,"Hauts de Saint-Aubin",-0.526788569538752,47.4879032395774,"light_rail",2011
33,"Jean Moulin",-0.527007881131198,47.4909992201823,"light_rail",2011
34,"Jean Moulin",-0.5540423,47.4814717,"light_rail",2011
35,"Capucins",-0.5539975,47.4814654,"light_rail",2011
36,"Capucins",-0.551633,47.4711714,"light_rail",2011
37,"Berges de Maine",-0.5516108,47.4711829,"light_rail",2011
38,"Berges de Maine",-0.546589931773298,47.4718325578945,"light_rail",2011
39,"Saint-Serge - Université",-0.5495913,47.4794654,"light_rail",2011
40,"Saint-Serge - Université",-0.5495676,47.4794987,"light_rail",2011
41,"Foch - Haras",-0.5563519,47.4521796,"light_rail",2011
42,"Foch - Maison Bleue",-0.5512707,47.4768135,"light_rail",2011
43,"Foch - Haras",-0.5512355,47.4767977,"light_rail",2011
44,"Foch - Maison Bleue",-0.5525889,47.4668283,"light_rail",2011
45,"Les Gares",-0.5496766,47.4690062,"light_rail",2011
46,"Les Gares",-0.5525632,47.4668096,"light_rail",2011
47,"Bamako",-0.5496426,47.4689834,"light_rail",2011
48,"Bamako",-0.5554409,47.4645405,"light_rail",2011
49,"Belle-Beille Technopôle",-0.5628069,47.4486486,"light_rail",2022
50,"Lakanal",-0.5554057,47.4645436,"light_rail",2022
51,"Lakanal",-0.562253,47.4449518,"light_rail",2022
52,"Belle-Beille Technopôle",-0.5546546,47.4608827,"light_rail",2022
53,"La Barre",-0.5541079,47.4576045,"light_rail",2022
54,"La Barre",-0.5563881,47.4521986,"light_rail",2022
55,"Patton",-0.599342934399033,47.4761721402236,"light_rail",2022
56,"Patton",-0.60580761159639,47.478572753555,"light_rail",2022
57,"Élysée",-0.597728964589152,47.4732447185186,"light_rail",2022
58,"Élysée",-0.591814884148846,47.4733963625758,"light_rail",2022
59,"CHU-Hôpital",-0.586992145522288,47.4735411700131,"light_rail",2011
60,"CHU Hôpital",-0.5546982,47.4741799,"light_rail",2011
61,"Ralliement",-0.5546752,47.4741956,"light_rail",2011
62,"Ralliement",-0.5547383,47.4608791,"light_rail",2011
63,"Hôtel de Ville",-0.5539623,47.4438997,"light_rail",2022
64,"Place Molière",-0.5628363,47.448663,"light_rail",2011
65,"Molière",-0.554677901800886,47.4741806752257,"light_rail",2011
66,"Place la Fayette",-0.551231597486378,47.4768212382591,"light_rail",2011
67,"Place la Fayette",-0.546182493065658,47.4742394034541,"light_rail",2011
68,"Jean XXIII",-0.526785362325626,47.4837026965668,"light_rail",2011
