"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Avondale",-84.2823040956732,33.7751065751763,"heavy_rail",1979
2,"Decatur",-84.295631326841,33.7746024123467,"heavy_rail",1979
3,"East Lake",-84.3131427884657,33.7652205635178,"heavy_rail",1979
4,"Edgewood / Candler Park",-84.3866525085013,33.7506846570618,"heavy_rail",1979
5,"Inman Park / Reynoldstown",-84.3755003663585,33.7499993503642,"heavy_rail",1979
6,"King Memorial",-84.3525384136369,33.7577022989904,"heavy_rail",1979
7,"Georgia State",-84.3399353615968,33.761885585425,"heavy_rail",1979
8,"Five Points",-84.4453623542526,33.753320881583,"heavy_rail",1979
9,"Dome / GWCC / Philips Arena / CNN Center",-84.470171648845,33.7544681466244,"heavy_rail",1979
10,"Vine City",-84.4170253316384,33.7563939829037,"heavy_rail",1979
11,"Ashby",-84.4042850272763,33.7565367251439,"heavy_rail",1979
12,"West Lake",-84.3970709895976,33.7561057176707,"heavy_rail",1979
13,"Hamilton E. Holmes",-84.4289455543389,33.7722807734332,"heavy_rail",1979
14,"Ashby",-84.2296543983497,33.7698318814228,"heavy_rail",1979
15,"Vine City",-84.2519630540581,33.7726940323899,"heavy_rail",1979
16,"Five Points",-84.3960133470318,33.7484015179922,"heavy_rail",1979
17,"Dome / GWCC / Philips Arena / CNN Center",-84.3915755619415,33.7539462847317,"heavy_rail",1979
18,"Georgia State",-84.3877620826219,33.7579728957755,"heavy_rail",1979
19,"King Memorial",-84.3875989247175,33.7664452372915,"heavy_rail",1979
20,"Inman Park / Reynoldstown",-84.387154285879,33.7725872015573,"heavy_rail",1979
21,"Edgewood / Candler Park",-84.3862575969221,33.781144311417,"heavy_rail",1979
22,"Bankhead",-84.3873128307308,33.7892269666349,"heavy_rail",1992
23,"Indian Creek",-84.4136822724875,33.7360386299873,"heavy_rail",1993
24,"Kensington",-84.4288647979315,33.700494417101,"heavy_rail",1993
25,"Garnett",-84.4249226925893,33.7177097750092,"heavy_rail",1981
26,"Garnett",-84.3695445841314,33.822636235929,"heavy_rail",1981
27,"Five Points",-84.4405463878667,33.677520179721,"heavy_rail",1979
28,"Five Points",-84.4462177780194,33.640797436197,"heavy_rail",1979
29,"Peachtree Center",-84.4488891448628,33.6516503492166,"heavy_rail",1982
30,"Peachtree Center",-84.3393692301255,33.8599806262716,"heavy_rail",1982
31,"Civic Center",-84.3581630134113,33.8453817353375,"heavy_rail",1981
32,"Civic Center",-84.3062945525067,33.8875034101493,"heavy_rail",1981
33,"North Avenue",-84.2802124370506,33.9030431007692,"heavy_rail",1981
34,"North Avenue",-84.367699947067,33.8477763019895,"heavy_rail",1981
35,"Midtown",-84.351542545525,33.9107290381115,"heavy_rail",1982
36,"Midtown",-84.3443699027882,33.9212143324011,"heavy_rail",1982
37,"Arts Center",-84.3503912961363,33.9318970487,"heavy_rail",1982
38,"Arts Center",-84.3572219262089,33.9450361574801,"heavy_rail",1982
39,"West End",-84.3755407400762,33.7555244875234,"heavy_rail",1982
40,"West End",-84.3784945320492,33.7555556397117,"heavy_rail",1982
41,"Lakewood / Fort McPherson",-84.382040688279,33.7555778913569,"heavy_rail",1984
42,"Lakewood / Fort McPherson",-84.3881767902793,33.7560128363272,"heavy_rail",1984
43,"Oakland City",-84.3875625048345,33.7581064073964,"heavy_rail",1984
44,"Oakland City",-84.3896382396385,33.7594901312099,"heavy_rail",1984
45,"Lindbergh Center",-84.3920157897624,33.7594183320557,"heavy_rail",1984
46,"Lindbergh Center",-84.3903401651629,33.758043774655,"heavy_rail",1984
47,"East Point",-84.3882442330684,33.7551196270654,"heavy_rail",1986
48,"East Point",-84.3853714094518,33.7544595267009,"heavy_rail",1986
49,"Airport",-84.3800122576632,33.7543847162588,"heavy_rail",1988
50,"Airport",-84.3763986310918,33.7543770231505,"heavy_rail",1988
