"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Calle 106",-74.0561145016357,4.69316721005734,"default",2000
2,"Calle 127",-74.0541961919968,4.70495735416846,"default",2000
3,"Alcalá",-74.0515066420428,4.72103200720385,"default",2000
4,"Portal Tunal",-74.1396319007234,4.56802487694796,"default",2018
5,"Paraiso",-74.1589889375162,4.55030588858916,"default",2018
6,"Juan Pablo II",-74.1474883574005,4.55601906017058,"default",2018
7,"Calle 85",-74.0596536886738,4.67229833259935,"default",2000
8,"Calle 100",-74.0576736447706,4.68406506742643,"default",2000
9,"Pepe Sierra",-74.0552508947084,4.69831968747337,"default",2000
10,"Heroes",-74.0604088772289,4.66778721584645,"default",2000
11,"Virrey",-74.0588621521052,4.67668251029706,"default",2000
12,"Tercer Milenio",-74.0838841214431,4.59814338075908,"default",2000
13,"Calle 26",-74.0722133944119,4.61658133210844,"default",2000
14,"Calle 39",-74.0687293651674,4.626607640785,"default",2000
15,"Marly",-74.0667948710156,4.63744412973067,"default",2000
16,"Calle 63",-74.0648569463789,4.64842318869159,"default",2000
17,"Calle 72",-74.0621658976675,4.65788658567845,"default",2000
18,"Prado",-74.0527548599003,4.71391038085204,"default",2000
19,"Calle 142",-74.0505444276703,4.72680578834385,"default",2000
20,"Mazurén",-74.0490142841809,4.73576112946074,"default",2000
21,"Toberín",-74.0472183649421,4.74692254507178,"default",2000
22,"Manitas",-74.1516964217296,4.54993333168864,"default",2018
23,"Calle 187",-74.044299087294,4.7642527555661,"default",2012
24,"Calle 19",-74.0768218045049,4.6079451162817,"default",2000
25,"Estación de Usaquén",-74.0373660592557,4.69113516208185,"default",1926
26,"Profamilia",-74.0697255684263,4.62159716897092,"default",2000
27,"Calle 45",-74.0679223054873,4.63126654683542,"default",2000
28,"Calle 57",-74.0658241203658,4.643022287401,"default",2000
29,"Flores",-74.06303918465,4.65486646089963,"default",2000
30,"Calle 76",-74.0612600669752,4.66303356979572,"default",2000
31,"Calle 146",-74.0496734061127,4.73211497399326,"default",2000
32,"Cardio Infantil",-74.0480093138854,4.74201558774676,"default",2000
33,"Portal Norte",-74.0460278642045,4.75445838112068,"default",2000
34,"Terminal",-74.0434652634506,4.76956404869097,"default",2012
35,"Avenida Jiménez",-74.0807031467917,4.60245246012931,"default",2000
36,"Calle 22",-74.0746791134723,4.61174937465557,"default",2000
37,"Estación de la Sabana",-74.0832063699181,4.607258409579,"default",1917
