"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Bassins à Flot",-0.508902151566161,44.8507616856812,"default",2013
2,"Parc des Expositions",-0.6103222,44.8287963,"default",2015
3,"Palais des Congrès",-0.6338879,44.8302313,"default",2015
4,"Quarante Journaux",-0.513171428195847,44.8541386242925,"default",2015
5,"La Vache",-0.51040003113323,44.8460131676626,"default",2016
6,"Gare de Bruges",-0.6448535,44.8325905,"default",2016
7,"Gare de Blanquefort",-0.6199531,44.8266077,"default",2016
8,"La Marègue",-0.6474691,44.8349755,"default",2007
9,"Saint-Augustin",-0.6143124,44.8270935,"default",2005
10,"Alfred de Vigny",-0.6199446,44.826577,"default",2007
11,"Jean Zay",-0.6256553,44.8266811,"default",2007
12,"Floirac Dravemont",-0.5236096,44.8798421,"default",2007
13,"Quatre Chemins",-0.5193103,44.8760331,"default",2007
14,"Peychotte",-0.5192746,44.8760314,"default",2007
15,"Lycées de Mérignac",-0.5236085,44.879869,"default",2007
16,"François Mitterrand",-0.5202014,44.8727959,"default",2007
17,"Peychotte",-0.6256639,44.8266497,"default",2007
18,"Fontaine d'Arlac",-0.6143385,44.8271195,"default",2007
19,"Mairie de Lormont",-0.5663606,44.8371713,"default",2008
20,"Bois Fleuri",-0.5201609,44.8727922,"default",2003
21,"Bois Fleuri",-0.5178962,44.8791226,"default",2003
22,"Mairie de Lormont",-0.6339006,44.8302566,"default",2008
23,"Gravières",-0.6398204,44.8301527,"default",2003
24,"Fontaine d'Arlac",-0.6103065,44.8287689,"default",2007
25,"François Mitterrand",-0.6448659,44.8326228,"default",2007
26,"Porte de Bourgogne",-0.5197155,44.8587314,"default",2004
27,"Gravières",-0.6474347,44.8349683,"default",2003
28,"Lauriers",-0.5342791,44.8559915,"default",2003
29,"Alfred de Vigny",-0.5226848,44.8685611,"default",2007
30,"Pierre Mendès-France",-0.5178553,44.8791188,"default",2007
31,"Saint-Augustin",-0.523887,44.8822095,"default",2005
32,"Quatre Chemins",-0.5181563,44.8550177,"default",2007
33,"Pelletan",-0.5248962,44.8641008,"default",2003
34,"Lycées de Mérignac",-0.5197023,44.8622231,"default",2007
35,"Cenon Gare",-0.6398495,44.8301525,"default",2003
36,"Iris",-0.555399,44.843006,"default",2003
37,"Lauriers",-0.544342,44.8497795,"default",2003
38,"Carriet",-0.5315429,44.8577425,"default",2008
39,"La Morlette",-0.5377508,44.8537645,"default",2003
40,"Buttinière",-0.5598003,44.8403077,"default",2003
41,"Palmer",-0.5508132,44.8458191,"default",2003
42,"Pierre Mendès-France",-0.5633482,44.8344887,"default",2007
43,"Jardin Botanique",-0.5238527,44.8821897,"default",2003
44,"Galin",-0.5226499,44.8685419,"default",2003
45,"Carnot Mairie de Cenon",-0.5197499,44.8587067,"default",2003
46,"Jean Jaurès",-0.5197432,44.8622324,"default",2003
47,"Stalingrad",-0.5553692,44.8429876,"default",2003
48,"Thiers-Benauge",-0.5737556,44.8440058,"default",2003
49,"Saint-Michel",-0.5181705,44.8549925,"default",2004
50,"Carriet",-0.5663931,44.8371539,"default",2008
51,"Iris",-0.5597688,44.8402895,"default",2003
52,"Pelletan",-0.5315685,44.8577622,"default",2003
53,"Palmer",-0.5342116,44.8559334,"default",2003
54,"Jardin Botanique",-0.5378095,44.8538101,"default",2003
55,"Quinconces",-0.5443172,44.8497613,"default",2004
56,"La Morlette",-0.5507915,44.8457987,"default",2003
57,"Porte de Bourgogne",-0.569272,44.8379043,"default",2004
58,"Stalingrad",-0.5662906,44.8372087,"default",2003
59,"Carnot Mairie de Cenon",-0.5633808,44.8344676,"default",2003
60,"Cenon Gare",-0.5752793,44.8420716,"default",2003
61,"Jean Jaurès",-0.588805,44.8349217,"default",2003
62,"Galin",-0.5732836,44.837643,"default",2003
63,"Thiers-Benauge",-0.5763691,44.8377148,"default",2003
64,"Place du Palais",-0.5771451,44.8373386,"default",2003
65,"Porte de Bourgogne",-0.5730355,44.8312036,"default",2003
66,"Saint-Michel",-0.5784661,44.8411072,"default",2004
67,"Grand Théâtre",-0.5815561,44.8362507,"default",2004
68,"Hôtel de Police",-0.5892669,44.8374151,"default",2005
69,"Sainte-Catherine",-0.5842867,44.8381142,"default",2003
70,"Hôtel de Ville",-0.5249038,44.8640738,"default",2004
71,"Hôtel de Ville",-0.5931708,44.833068,"default",2003
72,"Victoire",-0.5738221,44.8444728,"default",2004
73,"Gambetta",-0.575308,44.8355133,"default",2004
74,"Palais de Justice",-0.5696866,44.8415653,"default",2003
75,"Saint-Bruno - Hôtel de Région",-0.566258,44.8372261,"default",2005
76,"Mériadeck",-0.5730752,44.8311933,"default",2003
77,"Buttinière",-0.5825735,44.8215638,"default",2003
78,"Gaviniès",-0.5692763,44.8379326,"default",2005
79,"Quinconces",-0.5732788,44.8376139,"default",2004
80,"Musée d'Aquitaine",-0.5737602,44.8440336,"default",2004
81,"Place de la Bourse",-0.5771402,44.8373101,"default",2004
82,"Porte de Bourgogne",-0.5752769,44.8420334,"default",2003
83,"Victoire",-0.5931881,44.8330956,"default",2004
84,"Barrière Saint-Genès",-0.5815728,44.8362776,"default",2004
85,"Place du Palais",-0.5842961,44.8381735,"default",2003
86,"Sainte-Catherine",-0.6469012,44.8413886,"default",2003
87,"Quinconces",-0.5888474,44.8349157,"default",2004
88,"Hôtel de Ville",-0.6558925,44.8500418,"default",2003
89,"Grand Théâtre",-0.6581965,44.8441926,"default",2004
90,"Gaviniès",-0.5991475,44.8312288,"default",2005
91,"Palais de Justice",-0.6046153,44.8301879,"default",2003
92,"Mériadeck",-0.6582052,44.8441637,"default",2003
93,"Mérignac Centre",-0.5782763,44.8400831,"default",2015
94,"Hôtel de Police",-0.6682748,44.8585211,"default",2005
95,"Frères Robinson",-0.6598216,44.8569733,"default",2015
96,"Hôtel de ville Mérignac",-0.5738271,44.8445011,"default",2015
97,"Stade Chaban Delmas",-0.5764084,44.8377071,"default",2005
98,"Hôpital Pellegrin",-0.5753438,44.8355045,"default",2005
99,"Hôtel de ville Mérignac",-0.5740207,44.8289989,"default",2015
100,"Gambetta",-0.5782249,44.8250798,"default",2004
101,"Le Haillan Rostand",-0.5909362,44.8119471,"default",2015
102,"Les Pins",-0.5856839,44.8169483,"default",2015
103,"Quinconces",-0.5892994,44.8374673,"default",2004
104,"Hôtel de Ville",-0.5696467,44.8415735,"default",2004
105,"Musée d'Aquitaine",-0.5978473,44.8316235,"default",2004
106,"Saint-Nicolas",-0.578183,44.8250637,"default",2004
107,"Bergonié",-0.6046127,44.8301583,"default",2004
108,"Forum",-0.6468095,44.8413744,"default",2004
109,"Roustaing",-0.5831198,44.8207867,"default",2004
110,"Saint-Bruno - Hôtel de Région",-0.6512813,44.8441857,"default",2005
111,"Place de la Bourse",-0.6512526,44.8442059,"default",2004
112,"Stade Chaban Delmas",-0.592595,44.8072449,"default",2005
113,"Bergonié",-0.6559292,44.8500521,"default",2004
114,"Hôpital Pellegrin",-0.585641,44.8169375,"default",2005
115,"Mérignac Centre",-0.6023417,44.8060071,"default",2015
116,"Barrière Saint-Genès",-0.5739766,44.828981,"default",2004
117,"Pin Galant",-0.6023138,44.8059832,"default",2015
118,"Pin Galant",-0.5909737,44.8119478,"default",2015
