"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Porte de Plouzané",-4.49739418762263,48.388610491932,"default",2012
2,"Porte de Plouzané",-4.4932065305814,48.3860480103728,"default",2012
3,"Fort Montbarey",-4.5188167,48.3871987,"default",2012
4,"Fort Montbarey",-4.5536676,48.3762099,"default",2012
5,"Keranroux",-4.5187923,48.3871921,"default",2012
6,"Keranroux",-4.5101807,48.3905816,"default",2012
7,"Coat Tan",-4.5101853,48.3905971,"default",2012
8,"Coat Tan",-4.5536545,48.3761943,"default",2012
9,"Vali Hir",-4.5046935,48.3906515,"default",2012
10,"Vali Hir",-4.5047151,48.3906591,"default",2012
11,"Château",-4.5441447,48.3785796,"default",2012
12,"Château",-4.5043769,48.3873648,"default",2012
13,"Siam",-4.5441659,48.3785924,"default",2012
14,"Siam",-4.5038851,48.3847909,"default",2012
15,"Liberté",-4.5395412,48.3822795,"default",2012
16,"Liberté",-4.5395274,48.3822658,"default",2012
17,"Jean Jaurès",-4.5336228,48.3860119,"default",2012
18,"Jean Jaurès",-4.533616,48.3859966,"default",2012
19,"Saint-Martin",-4.5039084,48.3847873,"default",2012
20,"Saint-Martin",-4.5268494,48.3869468,"default",2012
21,"Polygone",-4.499466,48.3841867,"default",2012
22,"Polygone",-4.4679301,48.4299561,"default",2012
23,"Dupuy de Lôme",-4.4679048,48.429954,"default",2012
24,"Dupuy de Lôme",-4.5268538,48.3869615,"default",2012
25,"Les Capucins",-4.504351,48.3873677,"default",2012
26,"Les Capucins",-4.4994622,48.3842033,"default",2012
27,"Saint-Exupery",-4.4596545,48.4169201,"default",2012
28,"Saint-Exupery",-4.4531638,48.4187219,"default",2012
29,"Mac Orlan",-4.4441957,48.4191496,"default",2012
30,"Mac Orlan",-4.4676516,48.4196019,"default",2012
31,"Recouvrance",-4.467676,48.4196004,"default",2012
32,"Recouvrance",-4.4763719,48.3965131,"default",2012
33,"Europe",-4.492538,48.3853623,"default",2012
34,"Europe",-4.4763629,48.3964893,"default",2012
35,"Pontanezen",-4.472879,48.3987784,"default",2012
36,"Pontanezen",-4.4925583,48.385383,"default",2012
37,"Eau Blanche",-4.4710884,48.4112111,"default",2012
38,"Eau Blanche",-4.4728924,48.398801,"default",2012
39,"Kerlaurent",-4.4711105,48.4112197,"default",2012
40,"Kerlaurent",-4.4716854,48.4150401,"default",2012
41,"Porte de Guipavas",-4.4889528,48.3881719,"default",2012
42,"Porte de Guipavas",-4.4596598,48.4169386,"default",2012
43,"Mesmerrien",-4.4680753,48.4019859,"default",2012
44,"Mesmerrien",-4.4680916,48.402008,"default",2012
45,"Porte de Gouesnou",-4.4852091,48.3902465,"default",2012
46,"Porte de Gouesnou",-4.4677863,48.4067514,"default",2012
47,"Octroi",-4.4852248,48.3902733,"default",2012
48,"Octroi",-4.4678097,48.406758,"default",2012
49,"Pilier Rouge",-4.4828005,48.3922894,"default",2012
50,"Pilier Rouge",-4.4828117,48.3923147,"default",2012
51,"Place de Strasbourg",-4.480075,48.3940831,"default",2012
52,"Place de Strasbourg",-4.4889716,48.3881938,"default",2012
53,"Menez Paul",-4.4800873,48.3941076,"default",2012
54,"Menez Paul",-4.4717079,48.4150392,"default",2012
55,"Ateliers",-4.4531795,48.418737,"default",2016
56,"Jean Moulin",-4.4441868,48.4191674,"default",2016
