"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Special Events",-78.8773800318038,42.8765155303549,"light_rail",1985
2,"Erie Canal Harbor",-78.8769557233055,42.8778071239695,"light_rail",1984
3,"Merchants Insurance @ Seneca",-78.8758104499225,42.8812223259771,"light_rail",1984
4,"Church",-78.8749947399509,42.8837954938276,"light_rail",1984
5,"Evans Bank @ Lafayette Square",-78.8741562189209,42.8863821027707,"light_rail",1984
6,"Fountain Plaza",-78.8731528980457,42.8894509544893,"light_rail",1984
7,"Theater",-78.8723594579456,42.8918929423296,"light_rail",1984
8,"Allen/Medical Campus",-78.869867275094,42.899621412302,"light_rail",1985
9,"Summer-Best",-78.8681197783582,42.904801393636,"light_rail",1985
10,"Utica",-78.8658533727126,42.9114943728444,"light_rail",1985
11,"Delavan/Canisius College",-78.8569298520588,42.9225471805014,"light_rail",1985
12,"Humboldt-Hospital",-78.8517072299159,42.9274855276587,"light_rail",1985
13,"Amherst Street",-78.8379624622185,42.9402553370381,"light_rail",1985
14,"LaSalle",-78.8301982287914,42.9473129047535,"light_rail",1986
15,"University",-78.82025255444,42.9545710845207,"light_rail",1986
