"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Mánquimávida",-73.1308007529058,-36.8461470257106,"default",2001
2,"El Parque",-73.0611197269441,-36.830105482375,"default",2017
3,"Valle del Sol",-73.0113855576693,-36.9385345316273,"default",2001
4,"Cardenal Raúl Silva Henríquez",-73.1362657310426,-36.8686202177955,"default",2016
5,"Hualqui",-73.0127741200333,-36.9500437857373,"default",2001
6,"Mercado",-73.143314881904,-36.8983232280595,"default",2005
7,"El Arenal",-72.9410488362842,-36.9807710564444,"default",1999
8,"Los Cóndores",-73.1155913187396,-36.7118621251343,"default",1999
9,"Hospital Las Higueras",-73.1165884895374,-36.7256383753977,"default",2005
10,"Universidad Técnica Federico Santa María",-73.0916626453512,-36.7566850817699,"default",1999
11,"Hito Galvarino",-73.1027381254878,-36.7394467942099,"default",2016
12,"La Leonera",-73.085609444448,-36.7837591881455,"default",2005
13,"Concepción",-73.1568580779769,-36.9544501518052,"default",1999
14,"Chiguayante",-73.0131437796899,-36.9511486615258,"default",1999
15,"Lorenzo Arenas",-73.02886912166,-36.9153762080015,"default",2001
16,"Pedro Medina",-73.071098251712,-36.8082041352441,"default",2001
17,"Los Canelos",-73.021473581999,-36.9257246967656,"default",2016
18,"Juan Pablo II",-73.1628242184266,-36.9804494374541,"default",2005
19,"Diagonal Biobio",-73.0978169679418,-36.8384366351814,"default",2005
20,"Huinca",-73.1182967013456,-36.837364708938,"default",2016
21,"Cristo Redentor",-73.1631587635481,-36.9882745637566,"default",2016
22,"Lomas Coloradas",-73.1628592331074,-36.9981222592554,"default",2005
23,"Costa Mar",-73.1397212583176,-36.8830929283737,"default",2005
24,"Laguna Quiñenco",-73.1329052028478,-36.8547588803647,"default",2016
25,"Alborada",-73.1581637155604,-37.0125420161183,"default",2014
26,"Coronel",-73.1509135675137,-37.0246235072486,"default",2016
27,"Bulnes",-73.0290155562989,-36.9157576477656,"brt",2005
28,"Univ. San Sebastián",-73.0263384585271,-36.9230167170424,"brt",2005
29,"Bandera",-73.0274277607002,-36.9197930860791,"brt",2005
30,"Brasil",-73.0251493284082,-36.9257537025397,"brt",2005
31,"Juan de Dios Rivera",-73.0226318931238,-36.9315975204087,"brt",2005
32,"Manuel Gutiérrez",-73.0240353353196,-36.9283389973418,"brt",2005
33,"El Carmen",-73.021778300114,-36.9335027908567,"brt",2005
34,"Autop. Gral Bonilla",-73.0202394360211,-36.9370543724651,"brt",2005
35,"Las Heras",-73.0194736020377,-36.9388618616086,"brt",2005
36,"La Camelia / Los Geranios",-73.0178913602526,-36.9424016443783,"brt",2014
37,"Las Petunias",-73.0163163433356,-36.9459990038243,"brt",2014
38,"Los Cóndores",-73.0155794088348,-36.9477831847923,"brt",2014
39,"Villa El Sauce",-73.0142139124019,-36.9509876769783,"brt",2014
40,"Almirante Nef",-73.0889874642103,-36.7607321739098,"brt",2014
41,"Desiderio García",-73.0473984761343,-36.8150035761067,"brt",2014
42,"Ercilla / Manuel Montt",-73.0462329967916,-36.8169590785209,"brt",2014
43,"Zenteno / Buzo Sobenes",-73.0515130022589,-36.8086896299691,"brt",2014
44,"Bernardita / Itata",-73.0487874701132,-36.812866935263,"brt",2014
45,"Lircay",-73.0500738792257,-36.8108834080583,"brt",2014
46,"Hualpén",-73.0527718583518,-36.8067969961591,"brt",2014
47,"1 Sur",-73.0543372601504,-36.8044302352694,"brt",2005
48,"Guacolda / Quintanilla",-73.0563785614401,-36.8013952744385,"brt",2005
49,"San Ignacio / Los Carrera",-73.0449160669958,-36.8190506321372,"brt",2005
50,"Las Condes / Los Cipreses",-73.0899367117823,-36.7590872152573,"brt",2005
51,"Corbeta Chacabuco / Santo Domingo",-73.091400720171,-36.7564627056367,"brt",2005
52,"Pinares",-73.0933186894467,-36.7503036486341,"brt",2005
53,"Libertad / Calle Nueva",-73.0945876246637,-36.7475296147738,"brt",2005
54,"Amanda Labarca / Carriel",-73.0973654867912,-36.7437696506567,"brt",2005
55,"Central / Independencia",-73.0985301423696,-36.7416201735362,"brt",2005
56,"Santa María / Los Aromos",-73.1006433168631,-36.7388574047902,"brt",2005
57,"Esperanza",-73.103227247547,-36.736668577155,"brt",2005
58,"Porvenir",-73.1055974559691,-36.7348556019283,"brt",2005
59,"Dinamarca / Los Pinos",-73.1086753795267,-36.7318810650386,"brt",2005
60,"Francia / España",-73.1143724808132,-36.7085586060468,"brt",2005
61,"Pasaje 4 / 9 de Abril",-73.0133758301175,-36.9547174207405,"brt",2004
62,"Diagonal Biobío / Pje. 90",-73.0128989901255,-36.9567323300513,"brt",2005
63,"Av. Los Claveles",-73.1184683210549,-36.8375669664259,"brt",2005
64,"Av. San Pedro",-73.1070089692321,-36.8381719491991,"brt",2005
65,"Versluys",-73.1141127700219,-36.8377245093137,"brt",2005
66,"Concepción",-73.0967596045545,-36.8386938258677,"default",1999
