"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Greystones",-6.06081836324616,53.1440510353044,"commuter_rail",1855
2,"Bray Daly",-6.10053274885188,53.2043317837464,"commuter_rail",1854
3,"Grand Canal Dock",-6.26132846573414,53.3390675589548,"default",2001
4,"Grand Canal Dock",-6.26259533234453,53.3333582869268,"commuter_rail",2001
5,"St. Stephen's Green",-6.25867711574781,53.3307334591819,"tram",2004
6,"Harcourt",-6.25619675410924,53.3264502713191,"tram",2004
7,"Charlemont",-6.25463380038402,53.3209465459509,"tram",2004
8,"Ranelagh",-6.25342217332646,53.3164806679412,"tram",2004
9,"Beechwood",-6.25172644620469,53.3100362243045,"tram",2002
10,"Cowper",-6.25069963729425,53.3016717047247,"tram",2004
11,"Milltown",-6.24514602382754,53.2923874532605,"tram",2004
12,"Windy Arbour",-6.23671652179291,53.2860550222985,"tram",2004
13,"Dundrum",-6.22379163198795,53.2829832513885,"tram",2002
14,"Balally",-6.21017366210993,53.2793863272741,"tram",2004
15,"Kilmacud",-6.20490399902772,53.2776728859773,"tram",2004
16,"Stillorgan",-6.23792404393985,53.3397069849559,"tram",2004
17,"Sandyford",-6.20364408983191,53.2702218048398,"tram",2004
18,"Central Park",-6.21000662660684,53.2662756661177,"tram",2010
19,"Glencairn",-6.20595613343836,53.2611352969843,"tram",2010
20,"The Gallops",-6.19840022796567,53.2582632711579,"tram",2010
21,"Leopardstown Valley",-6.18450788389703,53.2550295918666,"tram",2010
22,"Ballyogan Wood",-6.25427896548781,53.3471400924561,"tram",2010
23,"Grand Canal Dock",-6.24851815546495,53.3433563839909,"default",2001
24,"Tara Street",-6.29340923331813,53.3464647716874,"commuter_rail",NA
