"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"城门",119.3552191,25.9991139,"heavy_rail",2016
2,"排下",119.3491382,26.0043487,"heavy_rail",2016
3,"黄山",119.3436664,26.0134146,"heavy_rail",2016
4,"葫芦阵",119.3387386,26.0198416,"heavy_rail",2016
5,"白湖亭",119.3305057,26.0287601,"heavy_rail",2016
6,"三叉街",119.3205827,26.0391019,"heavy_rail",2016
7,"上藤",119.3157921,26.0466671,"heavy_rail",2017
8,"达道",119.3048138,26.0604606,"heavy_rail",2017
9,"茶亭",119.2995641,26.0721534,"heavy_rail",2017
10,"南门兜",119.2967012,26.0808311,"heavy_rail",2017
11,"三角埕",119.3642369,25.9936846,"heavy_rail",2016
12,"斗门",119.3085521,26.1070969,"heavy_rail",2017
13,"福州火车站",119.3136358,26.1157291,"heavy_rail",2017
14,"罗汉山",119.3127784,26.1302979,"heavy_rail",2017
15,"秀山",119.3165016,26.1372896,"heavy_rail",2017
16,"屏山",119.2922002,26.0993711,"heavy_rail",2017
17,"树兜",119.3022017,26.1055967,"heavy_rail",2017
18,"象峰",119.3238591,26.1453045,"heavy_rail",2017
19,"东街口",119.2944638,26.0890543,"heavy_rail",2017
20,"安平",119.3971664,25.995115,"heavy_rail",2020
21,"胪雷",119.3749945,25.9874231,"heavy_rail",2016
22,"福州火车南站",119.3838449,25.9881058,"heavy_rail",2016
23,"梁厝",119.4099831,25.9970679,"heavy_rail",2020
24,"三江口",119.4216871,25.9815308,"heavy_rail",2020
25,"下洋",119.4148246,25.9890517,"heavy_rail",2020
26,"水部",119.3087882,26.0798149,"heavy_rail",2019
27,"西洋",119.2920022,26.0746127,"heavy_rail",2019
28,"宁化",119.2894585,26.0658455,"heavy_rail",2019
29,"金祥",119.2658842,26.0514856,"heavy_rail",2019
30,"金山",119.2575126,26.0505229,"heavy_rail",2019
31,"洪湾",119.2452224,26.0505661,"heavy_rail",2019
32,"桔园洲",119.2375573,26.0500793,"heavy_rail",2019
33,"厚庭",119.2139233,26.0453098,"heavy_rail",2019
34,"金屿",119.1950545,26.070479,"heavy_rail",2019
35,"上街",119.1813077,26.0794184,"heavy_rail",2019
36,"沙堤",119.168541,26.0892204,"heavy_rail",2019
37,"祥坂",119.2812493,26.0639523,"heavy_rail",2019
38,"董屿·福建师大",119.2025974,26.0443718,"heavy_rail",2019
39,"南门兜",119.2980159,26.0794298,"heavy_rail",2019
40,"",119.198388,26.0622,"heavy_rail",2019
41,"苏洋",119.1482897,26.1065834,"heavy_rail",2019
42,"前屿",119.3448244,26.0759143,"heavy_rail",2019
43,"五里亭",119.3344493,26.0774084,"heavy_rail",2019
44,"紫阳",119.3223171,26.0796039,"heavy_rail",2019
45,"上洋",119.3575228,26.070153,"heavy_rail",2019
46,"鼓山",119.3700711,26.0569291,"heavy_rail",2019
47,"洋里站",119.367428,26.0477951,"heavy_rail",2019
48,"Ancient Luozhou Town 螺洲古镇",119.2885208,26.0024995,"heavy_rail",2022
49,"Difengjiang 帝封江",119.2769417857,26.0089437205796,"heavy_rail",2022
50,"Yixu 义序",119.272619834727,26.0165411141931,"heavy_rail",2022
51,"Gaishan Zhulan 盖山竹榄",119.2717176,26.0280325,"heavy_rail",2022
52,"Wushan 吴山",119.2680398,26.037078,"heavy_rail",2022
53,"Panyu 盘屿",119.262293372002,26.041883405727,"heavy_rail",2022
54,"Taiyu 台屿",119.2576076,26.051698,"heavy_rail",2022
55,"Dongling 东岭",119.3488862,25.9887028,"heavy_rail",2022
56,"Xiajing 霞镜",119.3300431,25.9904325,"heavy_rail",2022
57,"Pushang Dadao 浦上大道",119.3227064,25.9899848,"heavy_rail",2022
58,"Fenggangli 凤冈里",119.3158739,25.9968275,"heavy_rail",2022
59,"Jinshan 金山",119.3061319,26.0003705,"heavy_rail",2022
60,"Marong 马榕",119.25368072632,26.0587212341619,"heavy_rail",2022
61,"Zhenban 阵坂",119.247165791419,26.0686276553302,"heavy_rail",2022
62,"Hongtang 洪塘",119.245221766758,26.0768777902307,"heavy_rail",2022
63,"Agriculture and Forestry University 农林大学",119.242328634778,26.0878624314358,"heavy_rail",2022
64,"Jingxi Houyu 荆溪厚屿",119.224343691679,26.1146605945718,"heavy_rail",2022
