"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Xilang",113.464523353317,23.4188161197794,"heavy_rail",1997
2,"Kengkou",113.486601945638,23.4548949923978,"heavy_rail",1997
3,"Huadiwan",113.513979880742,23.4782321710405,"heavy_rail",1997
4,"Fangcun",113.228691245663,23.0898051034046,"heavy_rail",1997
5,"Huangsha",113.23035657878,23.1014277827768,"heavy_rail",1997
6,"Changshou Lu",113.235229769721,23.1127144660843,"heavy_rail",1999
7,"Chen Jia Ci (Chen Clan Academy)",113.236632335393,23.1207645645272,"heavy_rail",1999
8,"Ximenkou",113.241408446235,23.1284118986441,"heavy_rail",1999
9,"Gongyuanqian",113.25066345529,23.1279043165569,"heavy_rail",1999
10,"Nong Jiang Suo (Peasant Movement Institute)",113.258950639977,23.1281334090872,"heavy_rail",1997
11,"Lieshi Lingyuan (Martyrs' Park)",113.268950724668,23.1291936909224,"heavy_rail",1997
12,"Dongshankou",113.280880065309,23.1292760616728,"heavy_rail",1999
13,"Yangji",113.289914590923,23.1267407727446,"heavy_rail",1999
14,"Tiyu Xilu",113.302885650031,23.1304883892937,"heavy_rail",1999
15,"Guangzhou Dong (Guangzhou East Railway)",113.226508958144,23.0682489250646,"heavy_rail",1999
16,"Guangzhou Nan (Guangzhou South Railway)",113.322910001282,23.1376150130046,"heavy_rail",2010
17,"Shibi",113.227146268121,23.0816681507285,"heavy_rail",2010
18,"Huijiang",113.271861920092,23.0926788507144,"heavy_rail",2010
19,"Nanpu",113.319548704205,23.1528629002372,"heavy_rail",2010
20,"Luoxi",113.251740674634,23.1615471867714,"heavy_rail",2010
21,"Nanzhou",113.263276361141,22.9917374332432,"heavy_rail",2010
22,"Dongxiaonan",113.258382443771,23.1716968380556,"heavy_rail",2010
23,"Jiangtai Lu",113.271127158222,23.1937717001131,"heavy_rail",2010
24,"Changgang",113.272505485912,22.9969226616877,"heavy_rail",2010
25,"Shi Er Gong (The 2nd Workers' Cultural Palace)",113.316774245034,23.1338305107454,"heavy_rail",2002
26,"Haizhu Guangchang (Haizhu Square)",113.268648925908,23.100186673585,"heavy_rail",2002
27,"Gongyuanqian",113.281205643974,23.0156179854276,"heavy_rail",2002
28,"Jinian Tang (Sun Yat-sen Memorial Hall)",113.288311670888,23.0359476390362,"heavy_rail",2002
29,"Yuexiu Gongyuan (Yuexiu Park)",113.293270750336,23.0451528386678,"heavy_rail",2002
30,"Guangzhou (Guangzhou Railway)",113.292497247962,23.0660135451638,"heavy_rail",2002
31,"Sanyuanli",113.288841697219,23.074144063613,"heavy_rail",2002
32,"Feixiang Gongyuan (Feixiang Park)",113.275103221844,23.0851026539225,"heavy_rail",2010
33,"Baiyun Gongyuan (Baiyun Park)",113.25894160786,23.1278368285899,"heavy_rail",2010
34,"Baiyun Wenhua Guangchang (Baiyun Culture Square)",113.25811981707,23.1347434284276,"heavy_rail",2010
35,"Xiaogang",113.256159375862,23.1427186451933,"heavy_rail",2010
36,"Jiangxia",113.265615281197,23.1840833843376,"heavy_rail",2010
37,"Huangbian",113.27520569424,23.201462975636,"heavy_rail",2010
38,"Jiahewanggang",113.277938623334,23.2140323706035,"heavy_rail",2010
39,"Panyu Guangchang (Panyu Square)",113.282104249743,23.2243155614603,"heavy_rail",2006
40,"Shiqiao",113.283518186701,23.2406527655042,"heavy_rail",2006
41,"Hanxi Changlong",113.38020841006,22.9382706536872,"heavy_rail",2006
