"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Ing.-Etzel-Straße",11.402432,47.2687586,"default",0
2,"Rudolf-Greinz-Straße",11.4164513,47.2617529,"default",0
3,"Brunecker Straße",11.4017883,47.2666313,"default",0
4,"Philippine-Welser-Straße",11.4228725,47.2579398,"default",0
5,"Messe/Zeughaus",11.4046074,47.2712929,"default",0
6,"Bundesbahndirektion",11.4050574,47.273118,"default",0
7,"Maria-Theresien-Straße",11.3927379,47.2669044,"default",0
8,"Pradler Friedhof",11.421378,47.2588973,"default",0
9,"Terminal Marktplatz",11.3897009,47.266265,"default",0
10,"Bundesbahndirektion",11.404978,47.272785,"default",0
11,"Roseggerstraße",11.4110152,47.2629435,"default",0
12,"Claudiastraße",11.4059325,47.2759584,"default",0
13,"Südring",11.419489,47.2607734,"default",0
14,"Leipziger Platz",11.4061379,47.2644763,"default",0
15,"Dr.-Glatz-Straße",11.4129976,47.2625316,"default",0
16,"Brunecker Straße",11.401886,47.2668314,"default",0
17,"Defreggerstraße",11.4099798,47.2645535,"default",0
18,"Innsbruck Hauptbahnhof",11.4001445,47.2637152,"default",0
19,"Museumstraße",11.3959991,47.2671854,"default",0
20,"Terminal Marktplatz",11.3902902,47.2666798,"default",0
21,"Innsbruck Hauptbahnhof",11.4001051,47.2637199,"default",0
22,"Amras",11.4260032,47.2586857,"default",0
23,"Ing.-Etzel-Straße",11.4023796,47.2687649,"default",0
24,"Rudolf-Greinz-Straße",11.4161533,47.2618595,"default",0
25,"Claudiastraße",11.404995,47.2760592,"default",0
26,"Pradler Friedhof",11.4209391,47.2594672,"default",0
27,"Mühlauer Brücke",11.4039183,47.2782604,"default",0
28,"Landesmuseum",11.3983805,47.2668887,"default",0
29,"Haydnplatz",11.406989,47.2772659,"default",0
30,"Messe/Zeughaus",11.4047239,47.2713475,"default",0
31,"Museumstraße",11.3950184,47.2673503,"default",0
32,"Philippine-Welser-Straße",11.4228995,47.2578818,"default",0
33,"Südring",11.4192115,47.2609094,"default",0
34,"Roseggerstraße",11.4109339,47.2631169,"default",0
35,"Sillpark",11.4030383,47.2655145,"default",0
36,"Defreggerstraße",11.4098439,47.2648499,"default",0
37,"Leipziger Platz",11.4055541,47.2645589,"default",0
38,"Landesmuseum",11.3989655,47.2667822,"default",0
39,"Amras",11.4259894,47.2587106,"default",0
40,"Dr.-Glatz-Straße",11.4133694,47.2624452,"default",0
41,"Höttinger Auffahrt",11.3777578,47.2650175,"default",0
42,"Bürgerstraße",11.3904961,47.2645605,"default",0
43,"Maria-Theresien-Straße",11.3933268,47.2669563,"default",0
44,"Westbahnhof",11.3918656,47.2565823,"default",0
45,"Triumphpforte",11.3958276,47.2627002,"default",0
46,"Franz-Fischer-Straße",11.3918478,47.2594522,"default",0
47,"Anichstraße/Rathausgalerien",11.394088,47.2652079,"default",0
48,"Höttinger Auffahrt",11.3777439,47.2650532,"default",0
49,"Klinik/Universität",11.3873908,47.2636104,"default",0
50,"Fürstenweg",11.3825713,47.2659809,"default",0
