"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Chandpole",75.8079145,26.9265583,"heavy_rail",2015
2,"Choti Chaupar",75.8184914,26.924666,"heavy_rail",2020
3,"Sindhi Camp",75.7999247,26.9225493,"heavy_rail",2015
4,"Badi Chopar",75.8267752,26.9229693,"heavy_rail",2020
5,"Ram Nagar",75.7746732,26.9017572,"heavy_rail",2015
6,"New Aatish Market",75.7644774,26.880132,"heavy_rail",2015
7,"Vivek Vihar",75.7684353,26.8884508,"heavy_rail",2015
8,"Civil Lines",75.7811653,26.9094099,"heavy_rail",2015
9,"Railway Station",75.7901165,26.9180968,"heavy_rail",2015
10,"Manasarovar",75.7502156,26.8794171,"heavy_rail",2015
11,"Shyam Nagar",75.7706558,26.8964694,"heavy_rail",2015
