"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Kauffman Center",-94.5835345,39.0941912,"tram",2016
2,"North Loop",-94.5831247,39.1051412,"tram",2016
3,"Library",-94.5831407,39.1029222,"tram",2016
4,"River Market West",-94.5843845,39.1087955,"tram",2016
5,"City Market",-94.581894,39.1085087,"tram",2016
6,"Crossroads",-94.5837436,39.0901009,"tram",2016
7,"Power and Light",-94.5833865,39.0966845,"tram",2016
8,"Metro Center",-94.5832673,39.0996112,"tram",2016
9,"River Market North",-94.5816185,39.1102479,"tram",2016
10,"Union Station",-94.5841511372409,39.0849406266886,"tram",2016
