"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Арсенальна",30.5469637,50.4434841,"heavy_rail",1960
2,"Гідропарк",30.5769826,50.4460473,"heavy_rail",1965
3,"Дніпро",30.559533,50.4413047,"heavy_rail",1960
4,"Вокзальна",30.4896781,50.4412757,"heavy_rail",1960
5,"Університет",30.5038102,50.4428779,"heavy_rail",1960
6,"Шулявська",30.4483485,50.4547233,"heavy_rail",1963
7,"Політехнічний інститут",30.464867,50.451041,"heavy_rail",1963
8,"Хрещатик",30.5248548,50.4473364,"heavy_rail",1960
9,"Театральна",30.4189858,50.4592267,"heavy_rail",1987
10,"Берестейська",30.4042005,50.4586414,"heavy_rail",1971
11,"Нивки",30.3906144,50.45783,"heavy_rail",1971
12,"Святошин",30.3658665,50.4562305,"heavy_rail",1971
13,"Житомирська",30.3551828,50.4646981,"heavy_rail",2003
14,"Академмістечко",30.5158234,50.4448488,"heavy_rail",2003
15,"Лівобережна",30.5981253,50.4519245,"heavy_rail",1965
16,"Чернігівська",30.6302745,50.4599293,"heavy_rail",1968
17,"Лісова",30.64592,50.4648298,"heavy_rail",1979
18,"Дарниця",30.6127833,50.4559925,"heavy_rail",1965
19,"Почайна",30.4980088,50.4860899,"heavy_rail",1980
20,"Тараса Шевченка",30.5037769,50.4741074,"heavy_rail",1980
21,"Контрактова площа",30.5151551,50.4658743,"heavy_rail",1976
22,"Поштова площа",30.524509,50.4593345,"heavy_rail",1976
23,"Майдан Незалежності",30.5246965,50.4485726,"heavy_rail",1976
24,"Мінська",30.4987981,50.5122199,"heavy_rail",1982
25,"Оболонь",30.4985124,50.5015205,"heavy_rail",1980
26,"Героїв Дніпра",30.4990405,50.5226698,"heavy_rail",1982
27,"Площа Льва Толстого",30.5184715,50.4406696,"heavy_rail",1981
28,"Видубичі",30.5170935,50.4311918,"heavy_rail",1991
29,"Олімпійська",30.5341065,50.4361318,"heavy_rail",1981
30,"Дружби народів",30.5605663,50.4020218,"heavy_rail",1991
31,"Печерська",30.5475235,50.4167961,"heavy_rail",1997
32,"Кловська",30.5413114,50.4258705,"heavy_rail",1989
33,"Лук'янівська",30.5209363,50.4213496,"heavy_rail",1996
34,"Дорогожичі",30.5249939,50.4142301,"heavy_rail",2000
35,"Сирець",30.5169173,50.4047523,"heavy_rail",2004
36,"Золоті ворота",30.5081378,50.3972682,"heavy_rail",1989
37,"Палац спорту",30.4882153,50.3932581,"heavy_rail",1989
38,"Палац «Україна»",30.4776539,50.3824255,"heavy_rail",1984
39,"Либідська",30.4690921,50.3764871,"heavy_rail",1984
40,"Деміївська",30.4541426,50.3670187,"heavy_rail",2010
41,"Голосіївська",30.5199684,50.4397214,"heavy_rail",2010
42,"Васильківська",30.5153942,50.4458908,"heavy_rail",2010
43,"Виставковий центр",30.6960023,50.4094302,"heavy_rail",2011
44,"Іподром",30.6162428,50.3952233,"heavy_rail",2012
45,"Теремки",30.6051553,50.3942482,"heavy_rail",2013
46,"Вирлиця",30.6845164130736,50.4035384635557,"heavy_rail",2006
47,"Червоний хутір",30.6678263,50.4030256,"heavy_rail",2008
48,"Осокорки",30.452633,50.4730645,"heavy_rail",1992
49,"Славутич",30.4332327,50.4769779,"heavy_rail",1992
50,"Бориспільська",30.6522245605227,50.4007626119031,"heavy_rail",2005
51,"Харківська",30.6348252836522,50.3980487262534,"heavy_rail",1994
52,"Позняки",30.4841258146818,50.4611992319225,"heavy_rail",1994
