"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Estación Central",-68.1448395513512,-16.4915759151929,"default",2014
2,"Cementerio",-68.1528444187376,-16.4982111862385,"default",2014
3,"16 de julio",-68.0506997,-16.5385969,"default",2014
4,"Libertador",-68.0541311,-16.5401804,"default",2014
5,"Sopocachi",-68.0538858,-16.5401891,"default",2014
6,"Buenos Aires",-68.0371024,-16.5337195,"default",2014
7,"Mirador",-68.0411661,-16.5350527,"default",2014
8,"Alto Obrajes",-68.041288,-16.5350802,"default",2014
9,"Obrajes",-68.0457836,-16.5376815,"default",2014
10,"Irpavi",-68.0460819,-16.5377448,"default",2014
11,"16 de julio",-68.050533,-16.538461,"default",2017
12,"Libertad",-68.1645648180369,-16.4974281135332,"default",2017
13,"La Paz",-68.1303350729619,-16.5146731148519,"default",2017
14,"Rio Seco",-68.1440854284719,-16.5154339733783,"default",2017
15,"Estación Central",-68.1500964510154,-16.5183610592342,"default",2017
16,"Armentia",-68.1106294880811,-16.5213749296657,"default",2017
17,"Periférica",-68.1005719480364,-16.5268075542255,"default",2017
18,"Villarroel",-68.0873604429531,-16.5381844253014,"default",2018
19,"Busch",-68.1646280260734,-16.4984073609002,"default",2018
20,"Triangular",-68.1830289876807,-16.4922847987582,"default",2018
21,"Del Poeta",-68.2097825847839,-16.4900551968245,"default",2018
22,"Del Libertador",-68.1446771676033,-16.4922824153722,"default",2018
23,"Del Poeta",-68.1369821919633,-16.490391790852,"default",2018
24,"Teatro al Aire Libre",-68.1311739246201,-16.4865376793215,"default",2018
25,"Prado",-68.1213901234039,-16.4937758573579,"default",2018
26,"Obelisco",-68.1209024914591,-16.5041611512384,"default",2018
27,"Faro Murillo",-68.1259606471266,-16.5042326023354,"default",2018
28,"6 de marzo",-68.1205737081009,-16.5111664340747,"default",2018
29,"Busch",-68.1161992334881,-16.5184378607364,"default",2018
30,"Las Villas",-68.1324032241505,-16.5005994241038,"default",2018
31,"Mirador",-68.135201799077,-16.5001108310076,"default",2019
32,"16 de julio",-68.1210151575391,-16.4938660290567,"default",2019
33,"UPEA",-68.1153435185256,-16.4976747485976,"default",2017
34,"Faro Murillo",-68.149867509648,-16.5188813930551,"default",2018
35,"Libertador",-68.1643307043332,-16.4989761212668,"default",2014
36,"Villarroel",-68.19315,-16.4895002925747,"default",2018
