"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"El Ángel 

",-77.0097360434244,-12.045968456224,"default",2014
2,"
Evitamiento",-76.9732420873789,-12.0584105890717,"default",999999
3,"
Óvalo Santa Anita   ",-76.9645163798711,-12.0547182120809,"default",999999
4,"
Colectora Industrial",-76.9561344994727,-12.0510778007952,"default",999999
5,"
Hermilio Valdizán",-76.9496764905053,-12.048343655895,"default",999999
6,"San Juan

",-76.9657099275403,-12.1564419174594,"default",2011
7,"María Auxiliadora

",-76.9562947929515,-12.1612158018865,"default",2011
8,"Prebístero Maestro

",-77.0114930752982,-12.0416230640728,"default",2014
9,"Villa María

",-76.9503417161214,-12.1693130352168,"default",2011
10,"Pumacahua

",-76.9470316456826,-12.1817266892554,"default",2011
11,"Parque Industrial

",-76.9398370391069,-12.1964495573923,"default",2011
12,"Villa el Salvador

",-76.9333264828203,-12.2073977952536,"default",2011
13,"
Mercado Santa Anita",-76.9384651878705,-12.0441257599955,"default",999999
14,"Caja de Agua

",-77.0112289942893,-12.0278538317048,"default",2014
15,"Pirámide del Sol

",-77.0025590999291,-12.0179087044323,"default",2014
16,"Los Jardines

",-77.0053056911375,-12.006967508425,"default",2014
17,"Jorge Chávez

",-76.9909719539443,-12.1425594837418,"default",2011
18,"Los Postes

",-77.009915573896,-11.9961252780986,"default",2014
19,"San Carlos

",-77.0066848010229,-11.9847979032678,"default",2014
20,"Ayacucho

",-76.9967897987088,-12.134869430031,"default",2011
21,"Los Cabitos

",-77.0003927698205,-12.1272933691851,"default",2011
22,"Angamos

",-77.00034030061,-12.1102820727158,"default",2011
23,"San Borja Sur

",-77.0017873894086,-12.1002622706362,"default",2011
24,"La Cultura 

",-77.0037480252924,-12.0867342630303,"default",2011
25,"Nicolás Arriola

",-77.0110276383408,-12.0747990762617,"default",2011
26,"Gamarra

",-77.0122364205672,-12.0657984920805,"default",2011
27,"Miguel Grau

",-77.0127863531805,-12.05427213131,"default",2011
28,"San Martín

",-76.9997935427173,-11.9744758985026,"default",2014
29,"Santa Rosa

",-76.9934429645868,-11.9681172510469,"default",2014
30,"Bayóvar

",-76.9874875590054,-11.9597812220446,"default",2014
31,"Atocongo

",-76.9792881740176,-12.151042398991,"default",2011
