"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"7th Street/Metro Center",-118.2586637,34.0486686,"light_rail",1991
2,"Pico",-118.3777577,34.1687695,"light_rail",1990
3,"Vernon",-118.2660609,34.0407563,"light_rail",1990
4,"Grand/LATTC",-118.396497956282,34.1685240436964,"light_rail",1990
5,"LATTC/Ortho Institute",-118.2555656,34.0268777,"light_rail",2012
6,"San Pedro Street",-118.2734912,34.029217,"light_rail",1990
7,"Washington",-118.4297467,34.1791715,"light_rail",1990
8,"Florence",-118.2430368,34.019784,"light_rail",1990
9,"Slauson",-118.4230485,34.1729521,"light_rail",1990
10,"Wardlow",-118.243246,33.9738422,"light_rail",1990
11,"103rd Street/Watts Towers",-118.2431255,33.9423486,"light_rail",1990
12,"Willowbrook",-118.4483827,34.1805642,"light_rail",1990
13,"Firestone",-118.2242379,33.897636,"light_rail",1990
14,"Compton",-118.4686253,34.1807214,"light_rail",1990
15,"Artesia",-118.4844912,34.1862566,"light_rail",1990
16,"Del Amo",-118.1893406,33.7891863,"light_rail",1990
17,"Pacific Coast Highway",-118.5007828,34.1859275,"light_rail",1990
18,"Willow Street",-118.536012911959,34.1803949179709,"light_rail",1990
19,"Anaheim Street",-118.1960927,33.8199253,"light_rail",1990
20,"1st Street",-118.553473552522,34.1812812480756,"light_rail",1990
21,"Pacific Avenue",-118.1893666,33.7685852,"light_rail",1990
22,"Downtown Long Beach",-118.1937098,33.7724945,"light_rail",1990
23,"5th Street",-118.570961940383,34.1871749701118,"light_rail",1990
24,"Expo Park/USC",-118.1929576,33.7680675,"light_rail",2012
25,"Expo/La Brea",-118.1894091,33.7734501,"light_rail",2012
26,"La Cienega/Jefferson",-118.3076978,34.0183003,"light_rail",2012
27,"Culver City",-118.3718972,34.0262988,"light_rail",2012
28,"Palms",-118.3549711,34.024749,"light_rail",2016
29,"Westwood/Rancho Park",-118.4039883,34.0292512,"light_rail",2016
30,"26th Street/Bergamot",-118.5962359,34.1909766,"light_rail",2016
31,"Expo/Sepulveda",-118.5965892,34.1905199,"light_rail",2016
32,"Vermont/Santa Monica",-118.2780229,34.0222472,"heavy_rail",1999
33,"Downtown Santa Monica",-118.4244022,34.0368073,"light_rail",2016
34,"17th Street/Santa Monica College",-118.588451600229,34.1886595262881,"light_rail",2016
35,"Vermont/Beverly",-118.5971477,34.2006608,"heavy_rail",1999
36,"Expo/Bundy",-118.5972205,34.2197883517831,"light_rail",2016
37,"Civic Center/Grand Park",-118.597251229839,34.2354621614461,"heavy_rail",1993
38,"Hollywood/Western",-118.3361148,34.0226892,"heavy_rail",1999
39,"Wilshire/Western",-118.4339878,34.0354021,"heavy_rail",1996
40,"Hollywood/Vine",-118.4690182,34.0280103,"heavy_rail",1999
41,"Wilshire/Vermont",-118.2917024,34.0908334,"heavy_rail",1996
42,"Wilshire/Normandie",-118.2349498,34.0563206,"heavy_rail",1996
43,"Hollywood/Highland",-118.2460654,34.0550545,"heavy_rail",2000
44,"North Hollywood",-118.2586794,34.048747,"heavy_rail",2000
45,"Vermont/Sunset",-118.5993153,34.2520068,"heavy_rail",1999
46,"Universal City/Studio City",-118.4803522,34.0231296,"heavy_rail",2000
47,"Pershing Square",-118.291742,34.0763482,"heavy_rail",1993
48,"Civic Center/Grand Park",-118.6014933,34.1803386,"heavy_rail",1993
49,"7th Street/Metro Center",-118.2808203,33.929043,"heavy_rail",1993
50,"Westlake/MacArthur Park",-118.4527184,34.0316922,"heavy_rail",1993
51,"Wilshire/Vermont",-118.3088699,34.0616024,"heavy_rail",1996
52,"Farmdale",-118.3092033,34.1016867,"light_rail",2012
53,"Expo/Crenshaw",-118.3255283,34.1016156,"light_rail",2012
54,"Expo/Western",-118.2877946,33.8688289,"light_rail",2012
55,"Expo/Vermont",-118.2865997,33.9022151,"light_rail",2012
56,"Jefferson / USC",-118.2808007,33.9604286,"light_rail",2012
57,"Union Station",-118.2804907,33.9889734,"heavy_rail",1993
58,"7th Street/Metro Center",-118.27995,34.0180593,"light_rail",1991
59,"Pico",-118.2750441,34.0274493,"light_rail",1990
60,"Westlake/MacArthur Park",-118.2729643,34.0303335,"heavy_rail",1993
61,"Union Station",-117.260989512567,34.073559601307,"heavy_rail",1993
62,"Pershing Square",-117.195357970842,34.0597787155019,"heavy_rail",1993
63,"7th Street/Metro Center",-118.2710611,34.033587,"heavy_rail",1993
64,"Douglas",-118.2670313,34.0398297,"light_rail",1995
65,"Redondo Beach",-118.2630269,34.0441378,"light_rail",1995
66,"El Segundo",-118.2591465,34.0483016,"light_rail",1995
67,"Mariposa",-118.2542485,34.0498584,"light_rail",1995
68,"Aviation/LAX",-118.2517912,34.0525537,"light_rail",1995
69,"Crenshaw",-118.2469834,34.0545656,"light_rail",1995
70,"Vermont/Athens",-118.2433081,34.0541916,"light_rail",1995
71,"Harbor Freeway",-118.2390115,34.0551748,"light_rail",1995
72,"Avalon",-118.274761,34.0285646,"light_rail",1995
73,"Willowbrook/Rosa Parks",-118.2741695,34.0310551,"light_rail",1995
74,"Long Beach Boulevard",-118.2718526,34.0346898,"light_rail",1995
75,"Lakewood Boulevard",-118.268165,34.0404672,"light_rail",1995
76,"Norwalk",-118.2636643,34.0453256,"light_rail",1995
77,"North Hollywood",-118.2596255,34.0496756,"brt",2005
78,"Laurel Canyon",-118.2571895,34.0499674,"brt",2005
79,"Woodman/Valley Glen",-118.249226,34.0533892,"brt",2005
80,"Valley College",-118.2526838,34.0496545,"brt",2005
81,"Van Nuys",-118.2397658,34.0549354,"brt",2005
82,"Sepulveda",-118.2104612,34.0554834,"brt",2005
83,"Woodley",-118.1680592,34.0625285,"brt",2005
84,"Balboa",-118.0446777,34.0720301,"brt",2005
85,"Reseda",-118.8781239,34.2849017,"brt",2005
86,"Tampa",-118.696492,34.2708799,"brt",2005
87,"Pierce College",-118.5995048,34.2535009,"brt",2005
88,"De Soto",-118.5458227,34.2308218,"brt",2005
89,"Canoga",-118.4474536,34.2114588,"brt",2012
90,"Sherman Way",-118.3538381,34.1929783,"brt",2012
91,"Roscoe",-118.3509803,34.2070741,"brt",2012
92,"Nordhoff",-118.3727019,34.2218686,"brt",2012
93,"Chatsworth",-118.313289,34.1794333,"brt",2012
94,"Canoga",-118.2602555,34.1249319,"brt",2005
95,"",-118.2349866,34.0544842,"brt",2005
96,"Harbor Freeway",-119.0332605,34.216792,"brt",2009
97,"Harbor Gateway Transit Center",-119.1762015,34.200032,"brt",2009
98,"Rosecrans",-119.2038664,34.2505662,"brt",2009
99,"Manchester",-118.5256197,34.4136337,"brt",2009
100,"Slauson",-118.5277793,34.3807082,"brt",2009
101,"37th Street/USC",-118.4496703,34.292131,"brt",2009
102,"Flower Street & Adams Boulevard",-118.2343827,34.0543449,"brt",2009
103,"Flower Street & 23rd Street",-118.2348866,34.054471,"brt",2009
104,"Flower Street & Washington Boulevard",-118.4710696,34.4090378,"brt",2009
105,"Flower Street & Pico Boulevard",-118.1186577,34.4971943,"brt",2009
106,"Flower Street & Olympic Boulevard",-118.1191553,34.5900669,"brt",2009
107,"Flower Street & 7th Street",-118.1362883,34.6979524,"brt",2009
108,"Grand Avenue & 5th Street",-117.7169207,34.0939597,"brt",2009
109,"Grand Avenue & 3rd Street",-117.7549306,34.093704,"brt",2009
110,"1st Street & Hill Street",-117.8896471,34.0921163,"brt",2009
111,"Spring Street & Temple Street",-117.9569877,34.0869623,"brt",2009
112,"Arcadia Street & Los Angeles Street",-118.0348155,34.0762973,"brt",2009
113,"HOV Roadway & Adams Boulevard",-117.6482629,34.0944135,"brt",2009
114,"Figueroa Street & 23rd Street",-118.1681496,34.0626607,"brt",2009
115,"Figueroa Street & Pico Boulevard",-117.6969013,34.0939667,"brt",2009
116,"Figueroa Street & Olympic Boulevard",-117.5598706,34.0919481,"brt",2009
117,"Figueroa Street & 7th Street",-117.3732525,34.0967166,"brt",2009
118,"6th Street & Flower Street",-117.438854,34.0950795,"brt",2009
119,"Olive Street & General Thaddeus Kosciuszko Way",-117.3709136,34.0967693,"brt",2009
120,"Olive Street & 5th Street",-117.3094121,34.1044172,"brt",2009
121,"Aliso Street & Los Angeles Street",-118.1246419,34.0069499,"brt",2009
122,"LA County+USC Medical Center",-117.8448582,34.0082423,"brt",2009
123,"Cal State LA",-117.751031,34.0589241,"brt",2009
124,"El Monte Station",-117.5788175,34.0395488,"brt",2009
125,"Moorpark",-117.4762412,33.9776456,"commuter_rail",1992
126,"Simi Valley",-117.3692401,33.9764556,"commuter_rail",1992
127,"Chatsworth",-117.3702395,33.974674,"commuter_rail",1992
128,"Northridge",-118.2345685,34.0543788,"commuter_rail",1992
129,"Van Nuys",-118.1438198,33.9908166,"commuter_rail",1992
130,"Burbank Airport–South",-117.8814668,33.8034512,"commuter_rail",1992
131,"Downtown Burbank",-117.8575127,33.7883124,"commuter_rail",1992
132,"Glendale",-117.9215112,33.8685577,"commuter_rail",1992
133,"Los Angeles Union Station",-118.06010081684,33.9163673147891,"commuter_rail",1992
134,"Camarillo",-117.8052658,33.7075177,"commuter_rail",1994
135,"Oxnard",-117.7323711,33.6566884,"commuter_rail",1994
