"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Кастрычніцкая",27.6288809,53.8762966,"heavy_rail",1984
2,"Плошча Перамогі",27.5462223,53.8899621,"heavy_rail",1984
3,"Плошча Якуба Коласа",27.5479319,53.8924128,"heavy_rail",1984
4,"Акадэмія навук",27.5378312,53.8963812,"heavy_rail",1984
5,"Парк Чалюскінцаў",27.549674,53.8774056,"heavy_rail",1984
6,"Маскоўская",27.5404598,53.9047875,"heavy_rail",1984
7,"Усход",27.5407052,53.8858932,"heavy_rail",1986
8,"Барысаўскі тракт",27.5148712,53.8867326,"heavy_rail",2007
9,"Уручча",27.5621482,53.9021083,"heavy_rail",2007
10,"Каменная Горка",27.5762295,53.9094761,"heavy_rail",2005
11,"Кунцаўшчына",27.5840411,53.9158438,"heavy_rail",2005
12,"Спартыўная",27.59934,53.921762,"heavy_rail",2005
13,"Пушкінская",27.6137063,53.9242313,"heavy_rail",1995
14,"Няміга",27.6281328,53.92804,"heavy_rail",1990
15,"Першамайская",27.6513776,53.9344069,"heavy_rail",1991
16,"Пралетарская",27.6666603,53.9387404,"heavy_rail",1990
17,"Трактарны завод",27.687899,53.9453821,"heavy_rail",1990
18,"Маладзёжная",27.4539802,53.9062312,"heavy_rail",1995
19,"Купалаўская",27.4977357,53.909671,"heavy_rail",1990
20,"Фрунзенская",27.4795368,53.9084273,"heavy_rail",1990
21,"Аўтазаводская",27.5540258,53.9058375,"heavy_rail",1997
22,"Магілёўская",27.5709184,53.8938442,"heavy_rail",2001
23,"Партызанская",27.5862831,53.8899664,"heavy_rail",1997
24,"Вакзальная",27.6145005,53.8899194,"heavy_rail",2020
25,"Плошча Францішка Багушэвіча",27.5229131,53.9066395,"heavy_rail",2020
26,"Кавальская Слабада",27.5618112,53.9009334,"heavy_rail",2020
27,"Юбілейная плошча",27.5393148,53.9053364,"heavy_rail",2020
28,"Інстытут Культуры",27.4359041,53.9069094,"heavy_rail",1984
29,"Плошча Леніна",27.6479536,53.8692203,"heavy_rail",1984
30,"Грушаўка",27.6742453,53.861991,"heavy_rail",2012
31,"Міхалова",27.4970954,53.8768881,"heavy_rail",2012
32,"Пятроўшчына",27.486157,53.8647191,"heavy_rail",2012
33,"Малінаўка",27.4748139,53.8499212,"heavy_rail",2014
