"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"La Colina",-4.43137386461748,36.7110490020222,"commuter_rail",1975
2,"Los Álamos",-4.42332016506657,36.7172161469636,"commuter_rail",1975
3,"Plaza Mayor",-4.42346419939474,36.7176753148359,"commuter_rail",1975
4,"Aeropuerto",-4.39763280178323,36.7230743024057,"commuter_rail",2010
5,"Guadalhorce",-4.4901918,36.6777273,"commuter_rail",2010
6,"Montemar Alto",-4.4995563,36.6225303,"commuter_rail",1975
7,"Torremolinos",-4.5366187,36.5990454,"commuter_rail",1975
8,"El Pinillo",-4.6065329,36.565014,"commuter_rail",1975
9,"Benalmádena-Arroyo de la Miel",-4.6240324,36.5417826,"commuter_rail",1975
10,"Torremuelle",-4.4854917,36.6447792,"commuter_rail",1975
11,"Torreblanca",-4.4923278,36.6422042,"commuter_rail",NA
12,"Carvajal",-4.48304267071496,36.6925687825347,"commuter_rail",1975
13,"Fuengirola",-4.4265781,36.715436,"commuter_rail",1975
14,"Los Boliches",-4.4803748,36.6564381,"commuter_rail",1975
15,"Victoria Kent",-4.5093271,36.613675,"commuter_rail",2009
16,"Los Prados",-4.5154498,36.6098608,"commuter_rail",1975
17,"Campanillas",-4.5670425,36.5822914,"commuter_rail",1975
18,"Cártama",-4.5938152,36.5703732,"commuter_rail",1975
19,"Aljaima",-4.6146009,36.5546391,"commuter_rail",1975
20,"Pizarra",-4.5455411,36.7051219,"commuter_rail",1975
21,"Álora",-4.6085747,36.733875,"commuter_rail",1975
22,"Málaga-María Zambrano",-4.6646969,36.7328454,"commuter_rail",1975
23,"Málaga Centro-Alameda",-4.7119741,36.7642282,"commuter_rail",1975
24,"Málaga Centro-Alameda",-4.6993946,36.8197892,"commuter_rail",1975
25,"Victoria Kent",-4.4780388,36.6984035,"commuter_rail",2009
26,"Málaga-María Zambrano",-4.4550723,36.700925,"commuter_rail",1975
27,"La Unión",-4.4401039,36.7106902,"light_rail",2014
28,"Barbarela",-4.4532671,36.7193702,"light_rail",2014
29,"Carranque",-4.4633269,36.7180395,"light_rail",2014
30,"El Perchel",-4.4786253,36.716578,"light_rail",2014
31,"El Perchel",-4.4840075,36.7173414,"light_rail",2014
32,"Portada Alta",-4.4944136,36.7188267,"light_rail",2014
33,"Ciudad de la Justicia",-4.43296006346007,36.7108140286396,"light_rail",2014
34,"Universidad",-4.43172577970628,36.7128087006259,"light_rail",2014
35,"Clínico",-4.43546176024225,36.7079089331263,"light_rail",2014
36,"El Cónsul",-4.44021140474433,36.7041284855081,"light_rail",2014
37,"Paraninfo",-4.44595437874696,36.6996243956722,"light_rail",2014
38,"Andalucía Tech",-4.45135237955603,36.6953855283706,"light_rail",2014
39,"La Isla",-4.45609696342922,36.6916565916974,"light_rail",2014
40,"Princesa-Huelin",-4.45809354494435,36.6843813292146,"light_rail",2014
41,"El Torcal",-4.4460448,36.7115832,"light_rail",2014
42,"La Luz-La Paz",-4.4490899,36.7186193,"light_rail",2014
43,"Puerta Blanca",-4.4722531,36.7170474,"light_rail",2014
44,"Palacio de los Deportes",-4.4887674,36.7180137,"light_rail",2014
45,"Aeropuerto",-4.48709775691859,36.6756819749984,"commuter_rail",1975
46,"Terminal de Carga",-4.49325789058753,36.6794325030662,"commuter_rail",1975
47,"Guadalhorce",-4.48375923210327,36.6919540063677,"commuter_rail",1975
48,"Guadalmedina",-4.42965305944145,36.7161472219132,"light_rail",2022
49,"Guadalmedina",-4.42407565923807,36.7174387917531,"light_rail",2022
