"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Cipoletti",-67.9964686190481,-38.9419506751083,"light_rail",2015
2,"Neuquén",-68.0583200040464,-38.9559093266569,"light_rail",2015
3,"Chrestia",-68.0730763695949,-38.9469107911984,"brt",2019
4,"Colón",-68.079311134519,-38.9471960931481,"brt",2019
5,"Cacique Catriel",-68.0836281269339,-38.946849155812,"brt",2019
6,"San Lorenzo",-68.0897377572742,-38.9463271552439,"brt",2019
7,"Padre Mascardi",-68.0952526987359,-38.9458094224605,"brt",2019
8,"Collón Curá",-68.101890414,-38.9445492828833,"brt",2019
9,"Predio Ferial",-68.1072883814585,-38.9432419156941,"brt",2019
10,"Moritán",-68.1132643567403,-38.9417837327808,"brt",2019
11,"Cnel. Godoy",-68.1173769609176,-38.9407924360314,"brt",2019
12,"Cnel. Rhode",-68.1228625751444,-38.9394613523847,"brt",2019
13,"Cnel. Racedo",-68.1283818644003,-38.9381062068826,"brt",2019
14,"Necochea",-68.1329653568255,-38.9369755589388,"brt",2019
15,"Centro de Transbordo Novella",-68.1340312532816,-38.9344655401774,"brt",2019
