"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Comte de Falicon",7.2694836,43.6983071,"light_rail",2007
2,"Comte de Falicon",7.269443,43.6982953,"light_rail",2007
3,"Le Ray",7.272994,43.6972603,"light_rail",2007
4,"Le Ray",7.2729336,43.697277,"light_rail",2007
5,"Gorbella",7.2557162,43.7259907,"light_rail",2007
6,"Gorbella",7.255758,43.7259901,"light_rail",2007
7,"Valrose Université",7.2564319,43.7215218,"light_rail",2007
8,"Valrose Université",7.25639,43.7215213,"light_rail",2007
9,"Borriglione",7.2569661,43.7178591,"light_rail",2007
10,"Borriglione",7.2569214,43.7178548,"light_rail",2007
11,"Libération",7.2615369,43.7155574,"light_rail",2007
12,"Libération",7.2614771,43.7155069,"light_rail",2007
13,"Gare Thiers",7.2617602,43.7118598,"light_rail",2007
14,"Gare Thiers",7.2618665,43.7118633,"light_rail",2007
15,"Masséna",7.2626374,43.7090971,"light_rail",2007
16,"Cathédrale - Vieille Ville",7.2626024,43.709087,"light_rail",2007
17,"Cathédrale - Vieille Ville",7.2649086,43.7055257,"light_rail",2007
18,"Palais des Expositions",7.2648819,43.7055129,"light_rail",2007
19,"Palais des Expositions",7.2909167,43.7226917,"light_rail",2007
20,"Vauban",7.2838586,43.7073521,"light_rail",2007
21,"Vauban",7.2765574,43.6984421,"light_rail",2007
22,"Saint-Jean d'Angély Université",7.2764872,43.6984409,"light_rail",2007
23,"Saint-Jean d'Angély Université",7.2837961,43.7073187,"light_rail",2007
24,"Garibaldi",7.2866382,43.7100161,"light_rail",2007
25,"Garibaldi",7.2865574,43.710059,"light_rail",2007
26,"Virgile Barel",7.290373,43.7095108,"light_rail",2007
27,"Virgile Barel",7.2903079,43.7095566,"light_rail",2007
28,"Pont Michel",7.280463,43.7014794,"light_rail",2007
29,"Pont Michel",7.2852313,43.7233257,"light_rail",2007
30,"Hôpital Pasteur",7.2805572,43.7015501,"light_rail",2013
31,"Hôpital Pasteur",7.2852283,43.7232854,"light_rail",2013
32,"Opéra - Vieille Ville",7.2928291,43.7149445,"light_rail",2007
33,"Opéra - Vieille Ville",7.2927866,43.7149458,"light_rail",2007
34,"Masséna",7.2907667,43.7227377,"light_rail",2007
