"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Arena",-97.5151582,35.4643375,"tram",2018
2,"Arena",-97.5060921,35.4655256,"tram",2018
3,"East Bricktown",-97.5089145,35.4643064,"tram",2018
4,"East Bricktown",-97.512106,35.4643063,"tram",2018
5,"Ballpark",-97.5194728,35.4661713,"tram",2018
6,"Ballpark",-97.5153946,35.4663924,"tram",2018
7,"Santa Fe Hub",-97.5116165,35.4663896,"tram",2018
8,"Santa Fe Hub",-97.5093931,35.4664077,"tram",2018
9,"Myriad Gardens",-97.5168542,35.4623999,"tram",2018
10,"Myriad Gardens",-97.5194521,35.4686829,"tram",2018
11,"Century Center",-97.5193737,35.4717057,"tram",2018
12,"Century Center",-97.5159076,35.4718929,"tram",2018
13,"Bricktown",-97.5142493,35.4725078,"tram",2018
14,"Bricktown",-97.5141348,35.4758976,"tram",2018
15,"Mickey Mantle",-97.5139554,35.4799636,"tram",2018
16,"Mickey Mantle",-97.5189838,35.4800332,"tram",2018
17,"Scissortail Park",-97.5227083,35.4794451,"tram",2018
18,"Scissortail Park",-97.5193552,35.4782052,"tram",2018
19,"Library",-97.5164615,35.4781344,"tram",2018
20,"Transit Center",-97.5162372,35.4752418,"tram",2018
21,"Federal Courthouse",-97.5163433,35.4720792,"tram",2018
22,"Broadway Avenue",-97.5164617,35.468952,"tram",2018
