"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Carling",-75.7095199715726,45.397399937456,"light_rail",2001
2,"Bayview",-75.721629884714,45.4089954402401,"light_rail",2001
3,"Parliament/Parlement B",-75.6915036,45.4263142,"light_rail",2019
4,"UOttawa O-Train West/Ouest",-75.6823488,45.4205805,"light_rail",2019
5,"Lees O-Train West/Ouest",-75.6708992,45.4165481,"light_rail",2019
6,"Rideau O-Train West/Ouest",-75.7047637,45.4188602,"light_rail",2019
7,"Lyon ",-75.6991027,45.4212983,"light_rail",2019
8,"Hurdman O-Train West/Ouest",-75.6642459,45.4123777,"light_rail",2019
9,"Tremblay O-Train West/Ouest",-75.6536678,45.4167808,"light_rail",2019
10,"St-Laurent O-Train West/Ouest",-75.6373878,45.4206771,"light_rail",2019
11,"Cyrville O-Train West/Ouest",-75.6264401,45.4227016,"light_rail",2019
12,"Blair O-Train West/Ouest",-75.6083057,45.4310388,"light_rail",2019
13,"Pimisi O-Train West/Ouest",-75.7134687,45.4137261,"light_rail",2019
14,"Bayview O-Train West/Ouest",-75.7221505,45.4093624,"light_rail",2019
15,"Tunney's Pasture O-Train East/Est",-75.7352128,45.4037118,"light_rail",2019
