"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Gilbert Rd",-111.9756297,33.4470664,"light_rail",2019
2,"Stapley Dr",-111.9884345,33.448216,"light_rail",2019
3,"Mesa Dr",-111.9563381,33.4423406,"light_rail",2015
4,"Center St",-111.946979,33.438338,"light_rail",2015
5,"Country Club Dr",-111.9272764,33.4211149,"light_rail",2015
6,"Alma School Rd",-111.9173531,33.4148026,"light_rail",2015
7,"Sycamore",-111.9012512,33.4148268,"light_rail",2008
8,"Price-101",-111.8226128,33.4151001,"light_rail",2008
9,"Smith-Martin",-111.8311134,33.4151479,"light_rail",2008
10,"McClintock Dr",-111.8396844,33.4151611,"light_rail",2008
11,"Dorsey Ln",-111.8562565,33.4149689,"light_rail",2008
12,"Rural Rd / University Dr",-111.9411537,33.4275262,"light_rail",2008
13,"Veterans Way / College",-111.9363506,33.4263189,"light_rail",2008
14,"Mill Ave",-111.9087192,33.4147585,"light_rail",2008
15,"Center Pkwy",-111.888569,33.4148553,"light_rail",2008
16,"Priest Dr",-111.8713734,33.4148941,"light_rail",2008
17,"50th St",-111.7910621,33.4153682,"light_rail",2019
18,"44th St",-112.073944,33.4522663,"light_rail",2008
19,"24th St",-112.0750995,33.4515753,"light_rail",2008
20,"12th St",-112.0739103,33.4492389,"light_rail",2008
21,"12th St",-112.0752063,33.4474133,"light_rail",2008
22,"3rd St",-112.0710398,33.4483166,"light_rail",2008
23,"3rd St",-112.0688872,33.446301,"light_rail",2008
24,"Washington St",-112.0576414,33.4482219,"light_rail",2008
25,"Jefferson St",-112.0552026,33.4472323,"light_rail",2008
26,"Van Buren St",-112.0288282,33.4471931,"light_rail",2008
27,"Van Buren St",-111.8066566,33.4151513,"light_rail",2008
28,"38th St",-112.0996775,33.5209696,"light_rail",2008
29,"24th St",-112.0992589,33.5095775,"light_rail",2008
30,"Roosevelt St",-112.0837882,33.5093508,"light_rail",2008
31,"Encanto Blvd",-112.0757,33.5088496,"light_rail",2008
32,"Osborn Rd",-112.0737476,33.5017892,"light_rail",2008
33,"McDowell Rd",-112.073735,33.4816146,"light_rail",2008
34,"Thomas Rd",-112.0737693,33.4740507,"light_rail",2008
35,"Indian School Rd",-112.0003494,33.4481438,"light_rail",2008
36,"Campbell Ave",-112.1013292,33.5674076,"light_rail",2008
37,"Central Ave / Camelback Rd",-112.099589,33.5525916,"light_rail",2008
38,"7th Ave",-112.0996352,33.5379954,"light_rail",2008
39,"Camelback Rd / 19th Ave",-112.073744,33.4961351,"light_rail",2008
40,"Montebello Ave",-112.073765,33.4872442,"light_rail",2008
41,"Dunlap Ave / 19th Ave",-112.0737809,33.4651125,"light_rail",2016
42,"Glendale Ave",-112.073988913436,33.4591637471889,"light_rail",2016
43,"Northern Ave",-112.0297424,33.4482236,"light_rail",2016
44,"Metrocenter",-112.119736803934,33.5750602110067,"light_rail",2024
45,"Mountain Vew Rd / 24th Ave",-112.112252574929,33.572998238678,"light_rail",2024
46,"25th Ave",-112.111909141251,33.5675710840467,"light_rail",2024
47,"",-112.07388080959,33.4477483260409,"light_rail",2040
48,"",-112.074533959342,33.4482388329609,"light_rail",2024
49,"",-112.077729324554,33.4475349633507,"light_rail",2024
50,"",-112.074525438365,33.4470728236249,"light_rail",2024
51,"",-112.073834939777,33.4421849101382,"light_rail",2024
52,"",-112.075130127809,33.4421991306653,"light_rail",2024
53,"",-112.073790123315,33.4368337969036,"light_rail",2024
54,"",-112.073589656872,33.4174736169732,"light_rail",2024
55,"",-112.07333163886,33.4067101949603,"light_rail",2024
56,"",-112.073355052292,33.3995616782391,"light_rail",2024
57,"",-112.073320299432,33.3922231066227,"light_rail",2024
58,"",-112.073267886354,33.3781817998409,"light_rail",2024
