"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Jinonice",14.3703759,50.0542736,"default",0
2,"Smíchovské nádraží",14.4090187,50.0607745,"default",0
3,"Nové Butovice",14.3528406,50.0508323,"default",0
4,"Anděl",14.4036955,50.0697989,"default",0
5,"Anděl",14.4039515,50.070626,"default",0
6,"Radlická",14.3871907,50.0582064,"default",0
7,"Národní třída",14.4201461,50.0795489,"default",0
8,"Hůrka",14.3434207,50.0500022,"default",0
9,"Radlická",14.3883118,50.0578138,"default",0
10,"Smíchovské nádraží",14.4091195,50.06162,"default",0
11,"Karlovo náměstí",14.4162633,50.0742041,"default",0
12,"Národní třída",14.4203909,50.0803067,"default",0
13,"Lužiny",14.3297996,50.0444843,"default",0
14,"Palmovka",14.4752641,50.1041511,"default",0
15,"Můstek",14.4240064,50.083609,"default",0
16,"Florenc",14.4390055,50.0899645,"default",0
17,"Karlovo náměstí",14.4173485,50.0747094,"default",0
18,"Křižíkova",14.4505873,50.0924164,"default",0
19,"Invalidovna",14.4640859,50.0971367,"default",0
20,"Kolbenova",14.5171773,50.1103163,"default",0
21,"Stodůlky",14.3054522,50.046661,"default",0
22,"Můstek",14.422754,50.0832468,"default",0
23,"Florenc",14.4382792,50.090705,"default",0
24,"Náměstí Republiky",14.4299027,50.088627,"default",0
25,"Náměstí Republiky",14.4313659,50.0889562,"default",0
26,"Vysočanská",14.5021414,50.1103634,"default",0
27,"Českomoravská",14.4924255,50.1062372,"default",0
28,"Florenc",14.4367809,50.0908405,"default",0
29,"Invalidovna",14.4626486,50.0968612,"default",0
30,"Hloubětín",14.5373649,50.1065024,"default",0
31,"Florenc",14.4395971,50.0907835,"default",0
32,"Zličín",14.291506,50.052787,"default",0
33,"Luka",14.3209034,50.0459424,"default",0
34,"Křižíkova",14.4520866,50.0926655,"default",0
35,"Můstek",14.4240382,50.0840322,"default",0
36,"Jinonice",14.3691363,50.054108,"default",0
37,"Hůrka",14.342166,50.0500123,"default",0
38,"Luka",14.3218229,50.0453703,"default",0
39,"Zličín",14.2908185,50.0536963,"default",0
40,"Nemocnice Motol",14.3405877,50.0751034,"default",0
41,"Můstek",14.424788,50.0832879,"default",0
42,"Petřiny",14.3453253,50.0859655,"default",0
43,"Nové Butovice",14.3515672,50.0508367,"default",0
44,"Lužiny",14.3311649,50.0445198,"default",0
45,"Stodůlky",14.307621,50.0467375,"default",0
46,"Kačerov",14.4610721762288,50.042097601926,"default",0
